parent_id,eligible,decision_valid,split,child_infeasibility_trigger,strict_bound_trigger,normalized_disjunction_gain,parent_native_bound_target,target_phase_required,reason
L2,true,1,0,0,0,0,,0,"current_child_gain_not_strict"
L3,true,1,0,0,0,0,,0,"current_child_gain_not_strict"
L1,true,1,1,1,0,,,0,"current_complete_child_infeasibility"
L1.1,true,1,1,1,0,,,0,"current_complete_child_infeasibility"
L1.1.1,true,1,1,1,0,,,0,"current_complete_child_infeasibility"
L1.1.1.1,true,1,1,1,0,,,0,"current_complete_child_infeasibility"
L1.1.1.1.1,true,1,1,1,0,,,0,"current_complete_child_infeasibility"
L1.1.1.1.1.1,true,1,1,0,0,0.0210555,,0,"current_normalized_child_gain_reaches_rho"
L1.1.1.1.1.1.0,true,1,1,0,0,0.0321463,,0,"current_normalized_child_gain_reaches_rho"
L1.1.1.1.1.1.0.1,true,1,1,0,0,0.016607,,0,"current_normalized_child_gain_reaches_rho"
L1.1.1.1.1.1.0.1.0,false,true,false,false,false,,,false,"structurally_terminal"
