run_id,instance,decision_sequence,interval_id,variable,family,parent_lower,parent_upper,parent_width,width_tolerance,left_lower,left_upper,left_width,c_L,right_lower,right_upper,right_width,c_R,fixed_left,fixed_right,equal_weight
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","W_SP","ratio_penalty_product",123.05026869111109,2233.3507032566295,2110.3004345655186,9.9999999999999995e-08,123.05026869111109,2233.3507032566295,2110.3004345655186,0,123.05026869111109,1916.3655065695184,1793.3152378784073,0.15020856343252098,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","Y_1","final_inventory",0,20,20,9.9999999999999995e-08,0,20,20,0,0,20,20,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","Y_10","final_inventory",0,35,35,9.9999999999999995e-08,0,35,35,0,0,35,35,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","Y_11","final_inventory",6,37,31,9.9999999999999995e-08,6,37,31,0,6,37,31,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","Y_12","final_inventory",0,25,25,9.9999999999999995e-08,0,25,25,0,0,25,25,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","Y_13","final_inventory",0,25,25,9.9999999999999995e-08,0,25,25,0,0,25,25,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","Y_14","final_inventory",18,34,16,9.9999999999999995e-08,18,34,16,0,18,28,10,0.375,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","Y_15","final_inventory",0,35,35,9.9999999999999995e-08,0,35,35,0,0,35,35,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","Y_16","final_inventory",0,23,23,9.9999999999999995e-08,0,23,23,0,0,23,23,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","Y_17","final_inventory",0,33,33,9.9999999999999995e-08,0,33,33,0,0,33,33,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","Y_18","final_inventory",0,25,25,9.9999999999999995e-08,0,25,25,0,0,25,25,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","Y_19","final_inventory",0,25,25,9.9999999999999995e-08,0,25,25,0,0,25,25,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","Y_2","final_inventory",0,21,21,9.9999999999999995e-08,0,21,21,0,0,21,21,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","Y_20","final_inventory",14,43,29,9.9999999999999995e-08,14,43,29,0,14,43,29,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","Y_3","final_inventory",0,27,27,9.9999999999999995e-08,0,27,27,0,0,27,27,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","Y_4","final_inventory",18,44,26,9.9999999999999995e-08,18,44,26,0,18,44,26,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","Y_5","final_inventory",0,32,32,9.9999999999999995e-08,0,32,32,0,0,32,32,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","Y_6","final_inventory",21,48,27,9.9999999999999995e-08,21,48,27,0,21,48,27,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","Y_7","final_inventory",0,24,24,9.9999999999999995e-08,0,24,24,0,0,24,24,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","Y_8","final_inventory",1,30,29,9.9999999999999995e-08,1,30,29,0,1,30,29,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","Y_9","final_inventory",0,34,34,9.9999999999999995e-08,0,34,34,0,0,34,34,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_10_0","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_10_1","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_10_2","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_10_3","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_10_4","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_10_5","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_11_0","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_11_1","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_11_2","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_11_3","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_11_4","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_11_5","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_12_0","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_12_1","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_12_2","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_12_3","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_12_4","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_12_5","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_13_0","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_13_1","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_13_2","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_13_3","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_13_4","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_14_0","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_14_1","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_14_2","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_14_3","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_14_4","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_14_5","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_15_0","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_15_1","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_15_2","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_15_3","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_15_4","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_15_5","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_16_0","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_16_1","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_16_2","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_16_3","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_16_4","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_17_0","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_17_1","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_17_2","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_17_3","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_17_4","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_17_5","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_18_0","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_18_1","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_18_2","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_18_3","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_18_4","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_18_5","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_19_0","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_19_1","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_19_2","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_19_3","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_19_4","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_1_0","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_1_1","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_1_2","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_1_3","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_1_4","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_20_0","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_20_1","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_20_2","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_20_3","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_20_4","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_20_5","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_2_0","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_2_1","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_2_2","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_2_3","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_2_4","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_3_0","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_3_1","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_3_2","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_3_3","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_3_4","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_4_0","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_4_1","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_4_2","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_4_3","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_4_4","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_4_5","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_5_0","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_5_1","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_5_2","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_5_3","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_5_4","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","bit_5_5","inventory_bit",0,1,1,9.9999999999999995e-08,0,1,1,0,0,1,1,0,0,0,1
