run_id,instance,decision_sequence,interval_id,parent_id,depth,gamma_L,gamma_U,B_p,B_L,B_R,U,g_L,g_R,eta,mu,S_AM,eligible_variable_count,excluded_gini_variable_count,invalid_variable_count,per_family_eligible_counts,phi_L,phi_R,left_min_contraction,left_mean_contraction,left_max_contraction,right_min_contraction,right_mean_contraction,right_max_contraction,fixed_left_count,fixed_right_count,gtilde_L,gtilde_R,eta_hat,S_AMF,tau,score_margin,AM_action,AMF_action,rescue_activated,selected_native_target,deterministic_reason,profile_valid,fallback_reason,decision_hash
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",1,"L0","",0,0,0.94999999999999996,1.9912725282848309,2.1367958494969104,2.2662042877898423,2.4434031919432,0.32186120718863076,0.60808032191497285,0.32186120718863076,0.46497076455180181,0.14965605158606354,580,1,0,"absolute_deviation=20;drop_movement=54;final_inventory=20;gini_inventory_product=112;inventory_bit=112;pairwise_ratio_difference=190;pickup_movement=51;ratio_penalty_product=1;station_ratio=20",0.096551724137931033,0.00090553200591813958,0,0.096551724137931033,0.5,0,0.00090553200591813958,0.375,0,0,0.34949615619669139,0.60808032191497285,0.34949615619669139,0.16250549495469155,0.079149999999999998,0.08335549495469155,"split","split",0,,"amf_or_am_score_reaches_tau",1,"none","f7a3c8ffc838c2a8"
"stage3_300s__high_imbalance_seed3201__K1-AMF","high_imbalance_seed3201.txt",5,"L0.1.0","L0.1",2,0.47499999999999998,0.71249999999999991,2.3348837952183876,2.2663608459488285,2.3771183114459844,2.4434031919432,0,0.3891886381813997,0,0.19459431909069985,0,580,1,0,"absolute_deviation=20;drop_movement=54;final_inventory=20;gini_inventory_product=112;inventory_bit=112;pairwise_ratio_difference=190;pickup_movement=51;ratio_penalty_product=1;station_ratio=20",0.032183908045976962,0.00044256770739056414,0,0.032183908045976962,0.16666666666666652,0,0.00044256770739056414,0.19999999999999996,0,0,0.012525611343769167,0.3891886381813997,0.012525611343769167,0.002437412810635507,0.079149999999999998,-0.076712587189364495,"exact-close","exact-close",0,,"amf_score_below_tau_preserve_am_lifecycle",1,"none","84831a2609446178"
