decision_sequence,K0,rho,rho_source,interval_id,parent_id,depth,gamma_L,gamma_U,parent_bound,left_child_id,left_child_bound,left_child_infeasible,right_child_id,right_child_bound,right_child_infeasible,verified_incumbent,normalized_c6_gain,child_infeasibility_trigger,threshold_comparison,selected_action,target_value,deterministic_reason,coverage_update
1,1,0.01,"implicit-default","L0","",0,0,0.94999999999999996,1.9912725282848309,"L0.0",2.1367958494969104,0,"L0.1",2.2662042877898423,0,2.4434031919432,0.32186120718863076,0,"gain_greater_than_or_equal_to_rho","split",,"adaptive_mass_score_reaches_tau","atomic_parent_replaced_by_two_children"
2,1,0.01,"implicit-default","L0.0","L0",1,0,0.47499999999999998,2.2690665138558717,"L0.0.0",,1,"L0.0.1",2.2206360803532741,0,2.4434031919432,,1,"original_infeasibility_split_preserved","split",,"adaptive_mass_preserve_child_infeasibility_split","atomic_parent_replaced_by_two_children"
3,1,0.01,"implicit-default","L0.1","L0",1,0.47499999999999998,0.94999999999999996,2.2710404752343383,"L0.1.0",2.2662584414844362,0,"L0.1.1",,1,2.4434031919432,,1,"original_infeasibility_split_preserved","split",,"adaptive_mass_preserve_child_infeasibility_split","atomic_parent_replaced_by_two_children"
4,1,0.01,"implicit-default","L0.0.1","L0.0",2,0.23749999999999999,0.47499999999999998,2.307538658925516,"L0.0.1.0",,1,"L0.0.1.1",2.261240112868975,0,2.4434031919432,,1,"original_infeasibility_split_preserved","split",,"adaptive_mass_preserve_child_infeasibility_split","atomic_parent_replaced_by_two_children"
5,1,0.01,"implicit-default","L0.1.0","L0.1",2,0.47499999999999998,0.71249999999999991,2.3348837952183876,"L0.1.0.0",2.2663608459488285,0,"L0.1.0.1",2.3771183114459844,0,2.4434031919432,0,0,"no_strict_gain","exact-close",,"adaptive_mass_no_strict_child_improvement","parent_coverage_retained"
