run_id,record_type,checkpoint_seconds,observation_available,freshness,source_observation_time_seconds,observation_age_seconds,native_best_bound,processed_nodes,open_nodes,simplex_iterations,gini_branch_count,ordinary_branch_count,common_same_run_ub,same_run_project_gap
round23_stage2__high_imbalance_seed3202__s0m__900s,checkpoint,1,True,fresh,0.59444839999999999,0.4055516,1.299838001731207,0,1,6351,0,0,1.7493134520506337,0.2569439169364009
round23_stage2__high_imbalance_seed3202__s0m__900s,checkpoint,2,True,fresh,1.8942734999999999,0.10572650000000006,1.4520287360711628,0,1,11011,0,0,1.7493134520506337,0.16994365168288092
round23_stage2__high_imbalance_seed3202__s0m__900s,checkpoint,5,True,stale,2.5309029000000001,2.4690971,1.4533943380542114,0,1,12537,0,0,1.7493134520506337,0.16916300143323712
round23_stage2__high_imbalance_seed3202__s0m__900s,checkpoint,10,True,fresh,9.1508123000000001,0.8491876999999999,1.6500930407672763,16,15,24557,15,0,1.7493134520506337,0.05671962973076453
round23_stage2__high_imbalance_seed3202__s0m__900s,checkpoint,15,True,fresh,14.9955426,0.004457399999999723,1.6500930407672763,30,29,26976,15,14,1.7493134520506337,0.05671962973076453
round23_stage2__high_imbalance_seed3202__s0m__900s,checkpoint,20,True,fresh,19.920946699999998,0.07905330000000177,1.6683017516413803,74,63,38477,26,42,1.7493134520506337,0.04631056847718596
round23_stage2__high_imbalance_seed3202__s0m__900s,checkpoint,30,True,fresh,29.939837300000001,0.06016269999999935,1.6687485068912165,242,184,70570,38,176,1.7493134520506337,0.04605517957057665
round23_stage2__high_imbalance_seed3202__s0m__900s,checkpoint,45,True,fresh,44.992999699999999,0.007000300000001403,1.6692513855763182,541,429,132502,38,450,1.7493134520506337,0.04576770754290071
round23_stage2__high_imbalance_seed3202__s0m__900s,checkpoint,60,True,fresh,59.869718499999998,0.13028150000000238,1.6696368669593429,792,630,197632,41,675,1.7493134520506337,0.04554734601616989
round23_stage2__high_imbalance_seed3202__s0m__900s,checkpoint,90,True,fresh,89.536399900000006,0.46360009999999363,1.6712546061984028,1230,958,331763,41,1061,1.7493134520506337,0.04462256078847753
round23_stage2__high_imbalance_seed3202__s0m__900s,checkpoint,120,True,fresh,119.70716779999999,0.29283220000000654,1.6730997055225736,1653,1271,468579,46,1425,1.7493134520506337,0.0435678045228078
round23_stage2__high_imbalance_seed3202__s0m__900s,checkpoint,180,True,fresh,179.95584009999999,0.04415990000001102,1.6777453431356242,2313,1672,734515,47,1955,1.7493134520506337,0.04091211259543781
round23_stage2__high_imbalance_seed3202__s0m__900s,checkpoint,240,True,fresh,239.49498170000001,0.505018299999989,1.6799870174242133,3104,2205,1003166,47,2618,1.7493134520506337,0.03963065312574625
round23_stage2__high_imbalance_seed3202__s0m__900s,checkpoint,300,True,fresh,299.6262529,0.3737471000000028,1.6821621947690211,3641,2512,1270312,47,3040,1.7493134520506337,0.03838720682270781
round23_stage2__high_imbalance_seed3202__s0m__900s,checkpoint,450,True,fresh,449.58095059999999,0.4190494000000058,1.6869144271350067,5182,3480,1908318,56,4288,1.7493134520506337,0.03567057970227102
round23_stage2__high_imbalance_seed3202__s0m__900s,checkpoint,600,True,fresh,599.66963069999997,0.3303693000000294,1.6908416038787917,6376,4083,2486533,57,5189,1.7493134520506337,0.033425597970048404
round23_stage2__high_imbalance_seed3202__s0m__900s,checkpoint,750,True,fresh,749.97184819999995,0.028151800000046023,1.6944512024911211,7791,4904,3024000,65,6302,1.7493134520506337,0.03136216067806503
round23_stage2__high_imbalance_seed3202__s0m__900s,checkpoint,900,True,stale,862.56696290000002,37.43303709999998,1.6963405848470194,8744,5442,3387256,79,7036,1.7493134520506337,0.030282089891618222
round23_stage2__high_imbalance_seed3202__s0m__900s,solver_final,solver_final,True,solver_final,862.56784800000003,0,1.6963405848470194,8744,5442,3387256,79,7036,1.7493134520506337,0.030282089891618222
