station,initial_inventory,target_inventory,final_inventory
0,50000,0,50000
1,3,10,8
2,12,8,7
3,4,12,11
4,15,10,8
5,18,13,12
6,3,11,10
7,17,11,10
8,2,10,8
9,4,12,11
10,3,13,12
11,20,13,12
12,2,10,8
13,14,10,8
14,20,13,12
15,16,11,10
16,17,12,11
17,15,10,8
18,19,13,12
19,15,10,8
20,16,11,10
21,19,13,12
22,15,10,8
23,2,10,8
24,3,10,8
25,21,14,13
26,1,8,7
27,13,9,8
28,14,10,8
29,15,10,8
30,1,5,4
31,5,14,13
32,1,9,8
33,3,13,12
34,23,16,16
35,2,10,8
36,2,9,8
37,18,13,12
38,2,8,7
39,3,13,12
40,14,10,8
41,3,9,8
42,7,19,19
43,14,10,8
44,15,10,8
45,4,11,10
46,15,10,8
47,4,11,10
48,3,11,10
49,2,10,8
50,5,12,11
