field,value
failure_reason,row_factory_migration_incomplete
cplex_environment_count,1
problem_object_count,1
lp_read_build_count,1
CPXmipopt_count,0
free_problem_count,1
close_environment_count,1
free_problem_return_code,0
close_environment_return_code,0
threads_requested,1
threads_set_return_code,0
threads_get_return_code,0
threads_effective,1
preprocessing_reduce_requested,0
preprocessing_reduce_set_return_code,0
preprocessing_reduce_get_return_code,0
preprocessing_reduce_effective,0
preprocessing_linear_requested,0
preprocessing_linear_set_return_code,0
preprocessing_linear_get_return_code,0
preprocessing_linear_effective,0
continuous_branch_presolve_valid,0
time_limit_requested,97.583498300000002
time_limit_set_return_code,0
time_limit_get_return_code,0
time_limit_effective,97.583498300000002
relative_gap_setter_return_code,0
relative_gap_getter_return_code,0
relative_gap_effective,0
absolute_gap_setter_return_code,0
absolute_gap_getter_return_code,0
absolute_gap_effective,0
lifecycle_valid,0
root_connectivity_flow_variant_requested,round20-current
root_connectivity_flow_variant_resolved,round20-current
lp_text_analyzer_rows,17982
lp_text_analyzer_columns,3396
lp_text_analyzer_nonzeros,143431
connectivity_flow_columns,1260
connectivity_flow_upper_link_rows,1260
connectivity_flow_lower_link_rows,0
connectivity_flow_station_balance_rows,60
connectivity_flow_depot_balance_rows,3
connectivity_flow_start_upper_rows,0
connectivity_flow_start_lower_rows,0
connectivity_flow_total_rows,1323
connectivity_flow_total_nonzeros,5160
