variant_name,time_limit_seconds,interval_id,call_index,vehicle,depth,operation_states_generated,operation_states_pruned
all_improvements_300_moderate_seed3301,300,2,0,aggregate,1,1,0
all_improvements_300_moderate_seed3301,300,2,0,aggregate,2,12,0
all_improvements_300_moderate_seed3301,300,2,0,aggregate,3,32,54
all_improvements_300_moderate_seed3301,300,2,0,aggregate,4,160,54
all_improvements_300_moderate_seed3301,300,2,0,aggregate,5,603,155
all_improvements_300_moderate_seed3301,300,2,0,aggregate,6,5619,1351
all_improvements_300_moderate_seed3301,300,2,0,aggregate,7,55909,11381
all_improvements_300_moderate_seed3301,300,2,0,aggregate,8,386010,69936
all_improvements_300_moderate_seed3301,300,2,0,aggregate,9,1920873,322403
all_improvements_300_moderate_seed3301,300,2,0,aggregate,10,7093959,1136134
all_improvements_300_moderate_seed3301,300,2,0,aggregate,11,20068870,3091155
all_improvements_300_moderate_seed3301,300,2,0,aggregate,12,44485411,6604878
all_improvements_300_moderate_seed3301,300,2,0,aggregate,13,79087383,11309750
all_improvements_300_moderate_seed3301,300,2,0,aggregate,14,114355135,15935177
all_improvements_300_moderate_seed3301,300,2,0,aggregate,15,136347940,19001618
all_improvements_300_moderate_seed3301,300,2,0,aggregate,16,135680721,19095692
all_improvements_300_moderate_seed3301,300,2,0,aggregate,17,110166495,15130202
all_improvements_300_moderate_seed3301,300,2,0,aggregate,18,66299256,8328610
all_improvements_300_moderate_seed3301,300,2,0,aggregate,19,25427976,2689621
all_improvements_300_moderate_seed3301,300,2,0,aggregate,20,4499277,361815
