leaf_id,parent_id,child_index,depth,gamma_L,gamma_U,base_lower_bound,current_lower_bound,cutoff,status,lp_complete,lp_optimal,lp_infeasible,lp_bound,lp_native_status,terminal_mip_started,terminal_native_status,closure_source,model_sha256,row_signature,parent_child_coverage_valid,parent_replaced,lower_bound_sources
R,"",-1,0,0,0.36235466278458461,0,0.14089422075980124,0.36235466278458461,replaced,1,1,0,0.14089422075980124,"OPTIMAL",0,"not_run","",310481e9daacd4564f9ccde3e74be4cedf9fd55da09909557018036500dbf174,310481e9daacd4564f9ccde3e74be4cedf9fd55da09909557018036500dbf174,1,1,"objective_nonnegative_penalty_and_root_gini_floor;complete_optimal_interval_lp_bound"
R.0,"R",0,1,0,0.18117733139229231,0.14089422075980124,0.14876565136643127,0.36235466278458461,replaced,1,1,0,0.14876565136643127,"OPTIMAL",0,"not_run","",744a9bf1eb9e14b7fe3f48c2427fc87713f017b49ece8d329b2c6872500b15ee,744a9bf1eb9e14b7fe3f48c2427fc87713f017b49ece8d329b2c6872500b15ee,1,1,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound"
R.1,"R",1,1,0.18117733139229231,0.36235466278458461,0.14089422075980124,0.28917631309429248,0.36235466278458461,replaced,1,1,0,0.28917631309429248,"OPTIMAL",0,"not_run","",d75fc6ff983185ab751b922bf916c534b4a46f1993da865cceb3b06c33f165b2,d75fc6ff983185ab751b922bf916c534b4a46f1993da865cceb3b06c33f165b2,1,1,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound"
R.0.0,"R.0",0,2,0,0.090588665696146153,0.14876565136643127,0.36235466278458461,0.36235466278458461,empty,1,0,1,0,"INFEASIBLE",0,"not_run","complete_interval_lp_infeasible",b4ebb658574c231bff6ce5568de09b80b13684a12b322bf4e8a093a584f7c573,b4ebb658574c231bff6ce5568de09b80b13684a12b322bf4e8a093a584f7c573,1,0,"inherited_complete_parent_lp_bound"
R.0.1,"R.0",1,2,0.090588665696146153,0.18117733139229231,0.14876565136643127,0.20682410371683468,0.36235466278458461,replaced,1,1,0,0.20682410371683468,"OPTIMAL",0,"not_run","",e683752efbd51a122c6c691d9a61f1c27a277b29925dfe50df1d4a87f46e1ef0,e683752efbd51a122c6c691d9a61f1c27a277b29925dfe50df1d4a87f46e1ef0,1,1,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound"
R.1.0,"R.1",0,2,0.18117733139229231,0.27176599708843846,0.28917631309429248,0.28917631309429248,0.36235466278458461,open,0,0,0,0,"not_run",0,"not_run","",,,1,0,"inherited_complete_parent_lp_bound"
R.1.1,"R.1",1,2,0.27176599708843846,0.36235466278458461,0.28917631309429248,0.28917631309429248,0.36235466278458461,open,0,0,0,0,"not_run",0,"not_run","",,,1,0,"inherited_complete_parent_lp_bound"
R.0.1.0,"R.0.1",0,3,0.090588665696146153,0.13588299854421923,0.20682410371683468,0.20843292656852036,0.36235466278458461,replaced,1,1,0,0.20843292656852036,"OPTIMAL",0,"not_run","",8081fb7e5f2b38d0bf1bce9112154754e55b98703261a16664e47783eca01c83,8081fb7e5f2b38d0bf1bce9112154754e55b98703261a16664e47783eca01c83,1,1,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound"
R.0.1.1,"R.0.1",1,3,0.13588299854421923,0.18117733139229231,0.20682410371683468,0.24388198024621935,0.36235466278458461,replaced,1,1,0,0.24388198024621935,"OPTIMAL",0,"not_run","",eb6f28440d9781395d31cc9ba17d5f2cebd6d38bdeb5e47b94dc4435e63e73c2,eb6f28440d9781395d31cc9ba17d5f2cebd6d38bdeb5e47b94dc4435e63e73c2,1,1,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound"
R.0.1.0.0,"R.0.1.0",0,4,0.090588665696146153,0.11323583212018269,0.20843292656852036,0.21337541250797037,0.36235466278458461,replaced,1,1,0,0.21337541250797037,"OPTIMAL",0,"not_run","",eac5caaa9b8f79b15ef02ce18a61cede8676fa64f8450d09fa30ed817483d566,eac5caaa9b8f79b15ef02ce18a61cede8676fa64f8450d09fa30ed817483d566,1,1,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound"
R.0.1.0.1,"R.0.1.0",1,4,0.11323583212018269,0.13588299854421923,0.20843292656852036,0.22329846061877026,0.36235466278458461,replaced,1,1,0,0.22329846061877026,"OPTIMAL",0,"not_run","",5731300b6591ceef923b8ca528de3fbcd242d1bd0501fea352346ac1f5bc8b1e,5731300b6591ceef923b8ca528de3fbcd242d1bd0501fea352346ac1f5bc8b1e,1,1,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound"
