vehicle,route_sequence_position,predecessor,station,successor,pickup,drop,load_before,load_after,travel_time_from_predecessor,operation_time,station_inventory_after
0,1,0,10,11,6,0,0,6,579.6987716320408,360.0,18
0,2,10,11,25,5,0,6,11,1349.3455221630188,300.0,13
0,3,11,25,4,0,4,11,7,228.1949016911178,240.0,11
0,4,25,4,28,6,0,7,13,609.0643251910072,360.0,16
0,5,4,28,9,9,0,13,22,1508.559797560859,540.0,28
0,6,28,9,16,0,4,22,18,625.1666073363898,240.0,10
0,7,9,16,29,3,0,18,21,365.8888702545061,180.0,8
0,8,16,29,6,0,6,21,15,203.47211230028168,360.0,16
0,9,29,6,8,0,5,15,10,312.7129005455666,300.0,14
0,10,6,8,14,9,0,10,19,543.0802295650369,540.0,24
0,11,8,14,24,0,5,19,14,393.2050631445073,300.0,13
0,12,14,24,13,6,0,14,20,573.6512313059993,360.0,16
0,13,24,13,21,0,14,20,6,468.40694229638694,840.0,33
0,14,13,21,23,3,0,6,9,352.41167624114223,180.0,8
0,15,21,23,20,5,0,9,14,836.9152745946136,300.0,13
0,16,23,20,7,0,4,14,10,1143.4445440654497,240.0,11
0,17,20,7,0,0,10,10,0,542.4816284461982,600.0,28
1,1,0,17,15,6,0,0,6,349.03087722396407,360.0,16
1,2,17,15,18,0,6,6,0,801.0834310337988,360.0,16
1,3,15,18,19,4,0,0,4,1666.8792899391112,240.0,11
1,4,18,19,3,5,0,4,9,417.538265441495,300.0,13
1,5,19,3,2,0,4,9,5,1397.1730753437857,240.0,11
1,6,3,2,0,0,5,5,0,1635.8411921515565,300.0,15
2,1,0,26,30,10,0,0,10,780.8049427746186,600.0,26
2,2,26,30,27,0,5,10,5,1366.9702150217533,300.0,13
2,3,30,27,22,4,0,5,9,1200.2187992757674,240.0,12
2,4,27,22,12,0,4,9,5,298.0299680198377,240.0,11
2,5,22,12,5,12,0,5,17,657.6877400516338,720.0,33
2,6,12,5,1,0,6,17,11,404.5149396063691,360.0,18
2,7,5,1,0,0,11,11,0,737.9900703798631,660.0,31
