station,initial_inventory,target_inventory,final_inventory
0,50000,0,50000
1,19,14,19
2,2,15,11
3,17,12,12
4,18,13,14
5,19,13,14
6,8,31,10
7,3,14,10
8,38,26,26
9,2,11,8
10,2,13,10
11,0,11,8
12,61,42,47
