vehicle,route_sequence_position,predecessor,station,successor,pickup,drop,load_before,load_after,travel_time_from_predecessor,operation_time,station_inventory_after
0,1,0,3,4,5,0,0,5,180.45673708574273,300.0,12
0,2,3,4,8,4,0,5,9,66.59690488956598,240.0,14
0,3,4,8,9,12,0,9,21,181.8446997979328,720.0,26
0,4,8,9,7,0,6,21,15,171.24417840291173,360.0,8
0,5,9,7,10,0,7,15,8,72.18408675706354,420.0,10
0,6,7,10,0,0,8,8,0,141.6604346108327,480.0,10
1,1,0,5,12,5,0,0,5,99.7504830174549,300.0,14
1,2,5,12,11,14,0,5,19,256.2097785428636,840.0,47
1,3,12,11,6,0,8,19,11,301.15175635027975,480.0,8
1,4,11,6,2,0,2,11,9,162.17881437719026,120.0,10
1,5,6,2,0,0,9,9,0,216.36517559239488,540.0,11
