parent_id,eligible,decision_valid,split,child_infeasibility_trigger,strict_bound_trigger,reason
L2,true,1,1,0,1,"strict_child_lp_bound_improvement"
L2.0,true,1,1,1,1,"child_lp_infeasible"
L2.0.1,true,1,1,0,1,"strict_child_lp_bound_improvement"
L2.0.1.0,true,1,1,0,1,"strict_child_lp_bound_improvement"
L2.0.1.0.0,true,1,1,1,1,"child_lp_infeasible"
L2.0.1.0.1,true,1,1,0,1,"strict_child_lp_bound_improvement"
L2.0.1.1,true,1,1,0,1,"strict_child_lp_bound_improvement"
L2.0.1.1.0,true,1,1,0,1,"strict_child_lp_bound_improvement"
L2.0.1.0.0.1,true,1,1,0,1,"strict_child_lp_bound_improvement"
L2.0.1.0.1.0,true,1,1,0,1,"strict_child_lp_bound_improvement"
L2.0.1.0.1.1,true,1,1,0,1,"strict_child_lp_bound_improvement"
L2.0.1.1.0.0,true,1,1,0,1,"strict_child_lp_bound_improvement"
L2.0.1.0.0.1.0,true,1,1,1,1,"child_lp_infeasible"
L2.0.1.0.0.1.1,true,1,1,0,1,"strict_child_lp_bound_improvement"
L2.0.1.0.1.0.0,true,1,1,0,1,"strict_child_lp_bound_improvement"
L2.0.1.0.1.0.1,true,1,1,0,1,"strict_child_lp_bound_improvement"
L2.0.1.0.1.1.0,true,1,1,0,1,"strict_child_lp_bound_improvement"
L2.0.1.0.1.1.1,true,1,1,0,1,"strict_child_lp_bound_improvement"
L2.0.1.0.0.1.0.1,true,1,1,1,1,"child_lp_infeasible"
L2.0.1.0.0.1.1.0,true,1,1,0,1,"strict_child_lp_bound_improvement"
L2.0.1.1.0.0.0,true,1,1,0,1,"strict_child_lp_bound_improvement"
L2.0.1.0.0.1.1.1,true,1,1,0,1,"strict_child_lp_bound_improvement"
L2.0.1.0.1.0.0.0,true,1,1,0,1,"strict_child_lp_bound_improvement"
L2.0.1.0.1.0.0.1,true,1,1,0,1,"strict_child_lp_bound_improvement"
L2.0.1.1.0.1,true,1,1,0,1,"strict_child_lp_bound_improvement"
L2.0.1.0.1.0.1.0,true,1,1,0,1,"strict_child_lp_bound_improvement"
L2.0.1.0.1.0.1.1,true,1,1,0,1,"strict_child_lp_bound_improvement"
L2.0.1.0.1.1.0.0,true,1,1,0,1,"strict_child_lp_bound_improvement"
L2.0.1.0.0.1.0.1.1,false,true,false,false,false,"structurally_terminal"
L2.0.1.0.0.1.1.0.0,false,true,false,false,false,"structurally_terminal"
L2.0.1.0.0.1.1.0.1,false,true,false,false,false,"structurally_terminal"
L2.0.1.0.1.1.0.1,true,1,1,0,1,"strict_child_lp_bound_improvement"
L2.0.1.0.0.1.1.1.0,false,true,false,false,false,"structurally_terminal"
L2.0.1.0.0.1.1.1.1,false,true,false,false,false,"structurally_terminal"
L2.0.1.0.1.0.0.0.0,false,true,false,false,false,"structurally_terminal"
L2.0.1.0.1.1.1.0,true,1,1,0,1,"strict_child_lp_bound_improvement"
L2.0.1.0.1.0.0.0.1,false,true,false,false,false,"structurally_terminal"
L2.0.1.0.1.0.0.1.0,false,true,false,false,false,"structurally_terminal"
L2.0.1.1.0.0.1,true,1,1,0,1,"strict_child_lp_bound_improvement"
L2.0.1.0.1.1.1.1,true,1,1,0,1,"strict_child_lp_bound_improvement"
L2.0.1.0.1.0.0.1.1,false,true,false,false,false,"structurally_terminal"
L2.0.1.0.1.0.1.0.0,false,true,false,false,false,"structurally_terminal"
L2.0.1.0.1.0.1.0.1,false,true,false,false,false,"structurally_terminal"
L2.0.1.0.1.0.1.1.0,false,true,false,false,false,"structurally_terminal"
L2.0.1.0.1.0.1.1.1,false,true,false,false,false,"structurally_terminal"
L2.0.1.1.0.0.0.0,true,1,1,0,1,"strict_child_lp_bound_improvement"
L2.0.1.0.1.1.0.0.0,false,true,false,false,false,"structurally_terminal"
L2.0.1.0.1.1.0.0.1,false,true,false,false,false,"structurally_terminal"
L2.0.1.0.1.1.0.1.0,false,true,false,false,false,"structurally_terminal"
L2.0.1.0.1.1.0.1.1,false,true,false,false,false,"structurally_terminal"
L2.0.1.1.0.0.0.1,true,1,1,0,1,"strict_child_lp_bound_improvement"
L2.0.1.0.1.1.1.0.0,false,true,false,false,false,"structurally_terminal"
L2.0.1.0.1.1.1.0.1,false,true,false,false,false,"structurally_terminal"
L2.0.1.0.1.1.1.1.0,false,true,false,false,false,"structurally_terminal"
L2.0.1.0.1.1.1.1.1,false,true,false,false,false,"structurally_terminal"
L2.0.1.1.0.0.0.0.0,false,true,false,false,false,"structurally_terminal"
L2.0.1.1.0.0.1.0,true,1,1,0,1,"strict_child_lp_bound_improvement"
L2.0.1.1.0.0.0.0.1,false,true,false,false,false,"structurally_terminal"
L2.0.1.1.0.1.0,true,1,1,0,1,"strict_child_lp_bound_improvement"
L2.0.1.1.0.0.0.1.0,false,true,false,false,false,"structurally_terminal"
L2.0.1.1.0.0.0.1.1,false,true,false,false,false,"structurally_terminal"
L2.0.1.1.0.0.1.0.0,false,true,false,false,false,"structurally_terminal"
L2.0.1.1.0.0.1.1,true,1,1,0,1,"strict_child_lp_bound_improvement"
L2.0.1.1.0.0.1.0.1,false,true,false,false,false,"structurally_terminal"
L2.0.1.1.0.0.1.1.0,false,true,false,false,false,"structurally_terminal"
L2.0.1.1.0.1.0.0,true,1,1,0,1,"strict_child_lp_bound_improvement"
L2.0.1.1.0.0.1.1.1,false,true,false,false,false,"structurally_terminal"
L2.0.1.1.0.1.1,true,1,1,0,1,"strict_child_lp_bound_improvement"
L2.0.1.1.0.1.0.0.0,false,true,false,false,false,"structurally_terminal"
L2.0.1.1.0.1.0.1,true,1,1,0,1,"strict_child_lp_bound_improvement"
L2.0.1.1.0.1.0.0.1,false,true,false,false,false,"structurally_terminal"
L2.0.1.1.0.1.0.1.0,false,true,false,false,false,"structurally_terminal"
L2.0.1.1.0.1.1.0,true,1,1,0,1,"strict_child_lp_bound_improvement"
L2.0.1.1.0.1.0.1.1,false,true,false,false,false,"structurally_terminal"
L2.0.1.1.0.1.1.0.0,false,true,false,false,false,"structurally_terminal"
L2.0.1.1.1,true,1,1,0,1,"strict_child_lp_bound_improvement"
L2.0.1.1.0.1.1.1,true,1,1,0,1,"strict_child_lp_bound_improvement"
L2.0.1.1.0.1.1.0.1,false,true,false,false,false,"structurally_terminal"
L2.0.1.1.1.0,true,1,1,0,1,"strict_child_lp_bound_improvement"
L2.0.1.1.1.0.0,true,1,1,0,1,"strict_child_lp_bound_improvement"
L2.0.1.1.0.1.1.1.0,false,true,false,false,false,"structurally_terminal"
L2.0.1.1.1.0.0.0,true,1,1,0,1,"strict_child_lp_bound_improvement"
L2.0.1.1.0.1.1.1.1,false,true,false,false,false,"structurally_terminal"
L2.0.1.1.1.0.0.0.0,false,true,false,false,false,"structurally_terminal"
L2.0.1.1.1.0.0.0.1,false,true,false,false,false,"structurally_terminal"
L2.0.1.1.1.0.0.1,true,1,1,0,1,"strict_child_lp_bound_improvement"
L2.0.1.1.1.0.0.1.0,false,true,false,false,false,"structurally_terminal"
L2.0.1.1.1.0.0.1.1,false,true,false,false,false,"structurally_terminal"
L2.0.1.1.1.0.1,true,1,1,0,1,"strict_child_lp_bound_improvement"
L2.0.1.1.1.0.1.0,true,1,1,0,1,"strict_child_lp_bound_improvement"
L2.0.1.1.1.0.1.0.0,false,true,false,false,false,"structurally_terminal"
L2.0.1.1.1.0.1.0.1,false,true,false,false,false,"structurally_terminal"
L2.0.1.1.1.0.1.1,true,1,1,0,1,"strict_child_lp_bound_improvement"
L2.0.1.1.1.0.1.1.0,false,true,false,false,false,"structurally_terminal"
L2.0.1.1.1.0.1.1.1,false,true,false,false,false,"structurally_terminal"
L2.0.1.1.1.1,true,1,1,0,1,"strict_child_lp_bound_improvement"
L2.0.1.1.1.1.0,true,1,1,0,1,"strict_child_lp_bound_improvement"
L2.0.1.1.1.1.0.0,true,1,1,0,1,"strict_child_lp_bound_improvement"
L2.0.1.1.1.1.0.0.0,false,true,false,false,false,"structurally_terminal"
L2.0.1.1.1.1.0.0.1,false,true,false,false,false,"structurally_terminal"
L2.0.1.1.1.1.0.1,true,1,1,0,1,"strict_child_lp_bound_improvement"
L2.0.1.1.1.1.0.1.0,false,true,false,false,false,"structurally_terminal"
