instance_id,arm,coverage_valid,lifecycle_complete,sibling_pairs_considered,sibling_pairs_coalesced,sibling_replaced_leaf_count,sibling_atomic_coverage_events,sibling_fallback_events,sibling_unresolved_union_count
round39_small_easy_V10_M1_Q30_slot04_seed1099392856,C6-HGA-FULL-K4,True,True,0,0,0,0,0,0
round39_small_easy_V10_M1_Q30_slot04_seed1099392856,C6-K1-SINGLE,True,True,0,0,0,0,0,0
round39_small_easy_V10_M1_Q30_slot04_seed1099392856,EXTERNAL-K2-FIXED,True,True,0,0,0,0,0,0
round39_small_easy_V10_M1_Q30_slot04_seed1099392856,ST-K2-P-CORE,True,True,0,0,0,0,0,0
round39_small_easy_V10_M1_Q30_slot04_seed1099392856,ST-K4-P-CORE,True,True,0,0,0,0,0,0
round39_small_easy_V10_M1_Q30_slot04_seed1099392856,ST-K4-P-CORE-HIERARCHICAL,True,True,0,0,0,0,0,0
round39_small_easy_V10_M1_Q30_slot04_seed1099392856,PAIRED-K4,True,True,0,0,0,0,0,0
round39_small_easy_V10_M1_Q30_slot04_seed1099392856,PAIRED-K4-FACTORED,True,True,0,0,0,0,0,0
round39_small_easy_V10_M1_Q30_slot04_seed1099392856,C6-SIBLING-CORE,True,True,0,0,0,0,0,0
round39_small_easy_V10_M1_Q30_slot04_seed1099392856,C6-SIBLING-CORE-FACTORED,True,True,0,0,0,0,0,0
round39_small_easy_V12_M3_Q30_slot08_seed1167625600,C6-HGA-FULL-K4,True,True,0,0,0,0,0,0
round39_small_easy_V12_M3_Q30_slot08_seed1167625600,C6-K1-SINGLE,True,True,0,0,0,0,0,0
round39_small_easy_V12_M3_Q30_slot08_seed1167625600,EXTERNAL-K2-FIXED,True,True,0,0,0,0,0,0
round39_small_easy_V12_M3_Q30_slot08_seed1167625600,ST-K2-P-CORE,True,True,0,0,0,0,0,0
round39_small_easy_V12_M3_Q30_slot08_seed1167625600,ST-K4-P-CORE,True,True,0,0,0,0,0,0
round39_small_easy_V12_M3_Q30_slot08_seed1167625600,ST-K4-P-CORE-HIERARCHICAL,True,True,0,0,0,0,0,0
round39_small_easy_V12_M3_Q30_slot08_seed1167625600,PAIRED-K4,True,True,0,0,0,0,0,0
round39_small_easy_V12_M3_Q30_slot08_seed1167625600,PAIRED-K4-FACTORED,True,True,0,0,0,0,0,0
round39_small_easy_V12_M3_Q30_slot08_seed1167625600,C6-SIBLING-CORE,True,True,1,1,2,1,0,0
round39_small_easy_V12_M3_Q30_slot08_seed1167625600,C6-SIBLING-CORE-FACTORED,True,True,1,1,2,1,0,0
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,C6-HGA-FULL-K4,True,True,0,0,0,0,0,0
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,C6-K1-SINGLE,True,True,0,0,0,0,0,0
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,EXTERNAL-K2-FIXED,True,True,0,0,0,0,0,0
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,ST-K2-P-CORE,True,True,0,0,0,0,0,0
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,ST-K4-P-CORE,True,True,0,0,0,0,0,0
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,ST-K4-P-CORE-HIERARCHICAL,True,True,0,0,0,0,0,0
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,PAIRED-K4,True,True,0,0,0,0,0,0
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,PAIRED-K4-FACTORED,True,True,0,0,0,0,0,0
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,C6-SIBLING-CORE,True,True,2,2,4,2,0,1
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,C6-SIBLING-CORE-FACTORED,True,True,2,2,4,2,0,1
round39_small_medium_V8_M3_Q30_slot03_seed1177285734,C6-HGA-FULL-K4,True,True,0,0,0,0,0,0
round39_small_medium_V8_M3_Q30_slot03_seed1177285734,C6-K1-SINGLE,True,True,0,0,0,0,0,0
round39_small_medium_V8_M3_Q30_slot03_seed1177285734,EXTERNAL-K2-FIXED,True,True,0,0,0,0,0,0
round39_small_medium_V8_M3_Q30_slot03_seed1177285734,ST-K2-P-CORE,True,True,0,0,0,0,0,0
round39_small_medium_V8_M3_Q30_slot03_seed1177285734,ST-K4-P-CORE,True,True,0,0,0,0,0,0
round39_small_medium_V8_M3_Q30_slot03_seed1177285734,ST-K4-P-CORE-HIERARCHICAL,True,True,0,0,0,0,0,0
round39_small_medium_V8_M3_Q30_slot03_seed1177285734,PAIRED-K4,True,True,0,0,0,0,0,0
round39_small_medium_V8_M3_Q30_slot03_seed1177285734,PAIRED-K4-FACTORED,True,True,0,0,0,0,0,0
round39_small_medium_V8_M3_Q30_slot03_seed1177285734,C6-SIBLING-CORE,True,True,1,0,0,0,0,0
round39_small_medium_V8_M3_Q30_slot03_seed1177285734,C6-SIBLING-CORE-FACTORED,True,True,1,0,0,0,0,0
round39_small_medium_V10_M2_Q20_slot05_seed968549317,C6-HGA-FULL-K4,True,True,0,0,0,0,0,0
round39_small_medium_V10_M2_Q20_slot05_seed968549317,C6-K1-SINGLE,True,True,0,0,0,0,0,0
round39_small_medium_V10_M2_Q20_slot05_seed968549317,EXTERNAL-K2-FIXED,True,True,0,0,0,0,0,0
round39_small_medium_V10_M2_Q20_slot05_seed968549317,ST-K2-P-CORE,True,True,0,0,0,0,0,0
round39_small_medium_V10_M2_Q20_slot05_seed968549317,ST-K4-P-CORE,True,True,0,0,0,0,0,0
round39_small_medium_V10_M2_Q20_slot05_seed968549317,ST-K4-P-CORE-HIERARCHICAL,True,True,0,0,0,0,0,0
round39_small_medium_V10_M2_Q20_slot05_seed968549317,PAIRED-K4,True,True,0,0,0,0,0,0
round39_small_medium_V10_M2_Q20_slot05_seed968549317,PAIRED-K4-FACTORED,True,True,0,0,0,0,0,0
round39_small_medium_V10_M2_Q20_slot05_seed968549317,C6-SIBLING-CORE,True,True,2,2,4,2,0,0
round39_small_medium_V10_M2_Q20_slot05_seed968549317,C6-SIBLING-CORE-FACTORED,True,True,2,2,4,2,0,0
round39_small_hard_V10_M1_Q30_slot02_seed1721447042,C6-HGA-FULL-K4,True,True,0,0,0,0,0,0
round39_small_hard_V10_M1_Q30_slot02_seed1721447042,C6-K1-SINGLE,True,True,0,0,0,0,0,0
round39_small_hard_V10_M1_Q30_slot02_seed1721447042,EXTERNAL-K2-FIXED,True,True,0,0,0,0,0,0
round39_small_hard_V10_M1_Q30_slot02_seed1721447042,ST-K2-P-CORE,True,True,0,0,0,0,0,0
round39_small_hard_V10_M1_Q30_slot02_seed1721447042,ST-K4-P-CORE,True,True,0,0,0,0,0,0
round39_small_hard_V10_M1_Q30_slot02_seed1721447042,ST-K4-P-CORE-HIERARCHICAL,True,True,0,0,0,0,0,0
round39_small_hard_V10_M1_Q30_slot02_seed1721447042,PAIRED-K4,True,True,0,0,0,0,0,0
round39_small_hard_V10_M1_Q30_slot02_seed1721447042,PAIRED-K4-FACTORED,True,True,0,0,0,0,0,0
round39_small_hard_V10_M1_Q30_slot02_seed1721447042,C6-SIBLING-CORE,True,True,0,0,0,0,0,0
round39_small_hard_V10_M1_Q30_slot02_seed1721447042,C6-SIBLING-CORE-FACTORED,True,True,0,0,0,0,0,0
round39_small_hard_V10_M1_Q20_slot01_seed561355351,C6-HGA-FULL-K4,True,True,0,0,0,0,0,0
round39_small_hard_V10_M1_Q20_slot01_seed561355351,C6-K1-SINGLE,True,True,0,0,0,0,0,0
round39_small_hard_V10_M1_Q20_slot01_seed561355351,EXTERNAL-K2-FIXED,True,True,0,0,0,0,0,0
round39_small_hard_V10_M1_Q20_slot01_seed561355351,ST-K2-P-CORE,True,True,0,0,0,0,0,0
round39_small_hard_V10_M1_Q20_slot01_seed561355351,ST-K4-P-CORE,True,True,0,0,0,0,0,0
round39_small_hard_V10_M1_Q20_slot01_seed561355351,ST-K4-P-CORE-HIERARCHICAL,True,True,0,0,0,0,0,0
round39_small_hard_V10_M1_Q20_slot01_seed561355351,PAIRED-K4,True,True,0,0,0,0,0,0
round39_small_hard_V10_M1_Q20_slot01_seed561355351,PAIRED-K4-FACTORED,True,True,0,0,0,0,0,0
round39_small_hard_V10_M1_Q20_slot01_seed561355351,C6-SIBLING-CORE,True,True,0,0,0,0,0,0
round39_small_hard_V10_M1_Q20_slot01_seed561355351,C6-SIBLING-CORE-FACTORED,True,True,0,0,0,0,0,0
round39_small_hard_V12_M3_Q20_slot07_seed621538683,C6-HGA-FULL-K4,True,True,0,0,0,0,0,0
round39_small_hard_V12_M3_Q20_slot07_seed621538683,C6-K1-SINGLE,True,True,0,0,0,0,0,0
round39_small_hard_V12_M3_Q20_slot07_seed621538683,EXTERNAL-K2-FIXED,True,True,0,0,0,0,0,0
round39_small_hard_V12_M3_Q20_slot07_seed621538683,ST-K2-P-CORE,True,True,0,0,0,0,0,0
round39_small_hard_V12_M3_Q20_slot07_seed621538683,ST-K4-P-CORE,True,True,0,0,0,0,0,0
round39_small_hard_V12_M3_Q20_slot07_seed621538683,ST-K4-P-CORE-HIERARCHICAL,True,True,0,0,0,0,0,0
round39_small_hard_V12_M3_Q20_slot07_seed621538683,PAIRED-K4,True,True,0,0,0,0,0,0
round39_small_hard_V12_M3_Q20_slot07_seed621538683,PAIRED-K4-FACTORED,True,True,0,0,0,0,0,0
round39_small_hard_V12_M3_Q20_slot07_seed621538683,C6-SIBLING-CORE,True,True,2,2,4,2,0,0
round39_small_hard_V12_M3_Q20_slot07_seed621538683,C6-SIBLING-CORE-FACTORED,True,True,2,2,4,2,0,0
round39_small_hard_V12_M3_Q30_slot08_seed1288546114,C6-HGA-FULL-K4,True,True,0,0,0,0,0,0
round39_small_hard_V12_M3_Q30_slot08_seed1288546114,C6-K1-SINGLE,True,True,0,0,0,0,0,0
round39_small_hard_V12_M3_Q30_slot08_seed1288546114,EXTERNAL-K2-FIXED,True,True,0,0,0,0,0,0
round39_small_hard_V12_M3_Q30_slot08_seed1288546114,ST-K2-P-CORE,True,True,0,0,0,0,0,0
round39_small_hard_V12_M3_Q30_slot08_seed1288546114,ST-K4-P-CORE,True,True,0,0,0,0,0,0
