instance_id,diagnostic_role,external_k2_exact_seconds,static_k2_exact_seconds,static_over_external_shifted_time_ratio,external_k2_work,static_k2_work,static_over_external_work_ratio,external_k2_nodes,static_k2_nodes,external_k2_proof_jobs,static_k2_proof_jobs,external_k2_model_variables,static_k2_model_variables,external_k2_model_nonzeros,static_k2_model_nonzeros,external_k2_strict_certificate,static_k2_strict_certificate,objective_match,false_certificate
round39_small_easy_V10_M1_Q30_slot04_seed1099392856,easy_p_grb_win,0.13695449999999987,0.07801029999999987,0.9481560607746397,0.034255986772981,0.01967391410387256,0.574320460661496,0.0,0.0,2,1,1198,715,32926,17334,True,True,True,False
round39_small_easy_V12_M3_Q30_slot08_seed1167625600,largest_easy_p_grb_win,13.4734197,9.608178500000001,0.7329420910802442,24.573564695071198,17.310078979004654,0.7044187196201369,101.0,75.0,2,1,3088,1682,338392,170479,True,True,True,False
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,major_fragmentation_regression,1689.4766614,761.6412437,0.45113976496333547,3842.4011490636367,1738.4051548458615,0.45242677362552247,44067.0,17047.0,2,1,3088,1682,338392,170467,True,True,True,False
round39_small_medium_V8_M3_Q30_slot03_seed1177285734,additional_medium_c6_win,2.2074894,1.7505464,0.857538734188802,2.8773933717564564,2.2881390457967505,0.795212454527896,304.0,439.0,2,1,1636,908,31202,16433,True,True,True,False
round39_small_medium_V10_M2_Q20_slot05_seed968549317,additional_medium_c6_win,36.4045093,68.30634620000001,1.8528874592133737,68.37882573871624,137.18979775347978,2.0063198844288226,4134.0,7422.0,2,1,1774,1007,63978,33098,True,True,True,False
round39_small_hard_V10_M1_Q30_slot02_seed1721447042,hard_p_grb_win,0.8317922,1.3264558000000002,1.2700435125774638,0.6996220874262028,1.136359323864854,1.6242473533752162,1.0,1.0,2,1,1190,709,35844,18934,True,True,True,False
round39_small_hard_V10_M1_Q20_slot01_seed561355351,hard_p_grb_win,0.6933758,0.6339372999999999,0.9648994039007761,0.47959180149195757,0.5073573214435362,1.0578940671320967,1.0,1.0,2,1,1166,691,35787,18895,True,True,True,False
round39_small_hard_V12_M3_Q20_slot07_seed621538683,numerical_fail_closed_endpoint,66.2649017,82.16373920000001,1.2363615659606326,126.15975913495933,161.62866410135618,1.2811427765049392,2302.0,3158.0,2,1,3080,1676,336567,169548,True,False,True,False
round39_small_hard_V12_M3_Q30_slot08_seed1288546114,strongest_k4_positive_control,75.96399559999999,98.8233599,1.2970137415786664,137.62512594879036,183.29575396677566,1.3318480379446056,12265.0,11378.0,2,1,3080,1676,337161,169845,True,True,True,False
round39_small_hard_V10_M3_Q20_slot04_seed1145042375,additional_hard_c6_win,5.6009909,7.9314171,1.3530418743646504,7.451252742477848,11.27574289153087,1.5132680746756177,614.0,703.0,2,1,2302,1263,88591,45334,True,True,True,False
