instance_id,arm,strict_certificate,original_problem_verifier_passed,parameter_roundtrip_valid,false_certificate,coverage_valid,lifecycle_complete,status
round39_small_easy_V10_M1_Q30_slot04_seed1099392856,C6-HGA-FULL-K4,True,True,True,False,True,True,optimal
round39_small_easy_V10_M1_Q30_slot04_seed1099392856,C6-K1-SINGLE,True,True,True,False,True,True,optimal
round39_small_easy_V10_M1_Q30_slot04_seed1099392856,EXTERNAL-K2-FIXED,True,True,True,False,True,True,optimal
round39_small_easy_V10_M1_Q30_slot04_seed1099392856,ST-K2-P-CORE,True,True,True,False,True,True,optimal
round39_small_easy_V10_M1_Q30_slot04_seed1099392856,ST-K4-P-CORE,True,True,True,False,True,True,optimal
round39_small_easy_V10_M1_Q30_slot04_seed1099392856,ST-K4-P-CORE-HIERARCHICAL,True,True,True,False,True,True,optimal
round39_small_easy_V10_M1_Q30_slot04_seed1099392856,PAIRED-K4,True,True,True,False,True,True,optimal
round39_small_easy_V10_M1_Q30_slot04_seed1099392856,PAIRED-K4-FACTORED,True,True,True,False,True,True,optimal
round39_small_easy_V10_M1_Q30_slot04_seed1099392856,C6-SIBLING-CORE,True,True,True,False,True,True,optimal
round39_small_easy_V10_M1_Q30_slot04_seed1099392856,C6-SIBLING-CORE-FACTORED,True,True,True,False,True,True,optimal
round39_small_easy_V12_M3_Q30_slot08_seed1167625600,C6-HGA-FULL-K4,True,True,True,False,True,True,optimal
round39_small_easy_V12_M3_Q30_slot08_seed1167625600,C6-K1-SINGLE,True,True,True,False,True,True,optimal
round39_small_easy_V12_M3_Q30_slot08_seed1167625600,EXTERNAL-K2-FIXED,True,True,True,False,True,True,optimal
round39_small_easy_V12_M3_Q30_slot08_seed1167625600,ST-K2-P-CORE,True,True,True,False,True,True,optimal
round39_small_easy_V12_M3_Q30_slot08_seed1167625600,ST-K4-P-CORE,True,True,True,False,True,True,optimal
round39_small_easy_V12_M3_Q30_slot08_seed1167625600,ST-K4-P-CORE-HIERARCHICAL,True,True,True,False,True,True,optimal
round39_small_easy_V12_M3_Q30_slot08_seed1167625600,PAIRED-K4,True,True,True,False,True,True,optimal
round39_small_easy_V12_M3_Q30_slot08_seed1167625600,PAIRED-K4-FACTORED,True,True,True,False,True,True,optimal
round39_small_easy_V12_M3_Q30_slot08_seed1167625600,C6-SIBLING-CORE,True,True,True,False,True,True,optimal
round39_small_easy_V12_M3_Q30_slot08_seed1167625600,C6-SIBLING-CORE-FACTORED,True,True,True,False,True,True,optimal
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,C6-HGA-FULL-K4,True,True,True,False,True,True,optimal
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,C6-K1-SINGLE,True,True,True,False,True,True,optimal
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,EXTERNAL-K2-FIXED,True,True,True,False,True,True,optimal
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,ST-K2-P-CORE,True,True,True,False,True,True,optimal
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,ST-K4-P-CORE,True,True,True,False,True,True,optimal
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,ST-K4-P-CORE-HIERARCHICAL,True,True,True,False,True,True,optimal
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,PAIRED-K4,True,True,True,False,True,True,optimal
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,PAIRED-K4-FACTORED,True,True,True,False,True,True,optimal
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,C6-SIBLING-CORE,False,True,True,False,True,True,round31_c6_external_gini_tree_time_limit
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,C6-SIBLING-CORE-FACTORED,False,True,True,False,True,True,round31_c6_external_gini_tree_time_limit
round39_small_medium_V8_M3_Q30_slot03_seed1177285734,C6-HGA-FULL-K4,True,True,True,False,True,True,optimal
round39_small_medium_V8_M3_Q30_slot03_seed1177285734,C6-K1-SINGLE,True,True,True,False,True,True,optimal
round39_small_medium_V8_M3_Q30_slot03_seed1177285734,EXTERNAL-K2-FIXED,True,True,True,False,True,True,optimal
round39_small_medium_V8_M3_Q30_slot03_seed1177285734,ST-K2-P-CORE,True,True,True,False,True,True,optimal
round39_small_medium_V8_M3_Q30_slot03_seed1177285734,ST-K4-P-CORE,True,True,True,False,True,True,optimal
round39_small_medium_V8_M3_Q30_slot03_seed1177285734,ST-K4-P-CORE-HIERARCHICAL,True,True,True,False,True,True,optimal
round39_small_medium_V8_M3_Q30_slot03_seed1177285734,PAIRED-K4,True,True,True,False,True,True,optimal
round39_small_medium_V8_M3_Q30_slot03_seed1177285734,PAIRED-K4-FACTORED,True,True,True,False,True,True,optimal
round39_small_medium_V8_M3_Q30_slot03_seed1177285734,C6-SIBLING-CORE,True,True,True,False,True,True,optimal
