instance_id,arm,component_count,root_lp_bound,root_lp_work,root_lp_seconds,route_binary_fractionality,visit_binary_fractionality,inventory_bit_fractionality,selector_binary_fractionality,gbit_product_ambiguity,simplex_iterations,barrier_iterations,model_variables,model_rows,model_nonzeros,presolved_rows,presolved_columns,presolved_nonzeros,diagnostic_valid,model_sha256
round39_small_easy_V10_M1_Q30_slot04_seed1099392856,ST-K2-P-CORE,1,0,0.049337152614323296,0.024000167846679688,5.759112392607351,4.9418328668531455,6.61328125,0,0,104,0,715,3478,17334,1720,277,13527,True,1e6bba36e61efdd5026651b6887e8be4e630e256a84fe5ecd4a4302f2b231e50
round39_small_easy_V10_M1_Q30_slot04_seed1099392856,ST-K4-P-CORE,1,0,0.052347076686952675,0.026000022888183594,4.344943248248449,3.524706614429923,6.23046875,0,0,0,0,947,4280,19076,2088,481,14578,True,4c7ce6151a619cfc30b9fd57127ff489724a32180e90811605562de2a64a1d94
round39_small_easy_V10_M1_Q30_slot04_seed1099392856,ST-K4-P-CORE-HIERARCHICAL,1,0,0.05194363236936405,0.026000022888183594,4.3203260922165345,3.5325931193152025,6.23046875,0,0,0,0,949,4283,19084,0,0,0,True,c8ae5dad36c63c3d4f229714036839f6a1b352c9e3f19c5211b2b746cc514db1
round39_small_easy_V10_M1_Q30_slot04_seed1099392856,EXTERNAL-K2-FIXED,2,0.0,0.08498185689286565,0.03699970245361328,7.05252196834657,5.707444556925022,7.453125,0.0,0.0,,,1198,6154,32926,3456,562,27086,True,26ca53827d52477851de7a5f50a05e45d817657f1120f906bac035a7ef76242c;26ca53827d52477851de7a5f50a05e45d817657f1120f906bac035a7ef76242c
round39_small_easy_V10_M1_Q30_slot04_seed1099392856,PAIRED-K4,2,0.0,0.09867430522864659,0.04799985885620117,5.759112392607351,4.9418328668531455,6.61328125,0.0,0.0,,,1430,6956,34668,3440,554,27054,True,1e6bba36e61efdd5026651b6887e8be4e630e256a84fe5ecd4a4302f2b231e50;1e6bba36e61efdd5026651b6887e8be4e630e256a84fe5ecd4a4302f2b231e50
round39_small_easy_V10_M1_Q30_slot04_seed1099392856,PAIRED-K4-FACTORED,2,0.0,0.055524934482262624,0.026000022888183594,5.723852117907606,3.9939341360902016,6.640625,0.0,0.0,,,1430,7412,35678,0,0,0,True,253979fd0bd2afed081b72da5e239662cd6926d72bf37f785f2254f8dc014866;253979fd0bd2afed081b72da5e239662cd6926d72bf37f785f2254f8dc014866
round39_small_easy_V10_M1_Q30_slot04_seed1099392856,C6-HGA-FULL-K4,0,,0,,,,,,,,,,,,,,,False,
round39_small_easy_V10_M1_Q30_slot04_seed1099392856,C6-SIBLING-CORE,0,,0,,,,,,,,,,,,,,,False,
round39_small_easy_V10_M1_Q30_slot04_seed1099392856,C6-SIBLING-CORE-FACTORED,0,,0,,,,,,,,,,,,,,,False,
round39_small_easy_V12_M3_Q30_slot08_seed1167625600,ST-K2-P-CORE,1,0.011299500847048411,2.273110372565638,1.3220000267028809,11.104235875244868,7.56411913029307,52.2196206143275,0,0.19034723716816862,1400,0,1682,17555,170479,17251,1552,174314,True,1814d484efc740ca1c59753d2644200a2130ad186f62e248c6fae6b2387f82f0
