round_id,experiment_group,serial_order,diagnostic_role,instance_id,arm,run_id,kind,executable_sha256,process_cap_seconds,status,objective,valid_lower_bound,verified_upper_bound,strict_certificate,original_problem_verifier_passed,parameter_roundtrip_valid,false_certificate,exact_phase_seconds,total_process_seconds,solver_work,solver_nodes,independent_integer_proof_jobs,native_optimize_calls,model_sha256,model_variables,model_binary_variables,model_integer_variables,model_continuous_variables,model_linear_constraints,model_nonzeros,model_general_constraints,model_build_seconds,model_read_seconds,selector_variables,perspective_variables,root_lp_bound,presolved_rows,presolved_columns,presolved_nonzeros,sibling_pairs_considered,sibling_pairs_coalesced,sibling_replaced_leaf_count,sibling_atomic_coverage_events,sibling_fallback_events,sibling_unresolved_union_count,coverage_valid,lifecycle_complete
42,development,1,easy_p_grb_win,round39_small_easy_V10_M1_Q30_slot04_seed1099392856,C6-HGA-FULL-K4,c6__round39_small_easy_V10_M1_Q30_slot04_seed1099392856__c6-reference__development_reference,external-c6,82178ffbbb8106c06661fcec8fd57ce7fe63b1fb9b6340b9d85bd269fc013fbe,1800.0,optimal,0,0,0,True,True,True,False,0.012866899999999681,2.645526,0.0,0.0,0,0,,0,,,,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,True,True
42,development,1,easy_p_grb_win,round39_small_easy_V10_M1_Q30_slot04_seed1099392856,C6-K1-SINGLE,c6__round39_small_easy_V10_M1_Q30_slot04_seed1099392856__k1-single-reference__development_k1_reference,external-c6,82178ffbbb8106c06661fcec8fd57ce7fe63b1fb9b6340b9d85bd269fc013fbe,1800.0,optimal,0,0,0,True,True,True,False,0.018734100000000087,3.1020727,0.0,0.0,0,0,,0,,,,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,True,True
42,development,1,easy_p_grb_win,round39_small_easy_V10_M1_Q30_slot04_seed1099392856,EXTERNAL-K2-FIXED,composite__round39_small_easy_V10_M1_Q30_slot04_seed1099392856__external-k2-fixed__mip__development_same_k,fixed-external-block-cover,82178ffbbb8106c06661fcec8fd57ce7fe63b1fb9b6340b9d85bd269fc013fbe,per-component,optimal,0.0,0.0,0.0,True,True,True,False,0.13695449999999987,5.328135,0.034255986772981,0.0,2,2,26ca53827d52477851de7a5f50a05e45d817657f1120f906bac035a7ef76242c;26ca53827d52477851de7a5f50a05e45d817657f1120f906bac035a7ef76242c,1198,376,80,742,6154,32926,456,0.0599313,0.0114064,,,,,,,0,0,0,0,0,0,True,True
42,development,1,easy_p_grb_win,round39_small_easy_V10_M1_Q30_slot04_seed1099392856,ST-K2-P-CORE,static__round39_small_easy_V10_M1_Q30_slot04_seed1099392856__st-k2-p-core-reference__mip__development_same_k,static-single-tree,82178ffbbb8106c06661fcec8fd57ce7fe63b1fb9b6340b9d85bd269fc013fbe,1800.0,optimal,0,0,0,True,True,True,False,0.07801029999999987,2.6756414,0.01967391410387256,0.0,1,1,1e6bba36e61efdd5026651b6887e8be4e630e256a84fe5ecd4a4302f2b231e50,715,189,40,486,3478,17334,456,0.0361266,0.0061509,2,230,0,157,90,546,0,0,0,0,0,0,True,True
42,development,1,easy_p_grb_win,round39_small_easy_V10_M1_Q30_slot04_seed1099392856,ST-K4-P-CORE,static__round39_small_easy_V10_M1_Q30_slot04_seed1099392856__st-k4-p-core__mip__development_family_a_base,static-single-tree,82178ffbbb8106c06661fcec8fd57ce7fe63b1fb9b6340b9d85bd269fc013fbe,1800.0,optimal,0,0,0,True,True,True,False,0.1037741999999997,2.7534655,0.022189318518161416,0.0,1,1,4c7ce6151a619cfc30b9fd57127ff489724a32180e90811605562de2a64a1d94,947,191,40,716,4280,19076,912,0.0393431,0.0076694,4,460,0,157,90,546,0,0,0,0,0,0,True,True
42,development,1,easy_p_grb_win,round39_small_easy_V10_M1_Q30_slot04_seed1099392856,ST-K4-P-CORE-HIERARCHICAL,static__round39_small_easy_V10_M1_Q30_slot04_seed1099392856__st-k4-p-core-hierarchical__mip__development_family_a_hierarchical,static-single-tree,82178ffbbb8106c06661fcec8fd57ce7fe63b1fb9b6340b9d85bd269fc013fbe,1800.0,optimal,0,0,0,True,True,True,False,0.07908939999999998,2.6529925,0.022202172717865405,0.0,1,1,c8ae5dad36c63c3d4f229714036839f6a1b352c9e3f19c5211b2b746cc514db1,949,193,40,716,4283,19084,912,0.0387312,0.0072929,4,460,0,0,0,0,0,0,0,0,0,0,True,True
42,development,1,easy_p_grb_win,round39_small_easy_V10_M1_Q30_slot04_seed1099392856,PAIRED-K4,composite__round39_small_easy_V10_M1_Q30_slot04_seed1099392856__paired-k4__mip__development_family_b_base,fixed-external-block-cover,82178ffbbb8106c06661fcec8fd57ce7fe63b1fb9b6340b9d85bd269fc013fbe,per-component,optimal,0.0,0.0,0.0,True,True,True,False,0.1501800999999996,5.3749524,0.03934782820774512,0.0,2,2,1e6bba36e61efdd5026651b6887e8be4e630e256a84fe5ecd4a4302f2b231e50;1e6bba36e61efdd5026651b6887e8be4e630e256a84fe5ecd4a4302f2b231e50,1430,378,80,972,6956,34668,912,0.0666715,0.0125164,,,,,,,0,0,0,0,0,0,True,True
42,development,1,easy_p_grb_win,round39_small_easy_V10_M1_Q30_slot04_seed1099392856,PAIRED-K4-FACTORED,composite__round39_small_easy_V10_M1_Q30_slot04_seed1099392856__paired-k4-factored__mip__development_family_b_factored,fixed-external-block-cover,82178ffbbb8106c06661fcec8fd57ce7fe63b1fb9b6340b9d85bd269fc013fbe,per-component,optimal,0.0,0.0,0.0,True,True,True,False,0.13933810000000024,5.5265089,0.02653953086402315,0.0,2,2,253979fd0bd2afed081b72da5e239662cd6926d72bf37f785f2254f8dc014866;253979fd0bd2afed081b72da5e239662cd6926d72bf37f785f2254f8dc014866,1430,378,80,972,7412,35678,0,0.0694289,0.013418300000000001,,,,,,,0,0,0,0,0,0,True,True
42,development,1,easy_p_grb_win,round39_small_easy_V10_M1_Q30_slot04_seed1099392856,C6-SIBLING-CORE,c6__round39_small_easy_V10_M1_Q30_slot04_seed1099392856__sibling-core__development_family_c_base,external-c6,82178ffbbb8106c06661fcec8fd57ce7fe63b1fb9b6340b9d85bd269fc013fbe,1800.0,optimal,0,0,0,True,True,True,False,0.011171299999999995,2.6477449,0.0,0.0,0,0,,0,,,,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,True,True
42,development,1,easy_p_grb_win,round39_small_easy_V10_M1_Q30_slot04_seed1099392856,C6-SIBLING-CORE-FACTORED,c6__round39_small_easy_V10_M1_Q30_slot04_seed1099392856__sibling-core-factored__development_family_c_factored,external-c6,82178ffbbb8106c06661fcec8fd57ce7fe63b1fb9b6340b9d85bd269fc013fbe,1800.0,optimal,0,0,0,True,True,True,False,0.01043649999999996,2.574739,0.0,0.0,0,0,,0,,,,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,True,True
42,development,2,largest_easy_p_grb_win,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,C6-HGA-FULL-K4,c6__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__c6-reference__development_reference,external-c6,82178ffbbb8106c06661fcec8fd57ce7fe63b1fb9b6340b9d85bd269fc013fbe,1800.0,optimal,0.021337006039780566,0.021337006039780566,0.021337006039780566,True,True,True,False,26.410932199999998,31.7098043,47.3035471806965,146.0,7,19,,0,,,,0,0,0,2.5081593,0.5231842,0,0,,,,,0,0,0,0,0,0,True,True
42,development,2,largest_easy_p_grb_win,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,C6-K1-SINGLE,c6__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__k1-single-reference__development_k1_reference,external-c6,82178ffbbb8106c06661fcec8fd57ce7fe63b1fb9b6340b9d85bd269fc013fbe,1800.0,optimal,0.021337006039780566,0.021337006039780566,0.021337006039780566,True,True,True,False,13.2695003,18.716443,26.92093860322223,43.0,1,2,,0,,,,0,0,0,0.2144104,0.0488308,0,0,,,,,0,0,0,0,0,0,True,True
42,development,2,largest_easy_p_grb_win,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,EXTERNAL-K2-FIXED,composite__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__external-k2-fixed__mip__development_same_k,fixed-external-block-cover,82178ffbbb8106c06661fcec8fd57ce7fe63b1fb9b6340b9d85bd269fc013fbe,per-component,optimal,0.021337006039780566,0.021337006039780615,0.021337006039780566,True,True,True,False,13.4734197,23.7238185,24.573564695071198,101.0,2,2,9491bb4dd2b422ba181fa14f8f03ae7dd51e1967f3f4448b81715892d9717da9;86263d959825bfe3812a3d2e233faa5814b0d2ca8def726e62e4fd561d87f33a,3088,1218,240,1630,34155,338392,711,0.4244033,0.08914720000000001,,,,,,,0,0,0,0,0,0,True,True
