instance_id,arm,model_sha256,model_variables,model_binary_variables,model_integer_variables,model_continuous_variables,model_build_seconds,model_read_seconds,model_linear_constraints,model_nonzeros,model_general_constraints,selector_variables,perspective_variables,presolved_rows,presolved_columns,presolved_nonzeros
round39_small_easy_V12_M3_Q30_slot08_seed1167625600,ST-K4-P-CORE,bf854b61e5154ece888f96fe2edf97c9a169ff42b45057a799bad00995dc4f18,1958,612,120,1226,0.2449499,0.0497335,18511,173405,1424,4,548,16756,1643,185508
round39_small_easy_V12_M3_Q30_slot08_seed1167625600,ST-K4-P-CORE-HIERARCHICAL,3b7c95cfe9e53e37159f2a7830e182a56a12c1796a093065325fb90ca0fdb15a,1960,614,120,1226,0.2461401,0.0495486,18514,173413,1424,4,548,0,0,0
round39_small_easy_V12_M3_Q30_slot08_seed1167625600,PAIRED-K4,e9f0fefe05a6fa6dc5839fdce1725dd05171404095eeb35618a0222ea170fa3f;3a9f1f6fb72e23fabae89099aa38c344b074703771a89bcf8ab108e47bc15abb,3364,1220,240,1904,0.4522428,0.0939778,35111,341318,1424,,,,,
round39_small_easy_V12_M3_Q30_slot08_seed1167625600,PAIRED-K4-FACTORED,aedcc62230491918309e6edb3cea3ae55315256a67251a5ea782ab21791bc40f;3b59756a64f88c41436bae980619df41a2820fd3e797555231264d920974e3e5,3364,1220,240,1904,0.48111170000000003,0.1007358,35412,342702,822,,,,,
round39_small_easy_V12_M3_Q30_slot08_seed1167625600,C6-SIBLING-CORE,6f870b3c0ad762a2ec4fd32b7ce43359c7757a210b700fec808715e0b942c71e,1682,,,,2.7153406,0.5685369999999998,18268,177863,712,2,274,,,
round39_small_easy_V12_M3_Q30_slot08_seed1167625600,C6-SIBLING-CORE-FACTORED,80504e3f01ad1dcd559ffe5930059ba183bda8367c4b38aa1c674f5779773c7a,1682,,,,2.7100780999999996,0.5557939,18117,177447,410,2,274,,,
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,C6-HGA-FULL-K4,,0,,,,2.955483,0.6120166,0,0,0,0,0,,,
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,C6-K1-SINGLE,,0,,,,0.2277764,0.0454692,0,0,0,0,0,,,
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,EXTERNAL-K2-FIXED,1fd4e5c5c7ad41aeffaa3fd8d5989b794715cba5a6d66cc7f56ae9eef5546d72;b9cf8de6874d01d043fc989f69a2bef90820b31a1a9f5e22328f8a89b13b16c0,3088,1218,240,1630,0.4443054,0.09832199999999999,34156,338392,712,,,,,
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,ST-K2-P-CORE,98bbf2251e0cea65298748de77af31afc3ebc806184f6425870b0657c847ff79,1682,610,120,952,0.2322877,0.0494999,17554,170467,712,2,274,16128,1448,168364
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,ST-K4-P-CORE,ec8c0577b70c660bfdf5fb88f5bc167062981cf82ff9bf933c202418de8088dc,1958,612,120,1226,0.2555737,0.0742578,18510,173390,1430,4,548,17552,1711,181963
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,ST-K4-P-CORE-HIERARCHICAL,bd020e4e411fc2413d5f5dd522bf45e1b35a9dbc52c571f73d9aec26ab8d8ece,1960,614,120,1226,0.2722524,0.0526981,18513,173398,1430,4,548,0,0,0
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,PAIRED-K4,29f7ab296a63a1fa439769fba3a3853ee5f5abd7eab99bb4ad34aeacf63ddf29;b982c2230b4a8f288e0f3df91221282650869fae7b9db89a6cc98673b291c237,3364,1220,240,1904,0.4928581,0.1033458,35112,341315,1430,,,,,
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,PAIRED-K4-FACTORED,235932bae49c2c36c86025a19027df47f49d5b768cc1f008fa59ba9ecdf4e83e;128bdaa171e166cdc1c04493831b72e100917b76cd1611d3c2f441b67c5042f7,3364,1220,240,1904,0.5044835,0.0995971,35414,342713,826,,,,,
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,C6-SIBLING-CORE,29f7ab296a63a1fa439769fba3a3853ee5f5abd7eab99bb4ad34aeacf63ddf29;0f06eeb54de4d238335abf0de07b944aef05018498b7dbf57da9cbdc8b7d8429,3364,,,,3.3515388,0.7039605999999998,36546,355422,1432,4,548,,,
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,C6-SIBLING-CORE-FACTORED,235932bae49c2c36c86025a19027df47f49d5b768cc1f008fa59ba9ecdf4e83e;532639990819263ae2ed745661c945debe4174cc52a4269861453d04b4b4c5d1,3364,,,,3.3731218,0.6892678999999999,36242,354588,824,4,548,,,
round39_small_medium_V8_M3_Q30_slot03_seed1177285734,C6-HGA-FULL-K4,,0,,,,0.31923630000000003,0.05634010000000001,0,0,0,0,0,,,
round39_small_medium_V8_M3_Q30_slot03_seed1177285734,C6-K1-SINGLE,,0,,,,0.0261716,0.0049276,0,0,0,0,0,,,
round39_small_medium_V8_M3_Q30_slot03_seed1177285734,EXTERNAL-K2-FIXED,a9d983ca88df0add718985a133198bcc3abe75f04994c3d549e1ded274c61b15;3d5586cffde4e67e7a44f47b030339a27064f7f27aeba8fe72d3ad6d376d6cd3,1636,618,160,858,0.0625146,0.0114661,6279,31202,327,,,,,
round39_small_medium_V8_M3_Q30_slot03_seed1177285734,ST-K2-P-CORE,5cafb2bccd4d0261d67561d0cb96bcb8acbc640112b78707166a5a81651f346f,908,310,80,518,0.0373927,0.006535,3449,16433,327,2,178,1866,576,12761
round39_small_medium_V8_M3_Q30_slot03_seed1177285734,ST-K4-P-CORE,1836c1ba348e2150f00bd501701efb2d64220556356b664589182b83337e3adc,1088,312,80,696,0.0467653,0.0085284,4069,18335,655,4,356,2354,665,15817
round39_small_medium_V8_M3_Q30_slot03_seed1177285734,ST-K4-P-CORE-HIERARCHICAL,a002ae1c2f6b3382669f999904f72ca397f8fa1dc457fc3618bc72fdd2985c7f,1090,314,80,696,0.0477043,0.008295,4072,18343,655,4,356,0,0,0
round39_small_medium_V8_M3_Q30_slot03_seed1177285734,PAIRED-K4,2090e71b7d90b7ad5bd59ee5bf3c523b9ebe4673a947ae9bc0d6f1a92f85c35e;b6f38a27a3a89b14229e7fda6e8f12c83f42d91977d3c42b8366d18be423365d,1816,620,160,1036,0.07708090000000001,0.0142978,6899,33104,655,,,,,
round39_small_medium_V8_M3_Q30_slot03_seed1177285734,PAIRED-K4-FACTORED,5b863138b7ed78b6a0fc7776deb3bbb159356ed47a534011438e0b203a343947;ea2bcbe2863ec6829dd4ce3c5d0e457996fc5f32497b02f2fbba560b24bee50d,1816,620,160,1036,0.0765046,0.0130624,7044,33788,365,,,,,
round39_small_medium_V8_M3_Q30_slot03_seed1177285734,C6-SIBLING-CORE,,0,,,,0.3439795000000001,0.0663938,0,0,0,0,0,,,
round39_small_medium_V8_M3_Q30_slot03_seed1177285734,C6-SIBLING-CORE-FACTORED,,0,,,,0.35641179999999995,0.0703994,0,0,0,0,0,,,
round39_small_medium_V10_M2_Q20_slot05_seed968549317,C6-HGA-FULL-K4,,0,,,,0.5531887000000001,0.1021748,0,0,0,0,0,,,
