telemetry_seconds,event,leaf_id,global_lb,verified_ub
0.022663,initialize,R,0,0.0485429
0.268548,lp_complete,R,0,0.0485429
0.268575,atomic_split,R,0,0.0485429
0.534325,lp_complete,R.0,0,0.0485429
0.534348,atomic_split,R.0,0,0.0485429
0.80828,lp_complete,R.0.0,0,0.0485429
0.808303,atomic_split,R.0.0,0,0.0485429
1.07852,lp_complete,R.0.0.0,0,0.0485429
1.07855,atomic_split,R.0.0.0,0,0.0485429
1.33537,lp_complete,R.0.0.0.0,0,0.0485429
1.33539,atomic_split,R.0.0.0.0,0,0.0485429
1.60783,lp_complete,R.0.0.0.0.0,0,0.0485429
1.60786,atomic_split,R.0.0.0.0.0,0,0.0485429
1.87278,lp_complete,R.0.0.0.0.0.0,0,0.0485429
1.87281,atomic_split,R.0.0.0.0.0.0,0,0.0485429
2.15172,lp_complete,R.0.0.0.0.0.0.0,0,0.0485429
2.15175,atomic_split,R.0.0.0.0.0.0.0,0,0.0485429
2.41678,lp_complete,R.0.0.0.0.0.0.0.0,0,0.0485429
2.41681,atomic_split,R.0.0.0.0.0.0.0.0,0,0.0485429
2.68324,lp_complete,R.0.0.0.0.0.0.0.0.0,0,0.0485429
3.15056,terminal_mip_complete,R.0.0.0.0.0.0.0.0.0,0,0.0485429
3.41901,lp_complete,R.0.0.0.0.0.0.0.0.1,0,0.0485429
3.88313,terminal_mip_complete,R.0.0.0.0.0.0.0.0.1,0,0.0485429
4.15935,lp_complete,R.0.0.0.0.0.0.0.1,0,0.0485429
4.15938,atomic_split,R.0.0.0.0.0.0.0.1,0,0.0485429
4.41938,lp_complete,R.0.0.0.0.0.0.1,0,0.0485429
4.4194,atomic_split,R.0.0.0.0.0.0.1,0,0.0485429
4.67431,lp_complete,R.0.0.0.0.0.1,0,0.0485429
4.67434,atomic_split,R.0.0.0.0.0.1,0,0.0485429
4.94764,lp_complete,R.0.0.0.0.1,0,0.0485429
4.94766,atomic_split,R.0.0.0.0.1,0,0.0485429
5.2069,lp_complete,R.0.0.0.1,0,0.0485429
5.20693,atomic_split,R.0.0.0.1,0,0.0485429
5.47027,lp_complete,R.0.0.1,0,0.0485429
5.47029,atomic_split,R.0.0.1,0,0.0485429
