vehicle,route_sequence_position,predecessor,station,successor,pickup,drop,load_before,load_after,travel_time_from_predecessor,operation_time,station_inventory_after
0,1,0,18,7,20,0,0,20,406.11900072000384,1200.0,31
0,2,18,7,1,0,7,20,13,343.6488186571357,420.0,14
0,3,7,1,15,0,9,13,4,516.527945889665,540.0,17
0,4,1,15,0,12,0,4,16,451.67837553996543,720.0,16
1,1,0,11,17,9,0,0,9,761.1209939295195,540.0,15
1,2,11,17,2,11,0,9,20,1363.186950212202,660.0,15
1,3,17,2,13,0,14,20,6,1199.278723759219,840.0,28
1,4,2,13,6,0,6,6,0,272.5149868523902,360.0,13
1,5,13,6,8,16,0,0,16,1072.3403697637152,960.0,27
1,6,6,8,0,0,5,16,11,904.0162990962973,300.0,11
2,1,0,12,5,20,0,0,20,86.47685426526834,1200.0,39
2,2,12,5,9,0,16,20,4,805.438452819573,960.0,28
2,3,5,9,3,10,0,4,14,1588.1231268611039,600.0,13
2,4,9,3,19,0,8,14,6,415.5123295684629,480.0,17
2,5,3,19,16,0,6,6,0,1499.3690850010141,360.0,12
2,6,19,16,14,9,0,0,9,899.5217097194145,540.0,13
2,7,16,14,10,0,7,9,2,434.86755219884657,420.0,13
2,8,14,10,20,9,0,2,11,404.78569301287445,540.0,13
2,9,10,20,4,9,0,11,20,204.7206018281066,540.0,13
2,10,20,4,0,0,8,20,12,312.7129005455666,480.0,16
