generation,best_fitness,strict_improvement
0,-3.2832657237423368,true
1,-3.2832657237423368,false
2,-3.2832657237423368,false
3,-3.2646892725543091,true
4,-3.2646892725543091,false
5,-3.2646892725543091,false
6,-3.2589191719948696,true
7,-3.2189489406007126,true
8,-3.2189489406007126,false
9,-3.2189489406007126,false
10,-3.2189489406007126,false
11,-3.2189489406007126,false
12,-3.2189489406007126,false
13,-3.2189489406007126,false
14,-3.2189489406007126,false
15,-3.2189489406007126,false
16,-3.2189489406007126,false
17,-3.2189489406007126,false
18,-3.2189489406007126,false
19,-3.2189489406007126,false
20,-3.2189489406007126,false
21,-3.2189489406007126,false
22,-3.2189489406007126,false
23,-3.2189489406007126,false
24,-3.2189489406007126,false
25,-3.2189489406007126,false
26,-3.2176703770945942,true
27,-3.2176703770945942,false
28,-3.2176703770945942,false
29,-3.2176703770945942,false
30,-3.2176703770945942,false
31,-3.2160122583522783,true
32,-3.2160122583522783,false
33,-3.2160122583522783,false
34,-3.2160122583522783,false
35,-3.2160122583522783,false
36,-3.2160122583522783,false
37,-3.2160122583522783,false
38,-3.2160122583522783,false
39,-3.2160122583522783,false
40,-3.2160122583522783,false
41,-3.2160122583522783,false
42,-3.2160122583522783,false
43,-3.2160122583522783,false
44,-3.2160122583522783,false
45,-3.2160122583522783,false
46,-3.2160122583522783,false
47,-3.2160122583522783,false
48,-3.2160122583522783,false
49,-3.2160122583522783,false
50,-3.2160122583522783,false
51,-3.2160122583522783,false
52,-3.2160122583522783,false
53,-3.2160122583522783,false
54,-3.2160122583522783,false
55,-3.2160122583522783,false
56,-3.2160122583522783,false
57,-3.2160122583522783,false
58,-3.2160122583522783,false
59,-3.2160122583522783,false
60,-3.2160122583522783,false
61,-3.2160122583522783,false
62,-3.2160122583522783,false
63,-3.2160122583522783,false
64,-3.2160122583522783,false
65,-3.2160122583522783,false
66,-3.2160122583522783,false
67,-3.2160122583522783,false
68,-3.2160122583522783,false
69,-3.2160122583522783,false
70,-3.2160122583522783,false
71,-3.2160122583522783,false
72,-3.2160122583522783,false
73,-3.2160122583522783,false
74,-3.2160122583522783,false
75,-3.2160122583522783,false
76,-3.2160122583522783,false
77,-3.2160122583522783,false
78,-3.2160122583522783,false
79,-3.2160122583522783,false
80,-3.2160122583522783,false
81,-3.2160122583522783,false
82,-3.2160122583522783,false
83,-3.2160122583522783,false
84,-3.2160122583522783,false
85,-3.2160122583522783,false
86,-3.2160122583522783,false
87,-3.2160122583522783,false
88,-3.2160122583522783,false
89,-3.2160122583522783,false
90,-3.2160122583522783,false
91,-3.2160122583522783,false
92,-3.2160122583522783,false
93,-3.2160122583522783,false
94,-3.2160122583522783,false
95,-3.2160122583522783,false
96,-3.2160122583522783,false
97,-3.2160122583522783,false
98,-3.2160122583522783,false
99,-3.2160122583522783,false
100,-3.2160122583522783,false
101,-3.2160122583522783,false
102,-3.2160122583522783,false
103,-3.2160122583522783,false
104,-3.2160122583522783,false
105,-3.2160122583522783,false
106,-3.2160122583522783,false
107,-3.2160122583522783,false
108,-3.2160122583522783,false
109,-3.2160122583522783,false
110,-3.2160122583522783,false
111,-3.2160122583522783,false
112,-3.2160122583522783,false
113,-3.2160122583522783,false
114,-3.2160122583522783,false
115,-3.2160122583522783,false
116,-3.2160122583522783,false
117,-3.2160122583522783,false
118,-3.2160122583522783,false
119,-3.2160122583522783,false
120,-3.2160122583522783,false
121,-3.2160122583522783,false
122,-3.2160122583522783,false
123,-3.2160122583522783,false
124,-3.2160122583522783,false
125,-3.2160122583522783,false
126,-3.2160122583522783,false
127,-3.2160122583522783,false
128,-3.2160122583522783,false
129,-3.2160122583522783,false
130,-3.2160122583522783,false
131,-3.2160122583522783,false
132,-3.2160122583522783,false
133,-3.2160122583522783,false
134,-3.2160122583522783,false
135,-3.2160122583522783,false
136,-3.2160122583522783,false
137,-3.2160122583522783,false
138,-3.2160122583522783,false
139,-3.2160122583522783,false
140,-3.2160122583522783,false
141,-3.2160122583522783,false
142,-3.2160122583522783,false
143,-3.2160122583522783,false
144,-3.2160122583522783,false
145,-3.2160122583522783,false
146,-3.2160122583522783,false
147,-3.2160122583522783,false
148,-3.2160122583522783,false
149,-3.2160122583522783,false
150,-3.2160122583522783,false
151,-3.2160122583522783,false
152,-3.2160122583522783,false
153,-3.2160122583522783,false
154,-3.2160122583522783,false
155,-3.2160122583522783,false
156,-3.2160122583522783,false
157,-3.2160122583522783,false
158,-3.2160122583522783,false
159,-3.2160122583522783,false
160,-3.2160122583522783,false
161,-3.2160122583522783,false
162,-3.2160122583522783,false
163,-3.2160122583522783,false
164,-3.2160122583522783,false
165,-3.2160122583522783,false
166,-3.2160122583522783,false
167,-3.2160122583522783,false
168,-3.2160122583522783,false
169,-3.2160122583522783,false
170,-3.2160122583522783,false
171,-3.2160122583522783,false
172,-3.2160122583522783,false
173,-3.2160122583522783,false
174,-3.2160122583522783,false
175,-3.2160122583522783,false
176,-3.2160122583522783,false
177,-3.2160122583522783,false
178,-3.2160122583522783,false
179,-3.2160122583522783,false
180,-3.2160122583522783,false
181,-3.2160122583522783,false
182,-3.2160122583522783,false
183,-3.2160122583522783,false
184,-3.2160122583522783,false
185,-3.2160122583522783,false
186,-3.2160122583522783,false
187,-3.2160122583522783,false
188,-3.2160122583522783,false
189,-3.2160122583522783,false
190,-3.2160122583522783,false
191,-3.2160122583522783,false
192,-3.2160122583522783,false
193,-3.2160122583522783,false
194,-3.2160122583522783,false
195,-3.2160122583522783,false
196,-3.2160122583522783,false
197,-3.2160122583522783,false
198,-3.2160122583522783,false
199,-3.2160122583522783,false
200,-3.2160122583522783,false
201,-3.2160122583522783,false
202,-3.2160122583522783,false
203,-3.2160122583522783,false
204,-3.2160122583522783,false
205,-3.2160122583522783,false
206,-3.2160122583522783,false
207,-3.2160122583522783,false
208,-3.2160122583522783,false
209,-3.2160122583522783,false
210,-3.2160122583522783,false
211,-3.2160122583522783,false
212,-3.2160122583522783,false
213,-3.2160122583522783,false
214,-3.2160122583522783,false
215,-3.2160122583522783,false
216,-3.2160122583522783,false
217,-3.2160122583522783,false
218,-3.2160122583522783,false
219,-3.2160122583522783,false
220,-3.2160122583522783,false
221,-3.2160122583522783,false
222,-3.2160122583522783,false
223,-3.2160122583522783,false
224,-3.2160122583522783,false
225,-3.2160122583522783,false
226,-3.2160122583522783,false
227,-3.2160122583522783,false
228,-3.2160122583522783,false
229,-3.2160122583522783,false
230,-3.2160122583522783,false
231,-3.2160122583522783,false
232,-3.2160122583522783,false
233,-3.2160122583522783,false
234,-3.2160122583522783,false
235,-3.2160122583522783,false
236,-3.2160122583522783,false
237,-3.2160122583522783,false
238,-3.2160122583522783,false
239,-3.2160122583522783,false
240,-3.2160122583522783,false
241,-3.2160122583522783,false
242,-3.2160122583522783,false
243,-3.2160122583522783,false
244,-3.2160122583522783,false
245,-3.2160122583522783,false
246,-3.2160122583522783,false
247,-3.2160122583522783,false
248,-3.2160122583522783,false
249,-3.2160122583522783,false
250,-3.2160122583522783,false
251,-3.2160122583522783,false
252,-3.2160122583522783,false
253,-3.2160122583522783,false
254,-3.2160122583522783,false
255,-3.2160122583522783,false
256,-3.2160122583522783,false
257,-3.2160122583522783,false
258,-3.2160122583522783,false
259,-3.2160122583522783,false
260,-3.2160122583522783,false
261,-3.2160122583522783,false
262,-3.2160122583522783,false
263,-3.2160122583522783,false
264,-3.2160122583522783,false
265,-3.2160122583522783,false
266,-3.2160122583522783,false
267,-3.2160122583522783,false
268,-3.2160122583522783,false
269,-3.2160122583522783,false
270,-3.2160122583522783,false
271,-3.2160122583522783,false
272,-3.2160122583522783,false
273,-3.2160122583522783,false
274,-3.2160122583522783,false
275,-3.2160122583522783,false
276,-3.2160122583522783,false
277,-3.2160122583522783,false
278,-3.2160122583522783,false
279,-3.2160122583522783,false
280,-3.2160122583522783,false
281,-3.2160122583522783,false
282,-3.2160122583522783,false
283,-3.2160122583522783,false
284,-3.2160122583522783,false
285,-3.2160122583522783,false
286,-3.2160122583522783,false
287,-3.2160122583522783,false
288,-3.2160122583522783,false
289,-3.2160122583522783,false
290,-3.2160122583522783,false
291,-3.2160122583522783,false
292,-3.2160122583522783,false
293,-3.2160122583522783,false
294,-3.2160122583522783,false
295,-3.2160122583522783,false
296,-3.2160122583522783,false
297,-3.2160122583522783,false
298,-3.2160122583522783,false
299,-3.2160122583522783,false
300,-3.2160122583522783,false
301,-3.2160122583522783,false
302,-3.2160122583522783,false
303,-3.2160122583522783,false
304,-3.2160122583522783,false
305,-3.2160122583522783,false
306,-3.2160122583522783,false
307,-3.2160122583522783,false
308,-3.2160122583522783,false
309,-3.2160122583522783,false
310,-3.2160122583522783,false
311,-3.2160122583522783,false
312,-3.2160122583522783,false
313,-3.2160122583522783,false
314,-3.2160122583522783,false
315,-3.2160122583522783,false
316,-3.2160122583522783,false
317,-3.2160122583522783,false
318,-3.2160122583522783,false
319,-3.2160122583522783,false
320,-3.2160122583522783,false
321,-3.2160122583522783,false
322,-3.2160122583522783,false
323,-3.2160122583522783,false
324,-3.2160122583522783,false
325,-3.2160122583522783,false
326,-3.2160122583522783,false
327,-3.2160122583522783,false
328,-3.2160122583522783,false
329,-3.2160122583522783,false
330,-3.2160122583522783,false
331,-3.2160122583522783,false
332,-3.2158998908650576,true
333,-3.2158998908650576,false
334,-3.2158998908650576,false
335,-3.2158998908650576,false
336,-3.2158998908650576,false
337,-3.2158998908650576,false
338,-3.2158998908650576,false
339,-3.2158998908650576,false
340,-3.2158998908650576,false
341,-3.2158998908650576,false
342,-3.2158998908650576,false
343,-3.2158998908650576,false
344,-3.2158998908650576,false
345,-3.2158998908650576,false
346,-3.2158998908650576,false
347,-3.2158998908650576,false
348,-3.2158998908650576,false
349,-3.2158998908650576,false
350,-3.2158998908650576,false
351,-3.2158998908650576,false
352,-3.2158998908650576,false
353,-3.2158998908650576,false
354,-3.2158998908650576,false
355,-3.2158998908650576,false
356,-3.2158998908650576,false
357,-3.2158998908650576,false
358,-3.2158998908650576,false
359,-3.2158998908650576,false
360,-3.2158998908650576,false
361,-3.2158998908650576,false
362,-3.2158998908650576,false
363,-3.2158998908650576,false
364,-3.2158998908650576,false
365,-3.2158998908650576,false
366,-3.2158998908650576,false
367,-3.2158998908650576,false
368,-3.2158998908650576,false
369,-3.2158998908650576,false
370,-3.2158998908650576,false
371,-3.2158998908650576,false
372,-3.2158998908650576,false
373,-3.2158998908650576,false
374,-3.2158998908650576,false
375,-3.2158998908650576,false
376,-3.2158998908650576,false
377,-3.2158998908650576,false
378,-3.2158998908650576,false
379,-3.2158998908650576,false
380,-3.2158998908650576,false
381,-3.2158998908650576,false
382,-3.2158998908650576,false
383,-3.2158998908650576,false
384,-3.2158998908650576,false
385,-3.2158998908650576,false
386,-3.2158998908650576,false
387,-3.2158998908650576,false
388,-3.2158998908650576,false
389,-3.2158998908650576,false
390,-3.2158998908650576,false
391,-3.2158998908650576,false
392,-3.2158998908650576,false
393,-3.2158998908650576,false
394,-3.2158998908650576,false
395,-3.2158998908650576,false
396,-3.2158998908650576,false
397,-3.2158998908650576,false
398,-3.2158998908650576,false
399,-3.2158998908650576,false
400,-3.2158998908650576,false
