"method","exit_code","status","objective","gap","certified_original_problem","verifier_passed","progress_checkpoints","memory_address_error","json","log"
"pricing","0","pricing_complete","0.46","0","False","True","0","False","results\optimization_update_round7\raw\smoke_v4_pricing.json","results\optimization_update_round7\logs\smoke_v4_pricing.log"
"pricing-branch","0","restricted_pricing_complete","0.38","0","False","True","0","False","results\optimization_update_round7\raw\smoke_v4_pricing-branch.json","results\optimization_update_round7\logs\smoke_v4_pricing-branch.log"
"cuts","0","cuts_diagnostic_complete","0.49","0","False","True","0","False","results\optimization_update_round7\raw\smoke_v4_cuts.json","results\optimization_update_round7\logs\smoke_v4_cuts.log"
"branching","0","branching_diagnostic_complete","0.49","0","False","True","0","False","results\optimization_update_round7\raw\smoke_v4_branching.json","results\optimization_update_round7\logs\smoke_v4_branching.log"
"master","0","restricted_master_complete","0.341176470588","0","False","True","0","False","results\optimization_update_round7\raw\smoke_v4_master.json","results\optimization_update_round7\logs\smoke_v4_master.log"
"cg","0","cg_not_closed","0","0","False","True","0","False","results\optimization_update_round7\raw\smoke_v4_cg.json","results\optimization_update_round7\logs\smoke_v4_cg.log"
"gcap-cg","0","gcap_cg_root_complete","0.49","0","False","True","0","False","results\optimization_update_round7\raw\smoke_v4_gcap-cg.json","results\optimization_update_round7\logs\smoke_v4_gcap-cg.log"
"gcap-tree","0","gcap_tree_complete","0","0","False","True","0","False","results\optimization_update_round7\raw\smoke_v4_gcap-tree.json","results\optimization_update_round7\logs\smoke_v4_gcap-tree.log"
"gcap-frontier","0","optimal","0","0","True","True","7","False","results\optimization_update_round7\raw\smoke_v4_gcap-frontier.json","results\optimization_update_round7\logs\smoke_v4_gcap-frontier.log"
"dominance-test","0","diagnostic_complete","0.49","0","False","True","0","False","results\optimization_update_round7\raw\smoke_v4_dominance-test.json","results\optimization_update_round7\logs\smoke_v4_dominance-test.log"
"support-pruning-test","0","diagnostic_complete","0.49","0","False","True","0","False","results\optimization_update_round7\raw\smoke_v4_support-pruning-test.json","results\optimization_update_round7\logs\smoke_v4_support-pruning-test.log"
"route-mask-support-test","0","diagnostic_complete","0.49","0","False","True","0","False","results\optimization_update_round7\raw\smoke_v4_route-mask-support-test.json","results\optimization_update_round7\logs\smoke_v4_route-mask-support-test.log"
"incumbent-import-test","0","diagnostic_complete","0.49","0","False","True","0","False","results\optimization_update_round7\raw\smoke_v4_incumbent-import-test.json","results\optimization_update_round7\logs\smoke_v4_incumbent-import-test.log"
"route-pool-incumbent-test","0","diagnostic_complete","0","0","False","True","0","False","results\optimization_update_round7\raw\smoke_v4_route-pool-incumbent-test.json","results\optimization_update_round7\logs\smoke_v4_route-pool-incumbent-test.log"
"pickup-drop-compat-flow-test","0","diagnostic_complete","0","0","False","True","0","False","results\optimization_update_round7\raw\smoke_v4_pickup-drop-compat-flow-test.json","results\optimization_update_round7\logs\smoke_v4_pickup-drop-compat-flow-test.log"
"pickup-drop-transfer-cap-test","0","diagnostic_complete","0","0","False","True","0","False","results\optimization_update_round7\raw\smoke_v4_pickup-drop-transfer-cap-test.json","results\optimization_update_round7\logs\smoke_v4_pickup-drop-transfer-cap-test.log"
"route-mask-operation-budget-test","0","diagnostic_complete","0.49","0","False","True","0","False","results\optimization_update_round7\raw\smoke_v4_route-mask-operation-budget-test.json","results\optimization_update_round7\logs\smoke_v4_route-mask-operation-budget-test.log"
"adaptive-frontier-split-test","0","diagnostic_complete","0.49","0","False","True","0","False","results\optimization_update_round7\raw\smoke_v4_adaptive-frontier-split-test.json","results\optimization_update_round7\logs\smoke_v4_adaptive-frontier-split-test.log"
