"instance","variant","exit_code","elapsed","status","objective","lower_bound","upper_bound","gap","certified_original_problem","incumbent_best_source","progress_checkpoints","adaptive_split_intervals_created","route_mask_operation_budget_cuts_added","focused_intensification_passes","focused_split_triggered","memory_address_error","result_file","log_file","progress_log","progress_lines"
"v12_m1_average","improved_full_300s_final","0","301.0156629","gcap_frontier_not_closed","0.366563817616","0.27908220858","0.366563817616","0.238653148053","False","compact tailored seed","10","2","4","0","False","False","results\optimization_update_round7\raw\ablation_v12_m1_average_improved_full_300s_final.json","results\optimization_update_round7\logs\ablation_v12_m1_average_improved_full_300s_final.log","results\optimization_update_round7\raw\progress_v12_m1_average_improved_full_300s_final.csv","11"
"v12_m2_average","improved_full_300s_final","0","310.7701033","gcap_frontier_not_closed","0.719065249476","0.59572506958","0.719065249476","0.171528494787","False","BPC-owned portfolio","12","4","12","0","False","False","results\optimization_update_round7\raw\ablation_v12_m2_average_improved_full_300s_final.json","results\optimization_update_round7\logs\ablation_v12_m2_average_improved_full_300s_final.log","results\optimization_update_round7\raw\progress_v12_m2_average_improved_full_300s_final.csv","13"
