station,initial_inventory,target_inventory,final_inventory
0,50000,0,50000
1,12,19,12
2,14,10,14
3,21,15,21
4,9,14,9
5,5,8,5
6,10,15,15
7,13,11,13
8,11,17,11
9,18,13,18
10,6,11,6
11,26,19,26
12,15,11,15
13,7,11,7
14,11,16,15
15,26,19,21
16,9,13,9
17,8,12,8
18,24,18,18
19,35,27,35
20,6,9,6
21,44,33,44
22,19,28,19
23,22,17,22
24,6,11,6
25,7,11,7
26,11,17,16
27,16,12,16
28,18,13,14
29,13,10,13
30,16,12,16
31,6,10,6
32,4,7,4
33,11,9,11
34,6,10,6
35,36,27,36
36,24,18,19
37,15,11,15
38,23,17,23
39,9,13,9
40,6,12,6
41,15,11,15
42,6,11,6
43,21,33,29
44,24,18,24
45,14,10,12
46,17,25,17
47,12,9,12
48,20,30,20
49,7,10,7
50,35,26,35
