station,initial_inventory,target_inventory,final_inventory
0,50000,0,50000
1,2,11,10
2,5,13,5
3,18,12,15
4,19,13,13
5,3,13,11
6,3,11,3
7,19,12,14
8,18,12,18
9,2,12,2
10,24,16,16
11,14,10,14
12,4,11,4
13,3,11,3
14,3,13,3
15,3,13,3
16,3,11,3
17,4,13,4
18,14,10,14
19,2,11,2
20,5,12,5
21,7,21,14
22,19,13,19
23,3,11,3
24,15,10,15
25,23,16,16
26,1,10,1
27,4,14,10
28,19,13,19
29,20,13,20
30,22,15,22
31,3,11,3
32,18,13,18
33,15,10,15
34,19,13,19
35,19,13,19
36,14,10,14
37,2,10,2
38,3,11,3
39,3,11,3
40,4,11,4
41,14,10,14
42,4,15,4
43,21,15,21
44,20,14,20
45,24,16,24
46,21,14,21
47,23,15,23
48,2,12,2
49,15,10,15
50,4,14,4
