id,cap,candidate_arm,candidate_number,reference_number,reference,candidate_certificate,reference_certificate,wall_delta,UB_delta,LB_delta,signed_gap_delta,paired_build,practical_classification,bound_tradeoff,same_paid_initial_routes
micro,20,VD-S,2,1,P-GRB,True,True,-0.07800000021234155,0.0,0.0,0.0,True,below_practical_threshold,aligned_or_unchanged,
micro-zero,20,VD-S,4,3,P-GRB,True,True,0.3119999999180436,0.0,0.0,0.0,True,below_practical_threshold,aligned_or_unchanged,
D3,300,VD-P,7,5,P-GRB,False,False,-0.014999999664723873,0.0003972971509295861,0.0006864100958505551,-0.00028911294492096895,True,below_practical_threshold,mixed,
D3,300,VD-P,7,6,K1-R,False,False,-0.015999999828636646,0.0003972971509295861,-0.001633913219866244,0.00203121037079583,True,material_regression,aligned_or_unchanged,True
D3,300,VD-S,8,5,P-GRB,True,False,-212.88999999966472,-5.2611524906265306e-05,0.003418784297287286,-0.0034713958221935515,True,certificate_gain,aligned_or_unchanged,
D3,300,VD-S,8,6,K1-R,True,False,-212.89099999982864,-5.2611524906265306e-05,0.001098460981570487,-0.0011510725064767524,True,certificate_gain,aligned_or_unchanged,True
D3,300,VD-S,8,7,VD-P,True,False,-212.875,-0.0004499086758358514,0.002732374201436731,-0.0031822828772725825,True,certificate_gain,aligned_or_unchanged,True
D6,600,VD-P,11,9,P-GRB,False,False,0.0010000001639127731,-0.00015804474911804145,-0.00016337047664968796,5.325727531646507e-06,True,below_practical_threshold,mixed,
D6,600,VD-P,11,10,K1-R,False,False,-0.01500000013038516,0.0,0.0015983628930272553,-0.0015983628930272553,True,material_improvement,aligned_or_unchanged,True
D6,600,VD-S,12,9,P-GRB,False,False,0.0010000001639127731,-0.00015804474911804145,0.0006943235077778165,-0.0008523682568958579,True,below_practical_threshold,aligned_or_unchanged,
D6,600,VD-S,12,10,K1-R,False,False,-0.01500000013038516,0.0,0.0024560568774547598,-0.0024560568774547598,True,material_improvement,aligned_or_unchanged,True
D6,600,VD-S,12,11,VD-P,False,False,0.0,0.0,0.0008576939844275044,-0.0008576939844275044,True,below_practical_threshold,aligned_or_unchanged,True
C2,300,VD-P,15,13,P-GRB,True,False,-164.53200000012293,0.0,0.05852424854028082,-0.05852424854028082,True,certificate_gain,aligned_or_unchanged,
C2,300,VD-P,15,14,K1-R,True,False,-164.53099999995902,0.0,0.03221120804594768,-0.03221120804594768,True,certificate_gain,aligned_or_unchanged,True
C2,300,VD-S,16,13,P-GRB,True,False,-173.42299999995157,0.0,0.058524232298791445,-0.058524232298791445,True,certificate_gain,aligned_or_unchanged,
C2,300,VD-S,16,14,K1-R,True,False,-173.42199999978766,0.0,0.032211191804458306,-0.032211191804458306,True,certificate_gain,aligned_or_unchanged,True
C2,300,VD-S,16,15,VD-P,True,True,-8.890999999828637,0.0,-1.624148937562353e-08,1.624148937562353e-08,True,below_practical_threshold,aligned_or_unchanged,True
D4,300,VD-P,19,17,P-GRB,True,False,-257.0160000002943,0.0,0.3104640000460653,-0.3104640000460653,True,certificate_gain,aligned_or_unchanged,
D4,300,VD-P,19,18,K1-R,True,True,-89.59500000020489,0.0,2.3864232812087494e-10,-2.3864232812087494e-10,True,severe_improvement,aligned_or_unchanged,True
D4,300,VD-S,20,17,P-GRB,True,False,-242.62500000046566,0.0,0.3104640000460646,-0.3104640000460646,True,certificate_gain,aligned_or_unchanged,
D4,300,VD-S,20,18,K1-R,True,True,-75.20400000037625,0.0,2.3864166198706016e-10,-2.3864166198706016e-10,True,severe_improvement,aligned_or_unchanged,True
D4,300,VD-S,20,19,VD-P,True,True,14.390999999828637,0.0,-6.661338147750939e-16,6.661338147750939e-16,True,material_regression,aligned_or_unchanged,True
