number,id,arm,tree_rows,roots,replaced,independently_recomputed_interval_union,initial_range_covers_G_le_verified_F
2,micro,VD-S,1,1,0,True,True
4,micro-zero,VD-S,17,1,8,True,True
6,D3,K1-R,1,1,0,True,True
7,D3,VD-P,1,1,0,True,True
8,D3,VD-S,1,1,0,True,True
10,D6,K1-R,3,1,1,True,True
11,D6,VD-P,3,1,1,True,True
12,D6,VD-S,3,1,1,True,True
14,C2,K1-R,3,1,1,True,True
15,C2,VD-P,3,1,1,True,True
16,C2,VD-S,3,1,1,True,True
18,D4,K1-R,1,1,0,True,True
19,D4,VD-P,1,1,0,True,True
20,D4,VD-S,1,1,0,True,True
