number,id,arm,stage,kind,input_sha256,V,M,Q,T,executable_sha256,cap,wall,internal_wall,certificate,status,UB,LB,signed_absolute_gap,relative_gap,gap_note,hga_seconds,exact_start,initial_objective,initial_route_signature,lp_calls,mip_calls,splits,failure,result_sha256,artifact_dir
1,micro,P-GRB,correctness,native-micro,8794991888f65387b21ae457635e32eed7a4072e837cf8e06b17f3c9751dcd16,3,1,3,5,ad6f29736c3f10a51339f07a3b7e2160964815e855b91ba8e60db27caeb49340,20,0.20300000021234155,0.0180812,True,optimal,0.20833333333333331,0.20833333333333331,0.0,0.0,within numerical tolerance,0,,,,0,1,0,False,70a2c2523ba636754f27f71302dac6407623099872c32d3d13a1351afc072069,results\unified_exact_round68\local_raw\correctness\micro\P-GRB
2,micro,VD-S,correctness,native-micro,8794991888f65387b21ae457635e32eed7a4072e837cf8e06b17f3c9751dcd16,3,1,3,5,ad6f29736c3f10a51339f07a3b7e2160964815e855b91ba8e60db27caeb49340,20,0.125,0.0908053,True,optimal,0.20833333333333331,0.20833333333333331,0.0,0.0,within numerical tolerance,0.0612593,0.0649455,0.20833333333333331,bb85fcdc596864f9e3dff7ce5d4527670c50043e709097a3e2fad768f6137b42,1,0,0,False,8fcb663578e2dee81e3b1c0802e1cebb8d8c4208d51be7a24e99213211240ac1,results\unified_exact_round68\local_raw\correctness\micro\VD-S
3,micro-zero,P-GRB,correctness,native-micro,8794991888f65387b21ae457635e32eed7a4072e837cf8e06b17f3c9751dcd16,3,1,3,3,ad6f29736c3f10a51339f07a3b7e2160964815e855b91ba8e60db27caeb49340,20,0.03200000012293458,0.0163961,True,optimal,0.20833333333333331,0.20833333333333331,0.0,0.0,within numerical tolerance,0,,,,0,1,0,False,01fe6c41cf498b708fbdb8b5d3bf70546bdc89d5eb8a1424acd79a30d7296d8d,results\unified_exact_round68\local_raw\correctness\micro-zero\P-GRB
4,micro-zero,VD-S,correctness,native-micro,8794991888f65387b21ae457635e32eed7a4072e837cf8e06b17f3c9751dcd16,3,1,3,3,ad6f29736c3f10a51339f07a3b7e2160964815e855b91ba8e60db27caeb49340,20,0.3440000000409782,0.3052311,True,optimal,0.20833333333333331,0.20833333333333331,0.0,0.0,within numerical tolerance,0.0679998,0.0711886,0.20833333333333331,bb85fcdc596864f9e3dff7ce5d4527670c50043e709097a3e2fad768f6137b42,17,1,8,False,73c6c5e5bba845c2ba5caba187af15b90893301df0f0ac867b25b96c03ae906c,results\unified_exact_round68\local_raw\correctness\micro-zero\VD-S
5,D3,P-GRB,development,performance,29e0ca2c95ec2e061aa1cc524aaf6a41bf6c4a34355dca86df6966aa8a29b6b4,12,3,30,2850,ad6f29736c3f10a51339f07a3b7e2160964815e855b91ba8e60db27caeb49340,300,297.06199999991804,297.0290539,False,time_limit,0.04505416158053462,0.041582765758340995,0.003471395822193628,0.07704939345033608,open,0,,,,0,1,0,False,2effa290b6e7fee78e8564aae92402beee996522c6ab205f84a40b6c78585285,results\unified_exact_round68\local_raw\development\D3\P-GRB
6,D3,K1-R,development,performance,29e0ca2c95ec2e061aa1cc524aaf6a41bf6c4a34355dca86df6966aa8a29b6b4,12,3,30,2850,ad6f29736c3f10a51339f07a3b7e2160964815e855b91ba8e60db27caeb49340,300,297.06300000008196,297.0216154,False,round31_c6_external_gini_tree_time_limit,0.04505416158053462,0.043903089074057794,0.0011510725064768287,0.02554863892915372,open,2.0844844,2.0888006,0.049468682614419446,e50de38f29a2fdcd7aeeb0c8222b5a45764f0b0ede52d661ac6bf7a42b91f10e,3,2,0,False,7e5bed0591510e99db05cce7ab7e3eba3b542b1a556ce3bcddbe2633f3edbafd,results\unified_exact_round68\local_raw\development\D3\K1-R
7,D3,VD-P,development,performance,29e0ca2c95ec2e061aa1cc524aaf6a41bf6c4a34355dca86df6966aa8a29b6b4,12,3,30,2850,ad6f29736c3f10a51339f07a3b7e2160964815e855b91ba8e60db27caeb49340,300,297.0470000002533,297.0212705,False,round31_c6_external_gini_tree_time_limit,0.04545145873146421,0.04226917585419155,0.003182282877272659,0.07001497787065947,open,2.1249996,2.1293919,0.049468682614419446,e50de38f29a2fdcd7aeeb0c8222b5a45764f0b0ede52d661ac6bf7a42b91f10e,3,2,0,False,aa4546f2a04ad05adeeb5beb83fa497162ab6b036a30fe190ad41077fe814189,results\unified_exact_round68\local_raw\development\D3\VD-P
8,D3,VD-S,development,performance,29e0ca2c95ec2e061aa1cc524aaf6a41bf6c4a34355dca86df6966aa8a29b6b4,12,3,30,2850,ad6f29736c3f10a51339f07a3b7e2160964815e855b91ba8e60db27caeb49340,300,84.17200000025332,84.1483065,True,optimal,0.04500155005562836,0.04500155005562828,7.632783294297951e-17,1.6961156415418443e-15,within numerical tolerance,2.0796357,2.0838825,0.049468682614419446,e50de38f29a2fdcd7aeeb0c8222b5a45764f0b0ede52d661ac6bf7a42b91f10e,3,2,0,False,2164cc62602e0e00d13548cba253ce10537d20a8aee8a18058dc7dea93efbe91,results\unified_exact_round68\local_raw\development\D3\VD-S
9,D6,P-GRB,development,performance,070c2c1413840a09a264d238bdfa320ef76d293a45cab919095851afdea8c01d,30,3,30,18000,ad6f29736c3f10a51339f07a3b7e2160964815e855b91ba8e60db27caeb49340,600,597.061999999918,597.0348665,False,time_limit,0.1572411758522922,0.14498588325431813,0.01225529259797406,0.07793946166801963,open,0,,,,0,1,0,False,ba000ae2528cbd42c9db8259afd1c6aa4894fb97790ee8517b4e86092d469938,results\unified_exact_round68\local_raw\development\D6\P-GRB
10,D6,K1-R,development,performance,070c2c1413840a09a264d238bdfa320ef76d293a45cab919095851afdea8c01d,30,3,30,18000,ad6f29736c3f10a51339f07a3b7e2160964815e855b91ba8e60db27caeb49340,600,597.0780000002123,597.0425762,False,round31_c6_external_gini_tree_time_limit,0.15708313110317415,0.1432241498846412,0.013858981218532962,0.08822704972330996,open,322.8187541,322.8272525,0.15708313110317415,c892307ab74bb7cf475095845a04a39505b91e580f6516242ffc1aeb7c6f7fca,5,2,1,False,b65028614b8c57a8aac14473d15a8d98c5e380f6574102fd3c6be6ddee846132,results\unified_exact_round68\local_raw\development\D6\K1-R
