number,id,arm,leaf_id,solve_kind,native_log,line,raw_line,scope,event,native_objective,rounded_native_seconds
4,micro-zero,VD-S,L0.1.0.1.0.0.0.1.1,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round68\local_raw\correctness\micro-zero\VD-S\external\native_logs\L0.1.0.1.0.0.0.1.1_terminal_mip.gurobi.log,28,Loaded user MIP start with objective 0.208333,Native telemetry; no independent intermediate vector retained,Loaded user MIP start with objective,0.208333,
6,D3,K1-R,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round68\local_raw\development\D3\K1-R\external\native_logs\L0_terminal_mip.gurobi.log,58,H 3693  1286                       0.0481280    0.04135  14.1%   130   44s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.048128,44.0
6,D3,K1-R,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round68\local_raw\development\D3\K1-R\external\native_logs\L0_terminal_mip.gurobi.log,59,H 3693  1175                       0.0460270    0.04135  10.2%   130   44s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.046027,44.0
6,D3,K1-R,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round68\local_raw\development\D3\K1-R\external\native_logs\L0_terminal_mip.gurobi.log,76,H11555  1230                       0.0453086    0.04249  6.21%   170  126s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.0453086,126.0
6,D3,K1-R,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round68\local_raw\development\D3\K1-R\external\native_logs\L0_terminal_mip.gurobi.log,101,H23919   887                       0.0450542    0.04343  3.60%   188  248s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.0450542,248.0
7,D3,VD-P,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round68\local_raw\development\D3\VD-P\external\native_logs\L0_terminal_mip.gurobi.log,103,H22255  3609                       0.0461663    0.04207  8.87%   140  241s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.0461663,241.0
7,D3,VD-P,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round68\local_raw\development\D3\VD-P\external\native_logs\L0_terminal_mip.gurobi.log,104,H22255  3300                       0.0454515    0.04207  7.44%   140  241s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.0454515,241.0
8,D3,VD-S,L0,CHILD_BOUND_TARGET_MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round68\local_raw\development\D3\VD-S\external\native_logs\L0_c6_1_child_disjunction_target_mip.gurobi.log,28,Loaded user MIP start with objective 0.0494687,Native telemetry; no independent intermediate vector retained,Loaded user MIP start with objective,0.0494687,
8,D3,VD-S,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round68\local_raw\development\D3\VD-S\external\native_logs\L0_terminal_mip.gurobi.log,28,Loaded user MIP start with objective 0.0494687,Native telemetry; no independent intermediate vector retained,Loaded user MIP start with objective,0.0494687,
8,D3,VD-S,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round68\local_raw\development\D3\VD-S\external\native_logs\L0_terminal_mip.gurobi.log,117,* 1972   305              41       0.0454515    0.04071  10.4%   122   20s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.0454515,20.0
8,D3,VD-S,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round68\local_raw\development\D3\VD-S\external\native_logs\L0_terminal_mip.gurobi.log,118,* 2318   247              38       0.0452606    0.04071  10.0%   117   22s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.0452606,22.0
8,D3,VD-S,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round68\local_raw\development\D3\VD-S\external\native_logs\L0_terminal_mip.gurobi.log,120,H 2809   258                       0.0452295    0.04071  10.0%   112   26s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.0452295,26.0
8,D3,VD-S,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round68\local_raw\development\D3\VD-S\external\native_logs\L0_terminal_mip.gurobi.log,121,H 2809   252                       0.0451155    0.04071  9.76%   112   26s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.0451155,26.0
8,D3,VD-S,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round68\local_raw\development\D3\VD-S\external\native_logs\L0_terminal_mip.gurobi.log,122,H 2809   252                       0.0450016    0.04071  9.53%   112   26s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.0450016,26.0
12,D6,VD-S,L0.0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round68\local_raw\development\D6\VD-S\external\native_logs\L0.0_terminal_mip.gurobi.log,28,Loaded user MIP start with objective 0.157083,Native telemetry; no independent intermediate vector retained,Loaded user MIP start with objective,0.157083,
14,C2,K1-R,L0.0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round68\local_raw\development\C2\K1-R\external\native_logs\L0.0_terminal_mip.gurobi.log,90,H 5101  2640                       0.8299634    0.77443  6.69%   117  149s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.8299634,149.0
15,C2,VD-P,L0.0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round68\local_raw\development\C2\VD-P\external\native_logs\L0.0_terminal_mip.gurobi.log,70,H 1437   684                       0.8299634    0.77856  6.19%   148   71s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.8299634,71.0
15,C2,VD-P,L0.0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round68\local_raw\development\C2\VD-P\external\native_logs\L0.0_terminal_mip.gurobi.log,71,* 1440   661              54       0.8299634    0.77856  6.19%   148   71s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.8299634,71.0
16,C2,VD-S,L0.0,CHILD_BOUND_TARGET_MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round68\local_raw\development\C2\VD-S\external\native_logs\L0.0_c6_1_child_disjunction_target_mip.gurobi.log,28,Loaded user MIP start with objective 0.829963,Native telemetry; no independent intermediate vector retained,Loaded user MIP start with objective,0.829963,
16,C2,VD-S,L0.0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round68\local_raw\development\C2\VD-S\external\native_logs\L0.0_terminal_mip.gurobi.log,28,Loaded user MIP start with objective 0.829963,Native telemetry; no independent intermediate vector retained,Loaded user MIP start with objective,0.829963,
16,C2,VD-S,L0.0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round68\local_raw\development\C2\VD-S\external\native_logs\L0.0_terminal_mip.gurobi.log,80,H 3655   757                       0.8299634    0.80347  3.19%   130   79s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.8299634,79.0
18,D4,K1-R,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round68\local_raw\development\D4\K1-R\external\native_logs\L0_terminal_mip.gurobi.log,70,H  997   523                       0.5063433    0.36230  28.4%  95.6   28s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.5063433,28.0
18,D4,K1-R,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round68\local_raw\development\D4\K1-R\external\native_logs\L0_terminal_mip.gurobi.log,78,H 5907  1333                       0.5063433    0.42594  15.9%  89.0   62s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.5063433,62.0
19,D4,VD-P,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round68\local_raw\development\D4\VD-P\external\native_logs\L0_terminal_mip.gurobi.log,50,H  732   432                       0.5064228    0.39060  22.9%  71.8   15s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.5064228,15.0
19,D4,VD-P,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round68\local_raw\development\D4\VD-P\external\native_logs\L0_terminal_mip.gurobi.log,51,*  916   408              56       0.5063433    0.40408  20.2%  72.7   18s,Native telemetry; no independent intermediate vector retained,printed_search_incumbent,0.5063433,18.0
20,D4,VD-S,L0,CHILD_BOUND_TARGET_MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round68\local_raw\development\D4\VD-S\external\native_logs\L0_c6_1_child_disjunction_target_mip.gurobi.log,28,Loaded user MIP start with objective 0.506423,Native telemetry; no independent intermediate vector retained,Loaded user MIP start with objective,0.506423,
20,D4,VD-S,L0,MIP,E:\codes\ExactEBRP-round66\results\unified_exact_round68\local_raw\development\D4\VD-S\external\native_logs\L0_terminal_mip.gurobi.log,28,Loaded user MIP start with objective 0.506423,Native telemetry; no independent intermediate vector retained,Loaded user MIP start with objective,0.506423,
