row_id,snapshot_source,top_fractional_z,top_fractional_p,top_fractional_d,paper_certificate_role
dominant_k4_low_gini_1_static_tailored_compact_bc_3600s,root_lp_relaxation,z_1_10=0.454545454545;z_1_17=0.43564602747;z_0_7=0.434931597378;z_1_3=0.578947368421;z_2_16=0.408939445286;z_2_8=0.403469521674;z_0_18=0.604119075812;z_0_2=0.64;z_1_14=0.356400729311;z_0_13=0.327663910905;z_0_19=0.762595508283;z_0_9=0.769230769231;z_2_11=0.230645445164;z_2_15=0.205948951748;z_1_5=0.19080654744;z_2_1=0.839283568581;z_1_20=0.119656639101;z_1_12=0.0857972790668;z_2_7=0.0743023301952;z_1_8=0.0668488760638,p_2_15=4.53087693845;p_2_16=11.450304468;p_0_7=0.434931597378;p_1_12=2.23072925574;p_1_20=3.23072925574;p_2_1=3.2098984155;p_2_7=2.15476757566;p_1_14=7.12801458622;p_0_6=0.0143117611053,d_0_13=9.50225341626;d_1_8=1.53752414947;d_0_18=8.38855059112;d_0_19=8.38855059112;d_1_5=4.38855059112;d_1_17=5.66339835711;d_2_11=2.30645445164;d_2_8=9.27979899849;d_2_1=8.75959394749;d_0_8=0.168365090936;d_0_11=0.00152366905144,diagnostic_only
dominant_k4_low_gini_1_current_best_new_combined_paper_safe_3600s,root_lp_relaxation,z_0_8=0.477638619082;z_0_10=0.454545454545;z_1_17=0.43564602747;z_0_3=0.578947368421;z_0_15=0.578947368421;z_2_16=0.408939445286;z_1_13=0.37654090298;z_1_2=0.64;z_1_14=0.356400729311;z_2_18=0.283174709009;z_2_1=0.250526936891;z_0_20=0.242221593925;z_1_19=0.762595508283;z_1_11=0.230797812069;z_0_9=0.769230769231;z_2_5=0.19080654744;z_1_15=0.177106280351;z_1_18=0.176484029869;z_0_1=0.096329033858;z_2_7=0.0892999714843,p_2_16=11.450304468;p_0_15=0.578947368421;p_2_7=2.58969917304;p_2_20=0.282723843538;p_2_12=2.23072925574;p_1_14=7.12801458622;p_1_15=3.89633816773;p_2_15=0.0555914023006;p_0_20=2.9480054122;p_1_6=0.0143117611038,d_1_13=9.50225341626;d_0_1=1.54126454173;d_1_19=8.38855059112;d_2_5=4.38855059112;d_1_17=5.66339835711;d_1_11=2.30797812069;d_2_18=8.21206656125;d_1_18=0.176484029869;d_0_8=10.9856882389;d_2_1=4.00843099026,diagnostic_only
adaptive_child_low_gini_1_plain_fixed_interval_mip_300s,root_lp_relaxation,z_2_20=0.488786460581;z_2_8=0.459483448955;z_2_10=0.440099925225;z_2_13=0.440099925225;z_0_1=0.399999999999;z_1_1=0.600000000001;z_0_13=0.398617243959;z_2_17=0.615384615384;z_2_11=0.36862440946;z_1_2=0.64;z_0_16=0.357142857143;z_1_18=0.34462504068;z_1_6=0.333333333333;z_1_20=0.326244094578;z_0_10=0.317801645054;z_1_11=0.313755905422;z_2_14=0.290751527758;z_2_5=0.260869565217;z_0_3=0.76335694895;z_0_12=0.233053918647,p_2_10=9.68219835494;p_0_10=0.317801645054;p_2_20=13.1972344357;p_1_20=8.80859055361;p_0_14=0.184969444841;p_2_14=5.81503055516;p_0_20=4.99417501071,d_2_13=0.440099925225;d_0_13=11.5599000748;d_0_8=2.43188067403;d_2_8=10.568119326;d_1_1=0.600000000001;d_0_1=6.39999999998;d_1_11=0.313755905422;d_2_11=3.6862440946;d_1_3=3.90070846849;d_0_3=7.0992915315;d_1_18=9.99412617972;d_0_18=0.0058738202807,diagnostic_only
adaptive_child_low_gini_1_plain_fixed_interval_mip_telemetry_only_300s,root_lp_relaxation,z_2_20=0.488786460581;z_2_8=0.459483448955;z_2_10=0.440099925225;z_2_13=0.440099925225;z_0_1=0.399999999999;z_1_1=0.600000000001;z_0_13=0.398617243959;z_2_17=0.615384615384;z_2_11=0.36862440946;z_1_2=0.64;z_0_16=0.357142857143;z_1_18=0.34462504068;z_1_6=0.333333333333;z_1_20=0.326244094578;z_0_10=0.317801645054;z_1_11=0.313755905422;z_2_14=0.290751527758;z_2_5=0.260869565217;z_0_3=0.76335694895;z_0_12=0.233053918647,p_2_10=9.68219835494;p_0_10=0.317801645054;p_2_20=13.1972344357;p_1_20=8.80859055361;p_0_14=0.184969444841;p_2_14=5.81503055516;p_0_20=4.99417501071,d_2_13=0.440099925225;d_0_13=11.5599000748;d_0_8=2.43188067403;d_2_8=10.568119326;d_1_1=0.600000000001;d_0_1=6.39999999998;d_1_11=0.313755905422;d_2_11=3.6862440946;d_1_3=3.90070846849;d_0_3=7.0992915315;d_1_18=9.99412617972;d_0_18=0.0058738202807,diagnostic_only
adaptive_child_low_gini_1_static_tailored_compact_bc_300s,root_lp_relaxation,z_2_10=0.454545454545;z_2_17=0.43564602747;z_0_11=0.573998687974;z_1_11=0.426001312026;z_0_2=0.632506016976;z_2_3=0.642955856491;z_2_9=0.642955856491;z_2_14=0.356400729311;z_0_19=0.6440345213;z_0_1=0.34685597075;z_2_13=0.327663910905;z_0_18=0.289260365211;z_1_8=0.28358797953;z_1_16=0.223259825635;z_0_15=0.205948951748;z_0_5=0.189812449922;z_1_2=0.187349575603;z_0_16=0.177359062994;z_0_8=0.13130512092;z_0_7=0.119819487556,p_0_15=4.53087693845;p_1_9=0.558525490593;p_0_7=2.58969917304;p_2_9=8.35842613438;p_1_16=6.25127511778;p_2_16=0.232975586387;p_1_12=2.23072925574;p_2_20=3.21641749464;p_0_2=15.8126504244;p_1_2=0.187349575603;p_2_14=7.12801458622;p_0_9=1.08304837502;p_0_16=4.96605376384;p_1_20=0.0143117611033;p_1_6=0.0143117611033,d_2_13=9.50225341626;d_1_8=6.5225235292;d_0_1=5.54969553199;d_2_8=1.44314692854;d_0_11=0.573998687974;d_0_18=8.38855059112;d_0_5=4.3656863482;d_2_17=5.66339835711;d_2_19=1.30417085681;d_1_11=1.73397943272;d_0_19=7.0843797343;d_2_5=0.0228642429156;d_0_8=3.02001778116,diagnostic_only
adaptive_child_low_gini_1_current_best_new_combined_paper_safe_300s,root_lp_relaxation,z_2_15=0.497225249673;z_2_3=0.555555555555;z_0_3=0.444444444445;z_2_17=0.43564602747;z_2_10=0.429828215002;z_1_10=0.384911123827;z_0_2=0.64;z_2_14=0.356400729311;z_0_13=0.327663910905;z_0_8=0.678565573235;z_1_19=0.261144940888;z_2_19=0.738855059112;z_0_9=0.769230769231;z_2_1=0.178060205958;z_0_1=0.168795764791;z_0_10=0.158868146114;z_0_5=0.148449303327;z_0_16=0.1404614571;z_1_16=0.8595385429;z_2_20=0.119656639101,p_2_15=4.51120729279;p_2_12=1.51658795293;p_2_10=9.45622073005;p_2_7=2.58969917304;p_1_10=0.384911123827;p_1_16=11.3098430109;p_0_12=0.714141302808;p_2_20=3.23072925574;p_0_10=0.158868146114;p_0_16=0.1404614571;p_2_14=7.12801458622;p_0_15=0.0196696456571;p_0_6=0.0143117611038,d_0_13=9.50225341626;d_2_3=10.5555555555;d_0_3=0.444444444445;d_0_5=3.41433397652;d_1_18=8.38855059112;d_2_17=5.66339835711;d_0_1=2.70073223666;d_1_19=0.261144940888;d_2_11=0.237136132562;d_2_1=2.84896329533;d_2_19=8.12740565023;d_1_11=2.07084198813;d_1_5=0.9742166146;d_0_8=10.9856882389,diagnostic_only
adaptive_child_low_gini_1_plain_fixed_interval_mip_1200s,root_lp_relaxation,z_2_20=0.488786460581;z_2_8=0.459483448955;z_2_10=0.440099925225;z_2_13=0.440099925225;z_0_1=0.399999999999;z_1_1=0.600000000001;z_0_13=0.398617243959;z_2_17=0.615384615384;z_2_11=0.36862440946;z_1_2=0.64;z_0_16=0.357142857143;z_1_18=0.34462504068;z_1_6=0.333333333333;z_1_20=0.326244094578;z_0_10=0.317801645054;z_1_11=0.313755905422;z_2_14=0.290751527758;z_2_5=0.260869565217;z_0_3=0.76335694895;z_0_12=0.233053918647,p_2_10=9.68219835494;p_0_10=0.317801645054;p_2_20=13.1972344357;p_1_20=8.80859055361;p_0_14=0.184969444841;p_2_14=5.81503055516;p_0_20=4.99417501071,d_2_13=0.440099925225;d_0_13=11.5599000748;d_0_8=2.43188067403;d_2_8=10.568119326;d_1_1=0.600000000001;d_0_1=6.39999999998;d_1_11=0.313755905422;d_2_11=3.6862440946;d_1_3=3.90070846849;d_0_3=7.0992915315;d_1_18=9.99412617972;d_0_18=0.0058738202807,diagnostic_only
adaptive_child_low_gini_1_plain_fixed_interval_mip_telemetry_only_1200s,root_lp_relaxation,z_2_20=0.488786460581;z_2_8=0.459483448955;z_2_10=0.440099925225;z_2_13=0.440099925225;z_0_1=0.399999999999;z_1_1=0.600000000001;z_0_13=0.398617243959;z_2_17=0.615384615384;z_2_11=0.36862440946;z_1_2=0.64;z_0_16=0.357142857143;z_1_18=0.34462504068;z_1_6=0.333333333333;z_1_20=0.326244094578;z_0_10=0.317801645054;z_1_11=0.313755905422;z_2_14=0.290751527758;z_2_5=0.260869565217;z_0_3=0.76335694895;z_0_12=0.233053918647,p_2_10=9.68219835494;p_0_10=0.317801645054;p_2_20=13.1972344357;p_1_20=8.80859055361;p_0_14=0.184969444841;p_2_14=5.81503055516;p_0_20=4.99417501071,d_2_13=0.440099925225;d_0_13=11.5599000748;d_0_8=2.43188067403;d_2_8=10.568119326;d_1_1=0.600000000001;d_0_1=6.39999999998;d_1_11=0.313755905422;d_2_11=3.6862440946;d_1_3=3.90070846849;d_0_3=7.0992915315;d_1_18=9.99412617972;d_0_18=0.0058738202807,diagnostic_only
adaptive_child_low_gini_1_static_tailored_compact_bc_1200s,root_lp_relaxation,z_2_10=0.454545454545;z_2_17=0.43564602747;z_0_11=0.573998687974;z_1_11=0.426001312026;z_0_2=0.632506016976;z_2_3=0.642955856491;z_2_9=0.642955856491;z_2_14=0.356400729311;z_0_19=0.6440345213;z_0_1=0.34685597075;z_2_13=0.327663910905;z_0_18=0.289260365211;z_1_8=0.28358797953;z_1_16=0.223259825635;z_0_15=0.205948951748;z_0_5=0.189812449922;z_1_2=0.187349575603;z_0_16=0.177359062994;z_0_8=0.13130512092;z_0_7=0.119819487556,p_0_15=4.53087693845;p_1_9=0.558525490593;p_0_7=2.58969917304;p_2_9=8.35842613438;p_1_16=6.25127511778;p_2_16=0.232975586387;p_1_12=2.23072925574;p_2_20=3.21641749464;p_0_2=15.8126504244;p_1_2=0.187349575603;p_2_14=7.12801458622;p_0_9=1.08304837502;p_0_16=4.96605376384;p_1_20=0.0143117611033;p_1_6=0.0143117611033,d_2_13=9.50225341626;d_1_8=6.5225235292;d_0_1=5.54969553199;d_2_8=1.44314692854;d_0_11=0.573998687974;d_0_18=8.38855059112;d_0_5=4.3656863482;d_2_17=5.66339835711;d_2_19=1.30417085681;d_1_11=1.73397943272;d_0_19=7.0843797343;d_2_5=0.0228642429156;d_0_8=3.02001778116,diagnostic_only
adaptive_child_low_gini_1_current_best_new_combined_paper_safe_1200s,root_lp_relaxation,z_2_15=0.497225249673;z_2_3=0.555555555555;z_0_3=0.444444444445;z_2_17=0.43564602747;z_2_10=0.429828215002;z_1_10=0.384911123827;z_0_2=0.64;z_2_14=0.356400729311;z_0_13=0.327663910905;z_0_8=0.678565573235;z_1_19=0.261144940888;z_2_19=0.738855059112;z_0_9=0.769230769231;z_2_1=0.178060205958;z_0_1=0.168795764791;z_0_10=0.158868146114;z_0_5=0.148449303327;z_0_16=0.1404614571;z_1_16=0.8595385429;z_2_20=0.119656639101,p_2_15=4.51120729279;p_2_12=1.51658795293;p_2_10=9.45622073005;p_2_7=2.58969917304;p_1_10=0.384911123827;p_1_16=11.3098430109;p_0_12=0.714141302808;p_2_20=3.23072925574;p_0_10=0.158868146114;p_0_16=0.1404614571;p_2_14=7.12801458622;p_0_15=0.0196696456571;p_0_6=0.0143117611038,d_0_13=9.50225341626;d_2_3=10.5555555555;d_0_3=0.444444444445;d_0_5=3.41433397652;d_1_18=8.38855059112;d_2_17=5.66339835711;d_0_1=2.70073223666;d_1_19=0.261144940888;d_2_11=0.237136132562;d_2_1=2.84896329533;d_2_19=8.12740565023;d_1_11=2.07084198813;d_1_5=0.9742166146;d_0_8=10.9856882389,diagnostic_only
adaptive_child_low_gini_1_plain_fixed_interval_mip_3600s,root_lp_relaxation,z_2_20=0.488786460581;z_2_8=0.459483448955;z_2_10=0.440099925225;z_2_13=0.440099925225;z_0_1=0.399999999999;z_1_1=0.600000000001;z_0_13=0.398617243959;z_2_17=0.615384615384;z_2_11=0.36862440946;z_1_2=0.64;z_0_16=0.357142857143;z_1_18=0.34462504068;z_1_6=0.333333333333;z_1_20=0.326244094578;z_0_10=0.317801645054;z_1_11=0.313755905422;z_2_14=0.290751527758;z_2_5=0.260869565217;z_0_3=0.76335694895;z_0_12=0.233053918647,p_2_10=9.68219835494;p_0_10=0.317801645054;p_2_20=13.1972344357;p_1_20=8.80859055361;p_0_14=0.184969444841;p_2_14=5.81503055516;p_0_20=4.99417501071,d_2_13=0.440099925225;d_0_13=11.5599000748;d_0_8=2.43188067403;d_2_8=10.568119326;d_1_1=0.600000000001;d_0_1=6.39999999998;d_1_11=0.313755905422;d_2_11=3.6862440946;d_1_3=3.90070846849;d_0_3=7.0992915315;d_1_18=9.99412617972;d_0_18=0.0058738202807,diagnostic_only
adaptive_child_low_gini_1_plain_fixed_interval_mip_telemetry_only_3600s,root_lp_relaxation,z_2_20=0.488786460581;z_2_8=0.459483448955;z_2_10=0.440099925225;z_2_13=0.440099925225;z_0_1=0.399999999999;z_1_1=0.600000000001;z_0_13=0.398617243959;z_2_17=0.615384615384;z_2_11=0.36862440946;z_1_2=0.64;z_0_16=0.357142857143;z_1_18=0.34462504068;z_1_6=0.333333333333;z_1_20=0.326244094578;z_0_10=0.317801645054;z_1_11=0.313755905422;z_2_14=0.290751527758;z_2_5=0.260869565217;z_0_3=0.76335694895;z_0_12=0.233053918647,p_2_10=9.68219835494;p_0_10=0.317801645054;p_2_20=13.1972344357;p_1_20=8.80859055361;p_0_14=0.184969444841;p_2_14=5.81503055516;p_0_20=4.99417501071,d_2_13=0.440099925225;d_0_13=11.5599000748;d_0_8=2.43188067403;d_2_8=10.568119326;d_1_1=0.600000000001;d_0_1=6.39999999998;d_1_11=0.313755905422;d_2_11=3.6862440946;d_1_3=3.90070846849;d_0_3=7.0992915315;d_1_18=9.99412617972;d_0_18=0.0058738202807,diagnostic_only
