bucket_name,variant,budget_seconds,elapsed_seconds,valid_bound_available,best_bound,incumbent_available,incumbent,gap_to_cutoff,node_count,node_delta_since_last_checkpoint,last_bound_improvement_time,number_of_improvements,worker_responsiveness,memory,progress_source
dominant_k4,plain_fixed_interval_mip,300,300.1390968,True,0.045204487708,True,0.0491525526647,0.003948064956699998,,,,0,no_progress_trace_final_json_only,,final_json_or_cplex_log_only
dominant_k4,plain_fixed_interval_mip_telemetry_only,300,0.0002919,True,0.0,false,0,0,0,0,0.0002919,1,progress_trace_present,,heartbeat_activity_only
dominant_k4,plain_fixed_interval_mip_telemetry_only,300,30.0102468,True,0.0451296434942,true,1e+75,0.00402289917048,2054,2054,30.0102468,2,progress_trace_present,,cplex_native_callback_info
dominant_k4,plain_fixed_interval_mip_telemetry_only,300,60.0184277,True,0.0457013423408,true,1e+75,0.00345120032393,3393,1339,60.0184277,3,progress_trace_present,,cplex_native_callback_info
dominant_k4,plain_fixed_interval_mip_telemetry_only,300,90.0284828,True,0.0466129032838,true,1e+75,0.00253963938094,5572,2179,90.0284828,4,progress_trace_present,,cplex_native_callback_info
dominant_k4,plain_fixed_interval_mip_telemetry_only,300,120.0399596,True,0.0469483930254,true,1e+75,0.00220414963926,7039,1467,120.0399596,5,progress_trace_present,,cplex_native_callback_info
dominant_k4,plain_fixed_interval_mip_telemetry_only,300,150.0451007,True,0.0471360142386,true,1e+75,0.00201652842606,8021,982,150.0451007,6,progress_trace_present,,cplex_native_callback_info
dominant_k4,plain_fixed_interval_mip_telemetry_only,300,180.0487331,True,0.0472897456986,true,1e+75,0.00186279696608,8794,773,180.0487331,7,progress_trace_present,,cplex_native_callback_info
dominant_k4,plain_fixed_interval_mip_telemetry_only,300,210.056497,True,0.0474546720784,true,1e+75,0.00169787058625,9609,815,210.056497,8,progress_trace_present,,cplex_native_callback_info
dominant_k4,plain_fixed_interval_mip_telemetry_only,300,240.0621326,True,0.0476012555332,true,1e+75,0.00155128713155,10385,776,240.0621326,9,progress_trace_present,,cplex_native_callback_info
dominant_k4,plain_fixed_interval_mip_telemetry_only,300,270.0630364,True,0.0476950134819,true,1e+75,0.00145752918281,11000,615,270.0630364,10,progress_trace_present,,cplex_native_callback_info
dominant_k4,plain_fixed_interval_mip_telemetry_only,300,300.0779855,True,0.0478292087088,true,1e+75,0.00132333395594,11820,820,300.0779855,11,progress_trace_present,,cplex_native_callback_info
dominant_k4,plain_fixed_interval_mip_telemetry_only,300,330.0809393,True,0.0478292087088,true,1e+75,0.00132333395594,11820,0,300.0779855,11,progress_trace_present,,cplex_native_callback_info
dominant_k4,static_tailored_compact_bc,300,0.0004063,True,0.0,false,0,0,0,0,0.0004063,1,progress_trace_present,,heartbeat_activity_only
dominant_k4,static_tailored_compact_bc,300,30.0027219,True,0.0459842357601,true,1e+75,0.00316830690461,2288,2288,30.0027219,2,progress_trace_present,,cplex_native_callback_info
dominant_k4,static_tailored_compact_bc,300,60.0037091,True,0.0469040920787,true,1e+75,0.00224845058599,4322,2034,60.0037091,3,progress_trace_present,,cplex_native_callback_info
dominant_k4,static_tailored_compact_bc,300,90.0107946,True,0.0472360647238,true,1e+75,0.00191647794092,5830,1508,90.0107946,4,progress_trace_present,,cplex_native_callback_info
dominant_k4,static_tailored_compact_bc,300,120.0240526,True,0.0475242703085,true,1e+75,0.00162827235618,7248,1418,120.0240526,5,progress_trace_present,,cplex_native_callback_info
dominant_k4,static_tailored_compact_bc,300,150.0301278,True,0.0477098825598,true,1e+75,0.00144266010492,8432,1184,150.0301278,6,progress_trace_present,,cplex_native_callback_info
dominant_k4,static_tailored_compact_bc,300,180.0436885,True,0.0478970253216,true,1e+75,0.00125551734315,9749,1317,180.0436885,7,progress_trace_present,,cplex_native_callback_info
dominant_k4,static_tailored_compact_bc,300,210.051475,True,0.0480815660237,true,1e+75,0.00107097664102,10783,1034,210.051475,8,progress_trace_present,,cplex_native_callback_info
dominant_k4,static_tailored_compact_bc,300,240.0597455,True,0.0482825338829,true,1e+75,0.000870008781775,11927,1144,240.0597455,9,progress_trace_present,,cplex_native_callback_info
dominant_k4,static_tailored_compact_bc,300,270.060905,True,0.048388162834,true,1e+75,0.000764379830687,12841,914,270.060905,10,progress_trace_present,,cplex_native_callback_info
dominant_k4,static_tailored_compact_bc,300,300.0650652,True,0.048388162834,true,1e+75,0.000764379830687,13471,630,270.060905,10,progress_trace_present,,cplex_native_callback_info
dominant_k4,current_best_new_combined_paper_safe,300,0.0002851,True,0.0,false,0,0,0,0,0.0002851,1,progress_trace_present,,heartbeat_activity_only
dominant_k4,current_best_new_combined_paper_safe,300,30.0126178,True,0.0441618760228,true,1e+75,0.00499066664194,781,781,30.0126178,2,progress_trace_present,,cplex_native_callback_info
dominant_k4,current_best_new_combined_paper_safe,300,60.027466,True,0.0449443096224,true,1e+75,0.00420823304226,1856,1075,60.027466,3,progress_trace_present,,cplex_native_callback_info
dominant_k4,current_best_new_combined_paper_safe,300,90.0290382,True,0.0455705753885,true,1e+75,0.00358196727624,3216,1360,90.0290382,4,progress_trace_present,,cplex_native_callback_info
