row,variant,budget_seconds,json_path,selected_for_summary,certified_original_problem,row_certificate_source_class,leaf_solver_row,compact_bc_called_this_row,compact_bc_called_any_child,parent_row_compact_bc_called_any_leaf,compact_bc_called_any_leaf,compact_bc_contributed_to_certificate,compact_bc_diagnostic_only,paper_certificate_contamination,inconsistent_source_label_detected,audit_passed,failures
low_gini_1,plain_fixed_interval_mip,300,results\gf_tailored_bc_formulation_snapshot_round\raw\dominant_k4_low_gini_1_plain_fixed_interval_mip_300s.json,false,false,benchmark_only,false,false,false,false,false,false,true,false,false,True,
low_gini_1,plain_fixed_interval_mip_telemetry_only,300,results\gf_tailored_bc_formulation_snapshot_round\raw\dominant_k4_low_gini_1_plain_fixed_interval_mip_telemetry_only_300s.json,false,false,benchmark_only,false,false,false,false,false,false,true,false,false,True,
low_gini_1,static_tailored_compact_bc,300,results\gf_tailored_bc_formulation_snapshot_round\raw\dominant_k4_low_gini_1_static_tailored_compact_bc_300s.json,false,false,tailored_bc_assisted_noncertified,true,true,false,false,true,false,false,false,false,True,
low_gini_1,current_best_new_combined_paper_safe,300,results\gf_tailored_bc_formulation_snapshot_round\raw\dominant_k4_low_gini_1_current_best_new_combined_paper_safe_300s.json,false,false,tailored_bc_assisted_noncertified,true,true,false,false,true,false,false,false,false,True,
low_gini_1,plain_fixed_interval_mip,1200,results\gf_tailored_bc_formulation_snapshot_round\raw\dominant_k4_low_gini_1_plain_fixed_interval_mip_1200s.json,false,false,benchmark_only,false,false,false,false,false,false,true,false,false,True,
low_gini_1,plain_fixed_interval_mip_telemetry_only,1200,results\gf_tailored_bc_formulation_snapshot_round\raw\dominant_k4_low_gini_1_plain_fixed_interval_mip_telemetry_only_1200s.json,false,false,benchmark_only,false,false,false,false,false,false,true,false,false,True,
low_gini_1,static_tailored_compact_bc,1200,results\gf_tailored_bc_formulation_snapshot_round\raw\dominant_k4_low_gini_1_static_tailored_compact_bc_1200s.json,false,false,tailored_bc_assisted_noncertified,true,true,false,false,true,false,false,false,false,True,
low_gini_1,current_best_new_combined_paper_safe,1200,results\gf_tailored_bc_formulation_snapshot_round\raw\dominant_k4_low_gini_1_current_best_new_combined_paper_safe_1200s.json,false,false,tailored_bc_assisted_noncertified,true,true,false,false,true,false,false,false,false,True,
low_gini_1,plain_fixed_interval_mip,3600,results\gf_tailored_bc_formulation_snapshot_round\raw\dominant_k4_low_gini_1_plain_fixed_interval_mip_3600s.json,false,false,benchmark_only,false,false,false,false,false,false,true,false,false,True,
low_gini_1,plain_fixed_interval_mip_telemetry_only,3600,results\gf_tailored_bc_formulation_snapshot_round\raw\dominant_k4_low_gini_1_plain_fixed_interval_mip_telemetry_only_3600s.json,false,false,benchmark_only,false,false,false,false,false,false,true,false,false,True,
low_gini_1,static_tailored_compact_bc,3600,results\gf_tailored_bc_formulation_snapshot_round\raw\dominant_k4_low_gini_1_static_tailored_compact_bc_3600s.json,false,false,tailored_bc_assisted_noncertified,true,true,false,false,true,false,false,false,false,True,
low_gini_1,current_best_new_combined_paper_safe,3600,results\gf_tailored_bc_formulation_snapshot_round\raw\dominant_k4_low_gini_1_current_best_new_combined_paper_safe_3600s.json,false,false,tailored_bc_assisted_noncertified,true,true,false,false,true,false,false,false,false,True,
low_gini_1,plain_fixed_interval_mip,14400,results\gf_tailored_bc_formulation_snapshot_round\raw\dominant_k4_low_gini_1_plain_fixed_interval_mip_14400s.json,false,false,benchmark_only,false,false,false,false,false,false,true,false,false,True,
low_gini_1,static_tailored_compact_bc,14400,results\gf_tailored_bc_formulation_snapshot_round\raw\dominant_k4_low_gini_1_static_tailored_compact_bc_14400s.json,false,false,tailored_bc_assisted_noncertified,true,true,false,false,true,false,false,false,false,True,
dominant_k4,plain_fixed_interval_mip,300,,false,false,benchmark_only,false,false,false,false,false,false,true,false,false,True,
dominant_k4,plain_fixed_interval_mip_telemetry_only,300,,false,false,benchmark_only,false,false,false,false,false,false,true,false,false,True,
dominant_k4,static_tailored_compact_bc,300,,false,false,tailored_bc_assisted_noncertified,true,true,false,false,true,false,false,false,false,True,
dominant_k4,current_best_new_combined_paper_safe,300,,false,false,compact_bc_leaf_diagnostic,true,true,false,false,true,false,true,false,false,True,
dominant_k4,plain_fixed_interval_mip,1200,,false,false,benchmark_only,false,false,false,false,false,false,true,false,false,True,
dominant_k4,plain_fixed_interval_mip_telemetry_only,1200,,false,false,benchmark_only,false,false,false,false,false,false,true,false,false,True,
dominant_k4,static_tailored_compact_bc,1200,,false,false,tailored_bc_assisted_noncertified,true,true,false,false,true,false,false,false,false,True,
dominant_k4,current_best_new_combined_paper_safe,1200,,false,false,compact_bc_leaf_diagnostic,true,true,false,false,true,false,true,false,false,True,
dominant_k4,plain_fixed_interval_mip,3600,,false,false,benchmark_only,false,false,false,false,false,false,true,false,false,True,
dominant_k4,plain_fixed_interval_mip_telemetry_only,3600,,false,false,benchmark_only,false,false,false,false,false,false,true,false,false,True,
dominant_k4,static_tailored_compact_bc,3600,,false,false,tailored_bc_assisted_noncertified,true,true,false,false,true,false,false,false,false,True,
dominant_k4,current_best_new_combined_paper_safe,3600,,false,false,compact_bc_leaf_diagnostic,true,true,false,false,true,false,true,false,false,True,
dominant_k4,plain_fixed_interval_mip,14400,,false,false,benchmark_only,false,false,false,false,false,false,true,false,false,True,
dominant_k4,static_tailored_compact_bc,14400,,false,false,tailored_bc_assisted_noncertified,true,true,false,false,true,false,false,false,false,True,
