serial_order,instance_id,path,instance_sha256,family,scenario,V,M,Q,T,lambda,origin,historical_source_round,bytes,frozen_before_round35_results,process_cap_seconds,source_matrix,fresh_independent_run
1,high_imbalance_seed6202,reference/heldout_round26/V50_M3/high_imbalance_seed6202.txt,dc638980e691c1e5a0db8863194d2c961c9548923de05ea66613c11a7b8542ba,high_imbalance,high_imbalance,50,3,30,3600.0,0.15,round31_existing_primary,32,28438,True,3600,round32_stage3_v50_independent,True
2,moderate_seed6301,reference/heldout_round26/V50_M3/moderate_seed6301.txt,d07c4fc1d6f4c54b1964d7d1c925dd12b780f1973f5b61f1e02c1cfa35404ae3,moderate,moderate,50,3,30,3600.0,0.15,round31_existing_primary,32,28452,True,3600,round32_stage3_v50_independent,True
3,tight_T_seed6102,reference/heldout_round26/V50_M3/tight_T_seed6102.txt,62ed13533967116ca5cb0f3d3e8c4b984900b8aa11306aa6bb20a1aa6584e16c,tight_T,tight_T,50,3,30,3600.0,0.15,round31_existing_primary,32,28614,True,3600,round32_stage3_v50_independent,True
4,round31_sealed_high_imbalance_V50_seed802548647,reference/heldout_round31/V50_M3/round31_sealed_high_imbalance_V50_seed802548647.txt,7eb428a88b804a79aa77582d1f8a3fdcba14b493386fd6eab400e5b3ee91b0e7,high_imbalance,high_imbalance,50,3,30,3600.0,0.15,round31_sealed_heldout,32,28454,True,3600,round32_stage3_v50_independent,True
5,round31_sealed_moderate_V50_seed1112848618,reference/heldout_round31/V50_M3/round31_sealed_moderate_V50_seed1112848618.txt,14645ca5ea5fd88739a4d6632fdd986b574baeb1fc2706a261e36cf8bf61ce9b,moderate,moderate,50,3,30,3600.0,0.15,round31_sealed_heldout,32,28484,True,3600,round32_stage3_v50_independent,True
6,round31_sealed_tight_T_V50_seed1973327304,reference/heldout_round31/V50_M3/round31_sealed_tight_T_V50_seed1973327304.txt,deea51d98a6185a90e6febd66fcae995841c1ee2624a8e372010afb578d39c34,tight_T,tight_T,50,3,30,3600.0,0.15,round31_sealed_heldout,32,28668,True,3600,round32_stage3_v50_independent,True
7,round32_multi_m_high_imbalance_V50_M2_seed910922492,reference/qualification_round32/V50_M2/round32_multi_m_high_imbalance_V50_M2_seed910922492.txt,2f0770edc8a8aa122256be1091df5d8a6dc4eefd8e407502b2aa266ff184a23d,high_imbalance,high_imbalance,50,2,30,3600.0,0.15,round32_multi_m,32,28471,True,3600,round32_stage3_v50_independent,True
8,round32_multi_m_high_imbalance_V50_M4_seed163456187,reference/qualification_round32/V50_M4/round32_multi_m_high_imbalance_V50_M4_seed163456187.txt,341488984031d90ccf81b358bc67a65cf9a3d77099305668b887d5ade73a07ad,high_imbalance,high_imbalance,50,4,30,3600.0,0.15,round32_multi_m,32,28529,True,3600,round32_stage3_v50_independent,True
9,round32_multi_m_moderate_V50_M2_seed254020866,reference/qualification_round32/V50_M2/round32_multi_m_moderate_V50_M2_seed254020866.txt,c6db687e5626187035907510b05a1a11f7353c83691a5290147bcf7215f1cb2a,moderate,moderate,50,2,30,3600.0,0.15,round32_multi_m,32,28493,True,3600,round32_stage3_v50_independent,True
10,round32_multi_m_moderate_V50_M4_seed721910669,reference/qualification_round32/V50_M4/round32_multi_m_moderate_V50_M4_seed721910669.txt,8eec8b89c4c4f3ca6a36c0777b1403912bcfa0509870afaccddda5c7ffcfae0e,moderate,moderate,50,4,30,3600.0,0.15,round32_multi_m,32,28437,True,3600,round32_stage3_v50_independent,True
11,round32_multi_m_tight_T_V50_M2_seed104207248,reference/qualification_round32/V50_M2/round32_multi_m_tight_T_V50_M2_seed104207248.txt,07b345d3a957f98bf3df3218728c6ce7110efc708ba138ec49ba0d9f3cc4d09f,tight_T,tight_T,50,2,30,2400.0,0.15,round32_multi_m,32,28614,True,3600,round32_stage3_v50_independent,True
12,round32_multi_m_tight_T_V50_M4_seed1562257203,reference/qualification_round32/V50_M4/round32_multi_m_tight_T_V50_M4_seed1562257203.txt,6a71328fbde8d2cce8ace454018dbbf8c78a0024828f16aa074863e67d84e21e,tight_T,tight_T,50,4,30,2400.0,0.15,round32_multi_m,32,28658,True,3600,round32_stage3_v50_independent,True
