stage,instance_id,V,M,scenario,comparator,historical_source_round,historical_run_id,historical_executable_sha256,comparison_compatibility,common_verified_ub,auc_status,auc_convention,common_window_start_seconds,common_window_end_seconds,common_window_seconds,comparator_normalized_proof_auc,simple_normalized_proof_auc,simple_minus_comparator_proof_auc
matrix1800,V12_M1,12,1,v12,C6-HGA-FULL,32,stage1__V12_M1__c6_frozen__1800s,b45bd17aae1d466d0e8f15c9f978c6a3427998eeae0215a4406d1934a976f508,compatible,0.3572005832084155,observed_common_window,left_continuous_no_interpolation_no_post_last_extension,6.0486724,21.863196,15.814523599999998,0.9066111434243119,0.9081970060508437,0.0015858626265318249
matrix1800,V12_M2,12,2,v12,C6-HGA-FULL,32,stage1__V12_M2__c6_frozen__1800s,b45bd17aae1d466d0e8f15c9f978c6a3427998eeae0215a4406d1934a976f508,compatible,0.7185040707549709,observed_common_window,left_continuous_no_interpolation_no_post_last_extension,6.7570488,82.3188105,75.5617617,0.9086837125979731,0.9621052394367902,0.053421526838817054
matrix1800,high_imbalance_seed3202,20,3,high_imbalance,C6-HGA-FULL,32,stage1__high_imbalance_seed3202__c6_frozen__1800s,b45bd17aae1d466d0e8f15c9f978c6a3427998eeae0215a4406d1934a976f508,compatible,1.7493134520506337,observed_common_window,left_continuous_no_interpolation_no_post_last_extension,15.6320804,229.5991811,213.9671007,0.9655467274493298,0.9755112610727034,0.009964533623373578
matrix1800,high_imbalance_seed4201,20,3,high_imbalance,C6-HGA-FULL,32,stage1__high_imbalance_seed4201__c6_frozen__1800s,b45bd17aae1d466d0e8f15c9f978c6a3427998eeae0215a4406d1934a976f508,compatible,2.7832961908951837,observed_common_window,left_continuous_no_interpolation_no_post_last_extension,16.4148715,235.1470486,218.7321771,0.9777508485361454,0.9827847958141728,0.00503394727802746
matrix1800,high_imbalance_seed5202,20,3,high_imbalance,C6-HGA-FULL,32,stage1__high_imbalance_seed5202__c6_frozen__1800s,b45bd17aae1d466d0e8f15c9f978c6a3427998eeae0215a4406d1934a976f508,compatible,1.149509246006453,observed_common_window,left_continuous_no_interpolation_no_post_last_extension,13.6454216,1785.0430707,1771.3976491,0.934671036324023,0.9451043917033352,0.010433355379312162
matrix1800,high_imbalance_seed5203,20,3,high_imbalance,C6-HGA-FULL,32,stage1__high_imbalance_seed5203__c6_frozen__1800s,b45bd17aae1d466d0e8f15c9f978c6a3427998eeae0215a4406d1934a976f508,compatible,2.3524097575828193,observed_common_window,left_continuous_no_interpolation_no_post_last_extension,14.2209189,101.0490818,86.8281629,0.9461679700318094,0.9406618824494027,-0.0055060875824066765
matrix1800,high_imbalance_seed6202,50,3,high_imbalance,C6-HGA-FULL,32,stage1__high_imbalance_seed6202__c6_frozen__1800s,b45bd17aae1d466d0e8f15c9f978c6a3427998eeae0215a4406d1934a976f508,compatible,9.729609677413569,observed_common_window,left_continuous_no_interpolation_no_post_last_extension,21.3426246,1785.1329544,1763.7903298,0.8304136750782093,0.7998762701785173,-0.030537404899692075
matrix1800,moderate_seed3302,20,3,moderate,C6-HGA-FULL,32,stage1__moderate_seed3302__c6_frozen__1800s,b45bd17aae1d466d0e8f15c9f978c6a3427998eeae0215a4406d1934a976f508,compatible,0.19563620654901237,observed_common_window,left_continuous_no_interpolation_no_post_last_extension,19.887577,1785.046087,1765.15851,0.7631527888922189,0.7711983206750046,0.00804553178278566
matrix1800,moderate_seed4302,20,3,moderate,C6-HGA-FULL,32,stage1__moderate_seed4302__c6_frozen__1800s,b45bd17aae1d466d0e8f15c9f978c6a3427998eeae0215a4406d1934a976f508,compatible,0.0298198766247978,observed_common_window,left_continuous_no_interpolation_no_post_last_extension,19.0314718,755.9906679,736.9591961,0.6717410755525998,0.5972647219199171,-0.07447635363268269
matrix1800,moderate_seed5301,20,3,moderate,C6-HGA-FULL,32,stage1__moderate_seed5301__c6_frozen__1800s,b45bd17aae1d466d0e8f15c9f978c6a3427998eeae0215a4406d1934a976f508,compatible,0.16885733659692667,observed_common_window,left_continuous_no_interpolation_no_post_last_extension,20.6819569,1785.0423977,1764.3604408,0.5090387170546269,0.6938190414575572,0.18478032440293035
matrix1800,moderate_seed5302,20,3,moderate,C6-HGA-FULL,32,stage1__moderate_seed5302__c6_frozen__1800s,b45bd17aae1d466d0e8f15c9f978c6a3427998eeae0215a4406d1934a976f508,compatible,0.109681593369203,observed_common_window,left_continuous_no_interpolation_no_post_last_extension,20.0453185,1785.0297926,1764.9844741000002,0.41998262501717265,0.4895424155460079,0.06955979052883529
matrix1800,moderate_seed6301,50,3,moderate,C6-HGA-FULL,32,stage1__moderate_seed6301__c6_frozen__1800s,b45bd17aae1d466d0e8f15c9f978c6a3427998eeae0215a4406d1934a976f508,compatible,0.5804785297747187,observed_common_window,left_continuous_no_interpolation_no_post_last_extension,50.4756198,1785.0964428,1734.620823,0.8913130398033703,0.8872421482523479,-0.0040708915510223155
matrix1800,round31_sealed_high_imbalance_V20_seed1968399862,20,3,high_imbalance,C6-HGA-FULL,32,stage1__round31_sealed_high_imbalance_V20_seed1968399862__c6_frozen__1800s,b45bd17aae1d466d0e8f15c9f978c6a3427998eeae0215a4406d1934a976f508,compatible,2.0874707775727215,observed_common_window,left_continuous_no_interpolation_no_post_last_extension,13.8910838,80.6880996,66.7970158,0.9696815311706901,0.9846166974714556,0.014935166300765527
matrix1800,round31_sealed_high_imbalance_V50_seed802548647,50,3,high_imbalance,C6-HGA-FULL,32,stage1__round31_sealed_high_imbalance_V50_seed802548647__c6_frozen__1800s,b45bd17aae1d466d0e8f15c9f978c6a3427998eeae0215a4406d1934a976f508,compatible,8.771979091147195,observed_common_window,left_continuous_no_interpolation_no_post_last_extension,56.7857706,1032.1544057,975.3686351000001,0.949039832594568,0.9452528179459866,-0.003787014648581464
matrix1800,round31_sealed_moderate_V20_seed311185674,20,3,moderate,C6-HGA-FULL,32,stage1__round31_sealed_moderate_V20_seed311185674__c6_frozen__1800s,b45bd17aae1d466d0e8f15c9f978c6a3427998eeae0215a4406d1934a976f508,compatible,0.07675263690685412,observed_common_window,left_continuous_no_interpolation_no_post_last_extension,15.7909923,1785.0366684,1769.2456761,0.7790177299274724,0.8188213203967064,0.03980359046923403
matrix1800,round31_sealed_moderate_V50_seed1112848618,50,3,moderate,C6-HGA-FULL,32,stage1__round31_sealed_moderate_V50_seed1112848618__c6_frozen__1800s,b45bd17aae1d466d0e8f15c9f978c6a3427998eeae0215a4406d1934a976f508,compatible,0.6260440289729414,observed_common_window,left_continuous_no_interpolation_no_post_last_extension,154.3139669,1785.1121321,1630.7981652,0.8663234683195628,0.8561030425121693,-0.01022042580739336
