comparator,stage,V,pairs,simple_gap_wins,comparator_gap_wins,gap_ties,simple_certificates,comparator_certificates,median_simple_minus_comparator_gap,auc_available,simple_auc_wins,comparator_auc_wins,auc_ties,median_simple_minus_comparator_proof_auc
C6-HGA-FULL,matrix1800,12,2,0,0,2,2,2,1.789832470251703e-15,2,2,0,0,0.02750369473267444
C6-HGA-FULL,matrix1800,20,21,6,5,10,11,10,0.0,20,15,5,0,0.012684260840038843
C6-HGA-FULL,matrix1800,50,12,2,7,3,3,3,0.00011426547375319174,12,6,6,0,0.0006677566587437323
C6-HGA-FULL,v50_3600,50,12,1,8,3,3,3,0.001172262875931123,12,6,6,0,-0.0011406725050173308
P-GRB,matrix1800,12,2,0,0,2,2,2,5.116421256781812e-15,2,1,1,0,0.009309121602756733
P-GRB,matrix1800,20,21,20,0,1,11,0,-0.2858340162156752,21,21,0,0,0.25367846515009734
P-GRB,matrix1800,50,12,11,1,0,3,0,-0.12968490046316075,12,11,1,0,0.1012584625277942
P-GRB,v50_3600,50,12,11,1,0,3,0,-0.12795421556416206,12,11,1,0,0.12036469412669418
