comparator,stage,M,pairs,simple_gap_wins,comparator_gap_wins,gap_ties,simple_certificates,comparator_certificates,median_simple_minus_comparator_gap,auc_available,simple_auc_wins,comparator_auc_wins,auc_ties,median_simple_minus_comparator_proof_auc
C6-HGA-FULL,matrix1800,1,1,0,0,1,1,1,4.506777036159526e-15,1,1,0,0,0.0015858626265318249
C6-HGA-FULL,matrix1800,2,7,1,0,6,6,6,-3.6326731410831184e-16,6,5,1,0,0.04792268890406276
C6-HGA-FULL,matrix1800,3,21,4,9,8,9,8,3.648995069685071e-10,21,13,8,0,0.00804553178278566
C6-HGA-FULL,matrix1800,4,6,3,3,0,0,0,-0.0004457368970953498,6,4,2,0,0.011141305804965855
C6-HGA-FULL,v50_3600,2,3,0,1,2,2,2,0.0,3,3,0,0,0.10950522990263077
C6-HGA-FULL,v50_3600,3,6,0,5,1,1,1,0.026164221715039605,6,1,5,0,-0.01581235673310271
C6-HGA-FULL,v50_3600,4,3,1,2,0,0,0,8.958677140888383e-07,3,2,1,0,0.007040836311945344
P-GRB,matrix1800,1,1,0,0,1,1,1,6.060838083111087e-15,1,0,1,0,-0.007170079341109375
P-GRB,matrix1800,2,7,5,0,2,6,1,-0.14936473281638774,7,7,0,0,0.09399899510765114
P-GRB,matrix1800,3,21,20,1,0,9,0,-0.1365407509504554,21,20,1,0,0.18367765774844733
P-GRB,matrix1800,4,6,6,0,0,0,0,-0.19542295540544724,6,6,0,0,0.2070034835469587
P-GRB,v50_3600,2,3,3,0,0,2,0,-0.15260442961656348,3,3,0,0,0.09369022765285154
P-GRB,v50_3600,3,6,5,1,0,1,0,-0.10518119212360835,6,5,1,0,0.10511957779775674
P-GRB,v50_3600,4,3,3,0,0,0,0,-0.1586660774741877,3,3,0,0,0.15405722708302017
