run_id,stage,instance_id,trace_event_count,trace_audit_reason,trace_audit_passed
matrix1800__V12_M1__c6_simple_start__1800s,matrix1800,V12_M1,486,complete_monotone_observed_trace,True
matrix1800__V12_M2__c6_simple_start__1800s,matrix1800,V12_M2,465,complete_monotone_observed_trace,True
matrix1800__high_imbalance_seed3202__c6_simple_start__1800s,matrix1800,high_imbalance_seed3202,858,complete_monotone_observed_trace,True
matrix1800__moderate_seed3302__c6_simple_start__1800s,matrix1800,moderate_seed3302,286,complete_monotone_observed_trace,True
matrix1800__tight_T_seed3101__c6_simple_start__1800s,matrix1800,tight_T_seed3101,550,complete_monotone_observed_trace,True
matrix1800__high_imbalance_seed4201__c6_simple_start__1800s,matrix1800,high_imbalance_seed4201,2538,complete_monotone_observed_trace,True
matrix1800__moderate_seed4302__c6_simple_start__1800s,matrix1800,moderate_seed4302,2119,complete_monotone_observed_trace,True
matrix1800__tight_T_seed4101__c6_simple_start__1800s,matrix1800,tight_T_seed4101,854,complete_monotone_observed_trace,True
matrix1800__high_imbalance_seed5202__c6_simple_start__1800s,matrix1800,high_imbalance_seed5202,458,complete_monotone_observed_trace,True
matrix1800__high_imbalance_seed5203__c6_simple_start__1800s,matrix1800,high_imbalance_seed5203,372,complete_monotone_observed_trace,True
matrix1800__moderate_seed5301__c6_simple_start__1800s,matrix1800,moderate_seed5301,608,complete_monotone_observed_trace,True
matrix1800__moderate_seed5302__c6_simple_start__1800s,matrix1800,moderate_seed5302,439,complete_monotone_observed_trace,True
matrix1800__tight_T_seed5102__c6_simple_start__1800s,matrix1800,tight_T_seed5102,5065,complete_monotone_observed_trace,True
matrix1800__tight_T_seed5103__c6_simple_start__1800s,matrix1800,tight_T_seed5103,1697,complete_monotone_observed_trace,True
matrix1800__high_imbalance_seed6202__c6_simple_start__1800s,matrix1800,high_imbalance_seed6202,198,complete_monotone_observed_trace,True
matrix1800__moderate_seed6301__c6_simple_start__1800s,matrix1800,moderate_seed6301,149,complete_monotone_observed_trace,True
matrix1800__tight_T_seed6102__c6_simple_start__1800s,matrix1800,tight_T_seed6102,86,complete_monotone_observed_trace,True
matrix1800__round31_sealed_high_imbalance_V20_seed1968399862__c6_simple_start__1800s,matrix1800,round31_sealed_high_imbalance_V20_seed1968399862,578,complete_monotone_observed_trace,True
matrix1800__round31_sealed_high_imbalance_V50_seed802548647__c6_simple_start__1800s,matrix1800,round31_sealed_high_imbalance_V50_seed802548647,842,complete_monotone_observed_trace,True
matrix1800__round31_sealed_moderate_V20_seed311185674__c6_simple_start__1800s,matrix1800,round31_sealed_moderate_V20_seed311185674,391,complete_monotone_observed_trace,True
matrix1800__round31_sealed_moderate_V50_seed1112848618__c6_simple_start__1800s,matrix1800,round31_sealed_moderate_V50_seed1112848618,99,complete_monotone_observed_trace,True
matrix1800__round31_sealed_tight_T_V20_seed2113109204__c6_simple_start__1800s,matrix1800,round31_sealed_tight_T_V20_seed2113109204,6385,complete_monotone_observed_trace,True
matrix1800__round31_sealed_tight_T_V50_seed1973327304__c6_simple_start__1800s,matrix1800,round31_sealed_tight_T_V50_seed1973327304,143,complete_monotone_observed_trace,True
matrix1800__round32_multi_m_high_imbalance_V20_M2_seed1052706459__c6_simple_start__1800s,matrix1800,round32_multi_m_high_imbalance_V20_M2_seed1052706459,33,complete_monotone_observed_trace,True
matrix1800__round32_multi_m_high_imbalance_V20_M4_seed2081968251__c6_simple_start__1800s,matrix1800,round32_multi_m_high_imbalance_V20_M4_seed2081968251,565,complete_monotone_observed_trace,True
matrix1800__round32_multi_m_moderate_V20_M2_seed479269984__c6_simple_start__1800s,matrix1800,round32_multi_m_moderate_V20_M2_seed479269984,493,complete_monotone_observed_trace,True
matrix1800__round32_multi_m_moderate_V20_M4_seed822125155__c6_simple_start__1800s,matrix1800,round32_multi_m_moderate_V20_M4_seed822125155,187,complete_monotone_observed_trace,True
matrix1800__round32_multi_m_tight_T_V20_M2_seed89001413__c6_simple_start__1800s,matrix1800,round32_multi_m_tight_T_V20_M2_seed89001413,2447,complete_monotone_observed_trace,True
