stage,arm,rows,strict_certificates,valid_time_limited_rows,failed_rows,median_certificate_time_seconds,total_certificate_time_seconds
matrix1800,C6-HGA-FULL,35,15,20,0,207.1882477,4478.1495521
matrix1800,C6-SIMPLE-START,35,16,19,0,243.99965555,6511.9157337999995
matrix1800,P-GRB,35,2,32,0,102.72696289999999,205.45392579999998
v50_3600,C6-HGA-FULL,12,3,9,0,224.0474263,1440.0978542
v50_3600,C6-SIMPLE-START,12,3,9,0,359.2884077,2034.1969462
v50_3600,P-GRB,12,0,12,0,,0
