stage,instance_id,V,M,scenario,comparison,arm,common_verified_ub,gap_threshold,reached,first_observed_process_seconds,no_interpolation,no_post_last_extension
matrix1800,V12_M1,12,1,v12,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,0.3572005832084155,0.5,True,6.3735145,True,True
matrix1800,V12_M1,12,1,v12,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,0.3572005832084155,0.25,True,6.5446517,True,True
matrix1800,V12_M1,12,1,v12,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,0.3572005832084155,0.2,True,6.9301431,True,True
matrix1800,V12_M1,12,1,v12,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,0.3572005832084155,0.1,True,8.5640739,True,True
matrix1800,V12_M1,12,1,v12,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,0.3572005832084155,0.05,True,23.7768839,True,True
matrix1800,V12_M1,12,1,v12,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,0.3572005832084155,0.02,True,25.729313499999996,True,True
matrix1800,V12_M1,12,1,v12,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,0.3572005832084155,0.01,True,27.2906682,True,True
matrix1800,V12_M1,12,1,v12,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,0.3572005832084155,0.005,True,28.7768455,True,True
matrix1800,V12_M1,12,1,v12,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,0.3572005832084155,0.001,True,29.027784699999998,True,True
matrix1800,V12_M1,12,1,v12,SIMPLE_vs_C6-HGA-FULL,C6-SIMPLE-START,0.3572005832084155,0.5,True,0.3882446,True,True
matrix1800,V12_M1,12,1,v12,SIMPLE_vs_C6-HGA-FULL,C6-SIMPLE-START,0.3572005832084155,0.25,True,0.7861275000000001,True,True
matrix1800,V12_M1,12,1,v12,SIMPLE_vs_C6-HGA-FULL,C6-SIMPLE-START,0.3572005832084155,0.2,True,0.7861275000000001,True,True
matrix1800,V12_M1,12,1,v12,SIMPLE_vs_C6-HGA-FULL,C6-SIMPLE-START,0.3572005832084155,0.1,True,2.9259793999999997,True,True
matrix1800,V12_M1,12,1,v12,SIMPLE_vs_C6-HGA-FULL,C6-SIMPLE-START,0.3572005832084155,0.05,True,20.5968138,True,True
matrix1800,V12_M1,12,1,v12,SIMPLE_vs_C6-HGA-FULL,C6-SIMPLE-START,0.3572005832084155,0.02,True,21.8566539,True,True
matrix1800,V12_M1,12,1,v12,SIMPLE_vs_C6-HGA-FULL,C6-SIMPLE-START,0.3572005832084155,0.01,True,21.8566539,True,True
matrix1800,V12_M1,12,1,v12,SIMPLE_vs_C6-HGA-FULL,C6-SIMPLE-START,0.3572005832084155,0.005,True,21.8566539,True,True
matrix1800,V12_M1,12,1,v12,SIMPLE_vs_C6-HGA-FULL,C6-SIMPLE-START,0.3572005832084155,0.001,True,21.8566539,True,True
matrix1800,V12_M2,12,2,v12,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,0.7185040707549709,0.5,True,7.3435814,True,True
matrix1800,V12_M2,12,2,v12,SIMPLE_vs_C6-HGA-FULL,C6-HGA-FULL,0.7185040707549709,0.25,True,7.6078065,True,True
