run_id,stage,instance_id,reported_threads,command_thread_flags,one_thread_command_verified,single_thread_audit_passed
matrix1800__round31_sealed_high_imbalance_V20_seed1968399862__c6_simple_start__1800s,matrix1800,round31_sealed_high_imbalance_V20_seed1968399862,1,"{""--compact-bc-threads"": ""1"", ""--cplex-threads"": ""1"", ""--mip-threads"": ""1"", ""--threads"": ""1""}",True,True
matrix1800__round31_sealed_high_imbalance_V50_seed802548647__c6_simple_start__1800s,matrix1800,round31_sealed_high_imbalance_V50_seed802548647,1,"{""--compact-bc-threads"": ""1"", ""--cplex-threads"": ""1"", ""--mip-threads"": ""1"", ""--threads"": ""1""}",True,True
matrix1800__round31_sealed_moderate_V20_seed311185674__c6_simple_start__1800s,matrix1800,round31_sealed_moderate_V20_seed311185674,1,"{""--compact-bc-threads"": ""1"", ""--cplex-threads"": ""1"", ""--mip-threads"": ""1"", ""--threads"": ""1""}",True,True
matrix1800__round31_sealed_moderate_V50_seed1112848618__c6_simple_start__1800s,matrix1800,round31_sealed_moderate_V50_seed1112848618,1,"{""--compact-bc-threads"": ""1"", ""--cplex-threads"": ""1"", ""--mip-threads"": ""1"", ""--threads"": ""1""}",True,True
matrix1800__round31_sealed_tight_T_V20_seed2113109204__c6_simple_start__1800s,matrix1800,round31_sealed_tight_T_V20_seed2113109204,1,"{""--compact-bc-threads"": ""1"", ""--cplex-threads"": ""1"", ""--mip-threads"": ""1"", ""--threads"": ""1""}",True,True
matrix1800__round31_sealed_tight_T_V50_seed1973327304__c6_simple_start__1800s,matrix1800,round31_sealed_tight_T_V50_seed1973327304,1,"{""--compact-bc-threads"": ""1"", ""--cplex-threads"": ""1"", ""--mip-threads"": ""1"", ""--threads"": ""1""}",True,True
matrix1800__round32_multi_m_high_imbalance_V20_M2_seed1052706459__c6_simple_start__1800s,matrix1800,round32_multi_m_high_imbalance_V20_M2_seed1052706459,1,"{""--compact-bc-threads"": ""1"", ""--cplex-threads"": ""1"", ""--mip-threads"": ""1"", ""--threads"": ""1""}",True,True
matrix1800__round32_multi_m_high_imbalance_V20_M4_seed2081968251__c6_simple_start__1800s,matrix1800,round32_multi_m_high_imbalance_V20_M4_seed2081968251,1,"{""--compact-bc-threads"": ""1"", ""--cplex-threads"": ""1"", ""--mip-threads"": ""1"", ""--threads"": ""1""}",True,True
matrix1800__round32_multi_m_moderate_V20_M2_seed479269984__c6_simple_start__1800s,matrix1800,round32_multi_m_moderate_V20_M2_seed479269984,1,"{""--compact-bc-threads"": ""1"", ""--cplex-threads"": ""1"", ""--mip-threads"": ""1"", ""--threads"": ""1""}",True,True
matrix1800__round32_multi_m_moderate_V20_M4_seed822125155__c6_simple_start__1800s,matrix1800,round32_multi_m_moderate_V20_M4_seed822125155,1,"{""--compact-bc-threads"": ""1"", ""--cplex-threads"": ""1"", ""--mip-threads"": ""1"", ""--threads"": ""1""}",True,True
matrix1800__round32_multi_m_tight_T_V20_M2_seed89001413__c6_simple_start__1800s,matrix1800,round32_multi_m_tight_T_V20_M2_seed89001413,1,"{""--compact-bc-threads"": ""1"", ""--cplex-threads"": ""1"", ""--mip-threads"": ""1"", ""--threads"": ""1""}",True,True
matrix1800__round32_multi_m_tight_T_V20_M4_seed2095231402__c6_simple_start__1800s,matrix1800,round32_multi_m_tight_T_V20_M4_seed2095231402,1,"{""--compact-bc-threads"": ""1"", ""--cplex-threads"": ""1"", ""--mip-threads"": ""1"", ""--threads"": ""1""}",True,True
matrix1800__round32_multi_m_high_imbalance_V50_M2_seed910922492__c6_simple_start__1800s,matrix1800,round32_multi_m_high_imbalance_V50_M2_seed910922492,1,"{""--compact-bc-threads"": ""1"", ""--cplex-threads"": ""1"", ""--mip-threads"": ""1"", ""--threads"": ""1""}",True,True
matrix1800__round32_multi_m_high_imbalance_V50_M4_seed163456187__c6_simple_start__1800s,matrix1800,round32_multi_m_high_imbalance_V50_M4_seed163456187,1,"{""--compact-bc-threads"": ""1"", ""--cplex-threads"": ""1"", ""--mip-threads"": ""1"", ""--threads"": ""1""}",True,True
matrix1800__round32_multi_m_moderate_V50_M2_seed254020866__c6_simple_start__1800s,matrix1800,round32_multi_m_moderate_V50_M2_seed254020866,1,"{""--compact-bc-threads"": ""1"", ""--cplex-threads"": ""1"", ""--mip-threads"": ""1"", ""--threads"": ""1""}",True,True
matrix1800__round32_multi_m_moderate_V50_M4_seed721910669__c6_simple_start__1800s,matrix1800,round32_multi_m_moderate_V50_M4_seed721910669,1,"{""--compact-bc-threads"": ""1"", ""--cplex-threads"": ""1"", ""--mip-threads"": ""1"", ""--threads"": ""1""}",True,True
matrix1800__round32_multi_m_tight_T_V50_M2_seed104207248__c6_simple_start__1800s,matrix1800,round32_multi_m_tight_T_V50_M2_seed104207248,1,"{""--compact-bc-threads"": ""1"", ""--cplex-threads"": ""1"", ""--mip-threads"": ""1"", ""--threads"": ""1""}",True,True
matrix1800__round32_multi_m_tight_T_V50_M4_seed1562257203__c6_simple_start__1800s,matrix1800,round32_multi_m_tight_T_V50_M4_seed1562257203,1,"{""--compact-bc-threads"": ""1"", ""--cplex-threads"": ""1"", ""--mip-threads"": ""1"", ""--threads"": ""1""}",True,True
v50_3600__high_imbalance_seed6202__c6_simple_start__3600s,v50_3600,high_imbalance_seed6202,1,"{""--compact-bc-threads"": ""1"", ""--cplex-threads"": ""1"", ""--mip-threads"": ""1"", ""--threads"": ""1""}",True,True
v50_3600__moderate_seed6301__c6_simple_start__3600s,v50_3600,moderate_seed6301,1,"{""--compact-bc-threads"": ""1"", ""--cplex-threads"": ""1"", ""--mip-threads"": ""1"", ""--threads"": ""1""}",True,True
v50_3600__tight_T_seed6102__c6_simple_start__3600s,v50_3600,tight_T_seed6102,1,"{""--compact-bc-threads"": ""1"", ""--cplex-threads"": ""1"", ""--mip-threads"": ""1"", ""--threads"": ""1""}",True,True
v50_3600__round31_sealed_high_imbalance_V50_seed802548647__c6_simple_start__3600s,v50_3600,round31_sealed_high_imbalance_V50_seed802548647,1,"{""--compact-bc-threads"": ""1"", ""--cplex-threads"": ""1"", ""--mip-threads"": ""1"", ""--threads"": ""1""}",True,True
