run_id,stage,instance_id,run_path,historical_comparator_process_launched,result_separation_audit_passed
matrix1800__round31_sealed_high_imbalance_V50_seed802548647__c6_simple_start__1800s,matrix1800,round31_sealed_high_imbalance_V50_seed802548647,results/gf_simple_start_qualification_round35/runs/matrix1800__round31_sealed_high_imbalance_V50_seed802548647__c6_simple_start__1800s,False,True
matrix1800__round31_sealed_moderate_V20_seed311185674__c6_simple_start__1800s,matrix1800,round31_sealed_moderate_V20_seed311185674,results/gf_simple_start_qualification_round35/runs/matrix1800__round31_sealed_moderate_V20_seed311185674__c6_simple_start__1800s,False,True
matrix1800__round31_sealed_moderate_V50_seed1112848618__c6_simple_start__1800s,matrix1800,round31_sealed_moderate_V50_seed1112848618,results/gf_simple_start_qualification_round35/runs/matrix1800__round31_sealed_moderate_V50_seed1112848618__c6_simple_start__1800s,False,True
matrix1800__round31_sealed_tight_T_V20_seed2113109204__c6_simple_start__1800s,matrix1800,round31_sealed_tight_T_V20_seed2113109204,results/gf_simple_start_qualification_round35/runs/matrix1800__round31_sealed_tight_T_V20_seed2113109204__c6_simple_start__1800s,False,True
matrix1800__round31_sealed_tight_T_V50_seed1973327304__c6_simple_start__1800s,matrix1800,round31_sealed_tight_T_V50_seed1973327304,results/gf_simple_start_qualification_round35/runs/matrix1800__round31_sealed_tight_T_V50_seed1973327304__c6_simple_start__1800s,False,True
matrix1800__round32_multi_m_high_imbalance_V20_M2_seed1052706459__c6_simple_start__1800s,matrix1800,round32_multi_m_high_imbalance_V20_M2_seed1052706459,results/gf_simple_start_qualification_round35/runs/matrix1800__round32_multi_m_high_imbalance_V20_M2_seed1052706459__c6_simple_start__1800s,False,True
matrix1800__round32_multi_m_high_imbalance_V20_M4_seed2081968251__c6_simple_start__1800s,matrix1800,round32_multi_m_high_imbalance_V20_M4_seed2081968251,results/gf_simple_start_qualification_round35/runs/matrix1800__round32_multi_m_high_imbalance_V20_M4_seed2081968251__c6_simple_start__1800s,False,True
matrix1800__round32_multi_m_moderate_V20_M2_seed479269984__c6_simple_start__1800s,matrix1800,round32_multi_m_moderate_V20_M2_seed479269984,results/gf_simple_start_qualification_round35/runs/matrix1800__round32_multi_m_moderate_V20_M2_seed479269984__c6_simple_start__1800s,False,True
matrix1800__round32_multi_m_moderate_V20_M4_seed822125155__c6_simple_start__1800s,matrix1800,round32_multi_m_moderate_V20_M4_seed822125155,results/gf_simple_start_qualification_round35/runs/matrix1800__round32_multi_m_moderate_V20_M4_seed822125155__c6_simple_start__1800s,False,True
matrix1800__round32_multi_m_tight_T_V20_M2_seed89001413__c6_simple_start__1800s,matrix1800,round32_multi_m_tight_T_V20_M2_seed89001413,results/gf_simple_start_qualification_round35/runs/matrix1800__round32_multi_m_tight_T_V20_M2_seed89001413__c6_simple_start__1800s,False,True
matrix1800__round32_multi_m_tight_T_V20_M4_seed2095231402__c6_simple_start__1800s,matrix1800,round32_multi_m_tight_T_V20_M4_seed2095231402,results/gf_simple_start_qualification_round35/runs/matrix1800__round32_multi_m_tight_T_V20_M4_seed2095231402__c6_simple_start__1800s,False,True
matrix1800__round32_multi_m_high_imbalance_V50_M2_seed910922492__c6_simple_start__1800s,matrix1800,round32_multi_m_high_imbalance_V50_M2_seed910922492,results/gf_simple_start_qualification_round35/runs/matrix1800__round32_multi_m_high_imbalance_V50_M2_seed910922492__c6_simple_start__1800s,False,True
matrix1800__round32_multi_m_high_imbalance_V50_M4_seed163456187__c6_simple_start__1800s,matrix1800,round32_multi_m_high_imbalance_V50_M4_seed163456187,results/gf_simple_start_qualification_round35/runs/matrix1800__round32_multi_m_high_imbalance_V50_M4_seed163456187__c6_simple_start__1800s,False,True
matrix1800__round32_multi_m_moderate_V50_M2_seed254020866__c6_simple_start__1800s,matrix1800,round32_multi_m_moderate_V50_M2_seed254020866,results/gf_simple_start_qualification_round35/runs/matrix1800__round32_multi_m_moderate_V50_M2_seed254020866__c6_simple_start__1800s,False,True
matrix1800__round32_multi_m_moderate_V50_M4_seed721910669__c6_simple_start__1800s,matrix1800,round32_multi_m_moderate_V50_M4_seed721910669,results/gf_simple_start_qualification_round35/runs/matrix1800__round32_multi_m_moderate_V50_M4_seed721910669__c6_simple_start__1800s,False,True
matrix1800__round32_multi_m_tight_T_V50_M2_seed104207248__c6_simple_start__1800s,matrix1800,round32_multi_m_tight_T_V50_M2_seed104207248,results/gf_simple_start_qualification_round35/runs/matrix1800__round32_multi_m_tight_T_V50_M2_seed104207248__c6_simple_start__1800s,False,True
matrix1800__round32_multi_m_tight_T_V50_M4_seed1562257203__c6_simple_start__1800s,matrix1800,round32_multi_m_tight_T_V50_M4_seed1562257203,results/gf_simple_start_qualification_round35/runs/matrix1800__round32_multi_m_tight_T_V50_M4_seed1562257203__c6_simple_start__1800s,False,True
v50_3600__high_imbalance_seed6202__c6_simple_start__3600s,v50_3600,high_imbalance_seed6202,results/gf_simple_start_qualification_round35/runs/v50_3600__high_imbalance_seed6202__c6_simple_start__3600s,False,True
v50_3600__moderate_seed6301__c6_simple_start__3600s,v50_3600,moderate_seed6301,results/gf_simple_start_qualification_round35/runs/v50_3600__moderate_seed6301__c6_simple_start__3600s,False,True
