path,starting_status,final_status,starting_exists,final_exists,starting_bytes,final_bytes,preservation_audit_passed,audit_scope
results/gf_compact_bc_round/handling_convention_test/handling_convention.json, M, M,True,True,53767,53767,True,status_existence_and_byte_count
results/gf_compact_bc_timeprofile_round/progress_traces/exact_moderate_seed3301_1200s_static300.progress.csv, M, M,True,True,6792,6792,True,status_existence_and_byte_count
results/gf_compact_bc_timeprofile_round/raw/exact_moderate_seed3301_1200s_static300.json, M, M,True,True,73034,73034,True,status_existence_and_byte_count
Manuscript/main.aux,??,??,True,True,3140,3140,True,status_existence_and_byte_count
Manuscript/main.bbl,??,??,True,True,428,428,True,status_existence_and_byte_count
Manuscript/main.blg,??,??,True,True,1012,1012,True,status_existence_and_byte_count
Manuscript/main.out,??,??,True,True,2712,2712,True,status_existence_and_byte_count
build_round18/test_scratch/atomic_checkpoint.json,??,??,True,True,773,773,True,status_existence_and_byte_count
build_round22/frozen_executable.json,??,??,True,True,513,513,True,status_existence_and_byte_count
build_round22/smoke/global.bound.csv,??,??,True,True,185,185,True,status_existence_and_byte_count
build_round22/smoke/global.delta.csv,??,??,True,True,319,319,True,status_existence_and_byte_count
build_round22/smoke/global.json,??,??,True,True,71134,71134,True,status_existence_and_byte_count
build_round22/smoke/global.lifecycle.csv,??,??,True,True,3890,3890,True,status_existence_and_byte_count
build_round22/smoke/global.memory.csv,??,??,True,True,91,91,True,status_existence_and_byte_count
build_round22/smoke/global.mip.csv,??,??,True,True,151,151,True,status_existence_and_byte_count
build_round22/smoke/global.node.csv,??,??,True,True,699,699,True,status_existence_and_byte_count
build_round22/smoke/global.post.csv,??,??,True,True,222,222,True,status_existence_and_byte_count
build_round22/smoke/global.progress.csv,??,??,True,True,691,691,True,status_existence_and_byte_count
build_round22/smoke/global.raw.csv,??,??,True,True,1373,1373,True,status_existence_and_byte_count
build_round22/smoke/global.sibling.csv,??,??,True,True,214,214,True,status_existence_and_byte_count
build_round22/smoke/global.topology.csv,??,??,True,True,603,603,True,status_existence_and_byte_count
