round_id,run_id,stage,arm,process_cap_seconds,simple_start,reported_variant_contract,gurobi_seed_zero,one_thread,frozen_c6_scheduler,frozen_c6_lifecycle,historical_comparator_command,command_audit_passed
35,matrix1800__V12_M1__c6_simple_start__1800s,matrix1800,C6-SIMPLE-START,1800,True,True,True,True,True,True,False,True
35,matrix1800__V12_M2__c6_simple_start__1800s,matrix1800,C6-SIMPLE-START,1800,True,True,True,True,True,True,False,True
35,matrix1800__high_imbalance_seed3202__c6_simple_start__1800s,matrix1800,C6-SIMPLE-START,1800,True,True,True,True,True,True,False,True
35,matrix1800__moderate_seed3302__c6_simple_start__1800s,matrix1800,C6-SIMPLE-START,1800,True,True,True,True,True,True,False,True
35,matrix1800__tight_T_seed3101__c6_simple_start__1800s,matrix1800,C6-SIMPLE-START,1800,True,True,True,True,True,True,False,True
35,matrix1800__high_imbalance_seed4201__c6_simple_start__1800s,matrix1800,C6-SIMPLE-START,1800,True,True,True,True,True,True,False,True
35,matrix1800__moderate_seed4302__c6_simple_start__1800s,matrix1800,C6-SIMPLE-START,1800,True,True,True,True,True,True,False,True
35,matrix1800__tight_T_seed4101__c6_simple_start__1800s,matrix1800,C6-SIMPLE-START,1800,True,True,True,True,True,True,False,True
35,matrix1800__high_imbalance_seed5202__c6_simple_start__1800s,matrix1800,C6-SIMPLE-START,1800,True,True,True,True,True,True,False,True
35,matrix1800__high_imbalance_seed5203__c6_simple_start__1800s,matrix1800,C6-SIMPLE-START,1800,True,True,True,True,True,True,False,True
35,matrix1800__moderate_seed5301__c6_simple_start__1800s,matrix1800,C6-SIMPLE-START,1800,True,True,True,True,True,True,False,True
35,matrix1800__moderate_seed5302__c6_simple_start__1800s,matrix1800,C6-SIMPLE-START,1800,True,True,True,True,True,True,False,True
35,matrix1800__tight_T_seed5102__c6_simple_start__1800s,matrix1800,C6-SIMPLE-START,1800,True,True,True,True,True,True,False,True
35,matrix1800__tight_T_seed5103__c6_simple_start__1800s,matrix1800,C6-SIMPLE-START,1800,True,True,True,True,True,True,False,True
