round_id,stage,serial_order,run_id,instance_id,arm,startup_variant,repetition,process_cap_seconds,shutdown_margin_seconds,watchdog_seconds,fresh_process,frozen_before_round35_results
35,matrix1800,1,matrix1800__V12_M1__c6_simple_start__1800s,V12_M1,C6-SIMPLE-START,simple-start,0,1800,15,1890,True,True
35,matrix1800,2,matrix1800__V12_M2__c6_simple_start__1800s,V12_M2,C6-SIMPLE-START,simple-start,0,1800,15,1890,True,True
35,matrix1800,3,matrix1800__high_imbalance_seed3202__c6_simple_start__1800s,high_imbalance_seed3202,C6-SIMPLE-START,simple-start,0,1800,15,1890,True,True
35,matrix1800,4,matrix1800__moderate_seed3302__c6_simple_start__1800s,moderate_seed3302,C6-SIMPLE-START,simple-start,0,1800,15,1890,True,True
35,matrix1800,5,matrix1800__tight_T_seed3101__c6_simple_start__1800s,tight_T_seed3101,C6-SIMPLE-START,simple-start,0,1800,15,1890,True,True
35,matrix1800,6,matrix1800__high_imbalance_seed4201__c6_simple_start__1800s,high_imbalance_seed4201,C6-SIMPLE-START,simple-start,0,1800,15,1890,True,True
35,matrix1800,7,matrix1800__moderate_seed4302__c6_simple_start__1800s,moderate_seed4302,C6-SIMPLE-START,simple-start,0,1800,15,1890,True,True
35,matrix1800,8,matrix1800__tight_T_seed4101__c6_simple_start__1800s,tight_T_seed4101,C6-SIMPLE-START,simple-start,0,1800,15,1890,True,True
35,matrix1800,9,matrix1800__high_imbalance_seed5202__c6_simple_start__1800s,high_imbalance_seed5202,C6-SIMPLE-START,simple-start,0,1800,15,1890,True,True
35,matrix1800,10,matrix1800__high_imbalance_seed5203__c6_simple_start__1800s,high_imbalance_seed5203,C6-SIMPLE-START,simple-start,0,1800,15,1890,True,True
35,matrix1800,11,matrix1800__moderate_seed5301__c6_simple_start__1800s,moderate_seed5301,C6-SIMPLE-START,simple-start,0,1800,15,1890,True,True
35,matrix1800,12,matrix1800__moderate_seed5302__c6_simple_start__1800s,moderate_seed5302,C6-SIMPLE-START,simple-start,0,1800,15,1890,True,True
35,matrix1800,13,matrix1800__tight_T_seed5102__c6_simple_start__1800s,tight_T_seed5102,C6-SIMPLE-START,simple-start,0,1800,15,1890,True,True
35,matrix1800,14,matrix1800__tight_T_seed5103__c6_simple_start__1800s,tight_T_seed5103,C6-SIMPLE-START,simple-start,0,1800,15,1890,True,True
35,matrix1800,15,matrix1800__high_imbalance_seed6202__c6_simple_start__1800s,high_imbalance_seed6202,C6-SIMPLE-START,simple-start,0,1800,15,1890,True,True
35,matrix1800,16,matrix1800__moderate_seed6301__c6_simple_start__1800s,moderate_seed6301,C6-SIMPLE-START,simple-start,0,1800,15,1890,True,True
35,matrix1800,17,matrix1800__tight_T_seed6102__c6_simple_start__1800s,tight_T_seed6102,C6-SIMPLE-START,simple-start,0,1800,15,1890,True,True
35,matrix1800,18,matrix1800__round31_sealed_high_imbalance_V20_seed1968399862__c6_simple_start__1800s,round31_sealed_high_imbalance_V20_seed1968399862,C6-SIMPLE-START,simple-start,0,1800,15,1890,True,True
