run_id,stage,instance_id,strict_certificate,certificate_class,certificate_rejection_reason,valid_lower_bound,verified_upper_bound,strict_bound_equality_within_tolerance,false_certificate,certificate_audit_passed
matrix1800__V12_M1__c6_simple_start__1800s,matrix1800,V12_M1,True,engineering_exact_original_problem_optimal,none,0.3572005832084129,0.3572005832084155,True,False,True
matrix1800__V12_M2__c6_simple_start__1800s,matrix1800,V12_M2,True,engineering_exact_original_problem_optimal,none,0.7185040707549679,0.7185040707549709,True,False,True
matrix1800__high_imbalance_seed3202__c6_simple_start__1800s,matrix1800,high_imbalance_seed3202,True,engineering_exact_original_problem_optimal,none,1.7493134514123088,1.7493134520506337,True,False,True
matrix1800__moderate_seed3302__c6_simple_start__1800s,matrix1800,moderate_seed3302,False,certificate_rejected,relevant_leaf_open,0.15427612932871687,0.19563620654901237,False,False,True
matrix1800__tight_T_seed3101__c6_simple_start__1800s,matrix1800,tight_T_seed3101,False,certificate_rejected,relevant_leaf_open,0.07254169658410484,0.10725273413394144,False,False,True
matrix1800__high_imbalance_seed4201__c6_simple_start__1800s,matrix1800,high_imbalance_seed4201,True,engineering_exact_original_problem_optimal,none,2.783296190895182,2.7832961908951837,True,False,True
matrix1800__moderate_seed4302__c6_simple_start__1800s,matrix1800,moderate_seed4302,True,engineering_exact_original_problem_optimal,none,0.02981987662479814,0.0298198766247978,True,False,True
matrix1800__tight_T_seed4101__c6_simple_start__1800s,matrix1800,tight_T_seed4101,True,engineering_exact_original_problem_optimal,none,0.562981400559008,0.562981400559009,True,False,True
matrix1800__high_imbalance_seed5202__c6_simple_start__1800s,matrix1800,high_imbalance_seed5202,False,certificate_rejected,relevant_leaf_open,1.0954008682234888,1.149509246006453,False,False,True
matrix1800__high_imbalance_seed5203__c6_simple_start__1800s,matrix1800,high_imbalance_seed5203,True,engineering_exact_original_problem_optimal,none,2.3524097575828167,2.3524097575828193,True,False,True
matrix1800__moderate_seed5301__c6_simple_start__1800s,matrix1800,moderate_seed5301,False,certificate_rejected,relevant_leaf_open,0.13609955598728404,0.16885733659692667,False,False,True
matrix1800__moderate_seed5302__c6_simple_start__1800s,matrix1800,moderate_seed5302,False,certificate_rejected,relevant_leaf_open,0.05369379215889469,0.15944571702037733,False,False,True
matrix1800__tight_T_seed5102__c6_simple_start__1800s,matrix1800,tight_T_seed5102,True,engineering_exact_original_problem_optimal,none,0.36235466035459934,0.3623546627845846,True,False,True
matrix1800__tight_T_seed5103__c6_simple_start__1800s,matrix1800,tight_T_seed5103,True,engineering_exact_original_problem_optimal,none,0.2843258683938473,0.2843258683938499,True,False,True
matrix1800__high_imbalance_seed6202__c6_simple_start__1800s,matrix1800,high_imbalance_seed6202,False,certificate_rejected,relevant_leaf_open,7.820469192436284,9.730396463005972,False,False,True
matrix1800__moderate_seed6301__c6_simple_start__1800s,matrix1800,moderate_seed6301,False,certificate_rejected,relevant_leaf_open,0.5155109078263094,0.5804785297747187,False,False,True
matrix1800__tight_T_seed6102__c6_simple_start__1800s,matrix1800,tight_T_seed6102,False,certificate_rejected,relevant_leaf_open,0.6112010296450444,0.6752533843666184,False,False,True
matrix1800__round31_sealed_high_imbalance_V20_seed1968399862__c6_simple_start__1800s,matrix1800,round31_sealed_high_imbalance_V20_seed1968399862,True,engineering_exact_original_problem_optimal,none,2.0874707759049262,2.0874707775727215,True,False,True
matrix1800__round31_sealed_high_imbalance_V50_seed802548647__c6_simple_start__1800s,matrix1800,round31_sealed_high_imbalance_V50_seed802548647,True,engineering_exact_original_problem_optimal,none,8.771979091147193,8.771979091147195,True,False,True
matrix1800__round31_sealed_moderate_V20_seed311185674__c6_simple_start__1800s,matrix1800,round31_sealed_moderate_V20_seed311185674,False,certificate_rejected,relevant_leaf_open,0.06284669549599914,0.08804854289976484,False,False,True
matrix1800__round31_sealed_moderate_V50_seed1112848618__c6_simple_start__1800s,matrix1800,round31_sealed_moderate_V50_seed1112848618,False,certificate_rejected,relevant_leaf_open,0.5360052362487707,0.6618393814171221,False,False,True
matrix1800__round31_sealed_tight_T_V20_seed2113109204__c6_simple_start__1800s,matrix1800,round31_sealed_tight_T_V20_seed2113109204,False,certificate_rejected,relevant_leaf_open,0.35747688602315825,0.4704434489259324,False,False,True
