stage,instance_id,V,M,scenario,full_startup_ub,simple_startup_ub,simple_relative_ub_degradation,full_exact_phase_seconds,simple_exact_phase_seconds,full_common_ub_gap,simple_common_ub_gap,full_strict_certificate,simple_strict_certificate,pattern
matrix1800,V12_M1,12,1,v12,0.3572005832084155,0.3930800180051011,0.10044618201463308,23.0351474,21.8600271,2.797309884512809e-15,7.304086920672336e-15,True,True,3_simple_ub_weaker_exact_phase_faster
matrix1800,V12_M2,12,2,v12,0.7185040707549709,0.7893423968012562,0.09859140529552131,114.7367512,82.3153397,5.099116526108658e-15,4.172004430452538e-15,True,True,3_simple_ub_weaker_exact_phase_faster
matrix1800,high_imbalance_seed3202,20,3,high_imbalance,1.7493134520506337,1.7576833851330294,0.00478469600321428,213.97697820000002,252.8483152,7.615945718524238e-16,3.64900268563079e-10,True,True,4_simple_ub_weaker_exact_phase_slower
matrix1800,moderate_seed3302,20,3,moderate,0.19563620654901237,0.3354560658983803,0.7146931634780963,1765.1689577999998,1785.0406719999999,0.23598907284973325,0.21141320387406734,False,False,3_simple_ub_weaker_exact_phase_faster
matrix1800,tight_T_seed3101,20,3,tight_T,0.10725273413394144,1.008059604232259,8.39891754156453,1770.2647847,1785.0388768,0.2605273735301651,0.32363778723335945,False,False,5_simple_certification_or_final_gap_regression
matrix1800,high_imbalance_seed4201,20,3,high_imbalance,2.784107571242904,2.79863409613361,0.0052176593464815565,397.9297047,235.14146920000002,1.59555138724647e-16,6.38220554898588e-16,True,True,3_simple_ub_weaker_exact_phase_faster
matrix1800,moderate_seed4302,20,3,moderate,0.04854285887126694,0.06607699113576627,0.3612093039472379,769.9252386999999,755.9866962,4.653871638179039e-16,0.0,True,True,2_simple_ub_weaker_exact_phase_similar
matrix1800,tight_T_seed4101,20,3,tight_T,0.6044885370628472,0.7333212708333403,0.21312684339140522,483.3467246,335.23701059999996,1.3958500519212102e-09,1.7748378919276738e-15,True,True,3_simple_ub_weaker_exact_phase_faster
matrix1800,high_imbalance_seed5202,20,3,high_imbalance,1.1543377051882164,1.2000606361269495,0.039609665987024,1771.4195108000001,1785.0366991,0.04501034602507927,0.047070850426774676,False,False,5_simple_certification_or_final_gap_regression
matrix1800,high_imbalance_seed5203,20,3,high_imbalance,2.3524097575828193,2.3643426812899904,0.00507263824625201,141.76528150000001,101.0456289,5.852197076200602e-15,1.1326833050710842e-15,True,True,3_simple_ub_weaker_exact_phase_faster
