stage,instance_id,V,M,scenario,historical_source_round,historical_run_id,historical_executable_sha256,comparison_compatibility,full_startup_seconds,simple_startup_seconds,startup_seconds_saved,full_startup_ub,simple_startup_ub,simple_relative_ub_degradation,full_exact_phase_seconds,simple_exact_phase_seconds,simple_over_full_exact_phase_ratio,full_end_to_end_seconds,simple_end_to_end_seconds,full_strict_certificate,simple_strict_certificate,full_common_ub_gap,simple_common_ub_gap,simple_minus_full_proof_auc,pattern,pattern_is_diagnostic_not_dispatch
matrix1800,V12_M1,12,1,v12,32,stage1__V12_M1__c6_frozen__1800s,b45bd17aae1d466d0e8f15c9f978c6a3427998eeae0215a4406d1934a976f508,compatible,6.0390367,0.0031689,6.035867799999999,0.3572005832084155,0.3930800180051011,0.10044618201463308,23.0351474,21.8600271,0.9489857703276515,29.0741841,21.863196,True,True,2.797309884512809e-15,7.304086920672336e-15,0.0015858626265318249,3_simple_ub_weaker_exact_phase_faster,True
matrix1800,V12_M2,12,2,v12,32,stage1__V12_M2__c6_frozen__1800s,b45bd17aae1d466d0e8f15c9f978c6a3427998eeae0215a4406d1934a976f508,compatible,6.7484937,0.0034708,6.7450229,0.7185040707549709,0.7893423968012562,0.09859140529552131,114.7367512,82.3153397,0.7174278410281499,121.4852449,82.3188105,True,True,5.099116526108658e-15,4.172004430452538e-15,0.053421526838817054,3_simple_ub_weaker_exact_phase_faster,True
matrix1800,high_imbalance_seed3202,20,3,high_imbalance,32,stage1__high_imbalance_seed3202__c6_frozen__1800s,b45bd17aae1d466d0e8f15c9f978c6a3427998eeae0215a4406d1934a976f508,compatible,15.6222029,0.0039473,15.6182556,1.7493134520506337,1.7576833851330294,0.00478469600321428,213.97697820000002,252.8483152,1.1816613045337416,229.5991811,252.8522625,True,True,7.615945718524238e-16,3.64900268563079e-10,0.009964533623373578,4_simple_ub_weaker_exact_phase_slower,True
matrix1800,moderate_seed3302,20,3,moderate,32,stage1__moderate_seed3302__c6_frozen__1800s,b45bd17aae1d466d0e8f15c9f978c6a3427998eeae0215a4406d1934a976f508,compatible,19.8798191,0.005415,19.8744041,0.19563620654901237,0.3354560658983803,0.7146931634780963,1765.1689577999998,1785.0406719999999,1.0112576839243577,1785.0487769,1785.046087,False,False,0.23598907284973325,0.21141320387406734,0.00804553178278566,3_simple_ub_weaker_exact_phase_faster,True
matrix1800,tight_T_seed3101,20,3,tight_T,32,stage1__tight_T_seed3101__c6_frozen__1800s,b45bd17aae1d466d0e8f15c9f978c6a3427998eeae0215a4406d1934a976f508,compatible,14.7711586,0.0052274,14.765931199999999,0.10725273413394144,1.008059604232259,8.39891754156453,1770.2647847,1785.0388768,1.008345696207533,1785.0359433,1785.0441042,False,False,0.2605273735301651,0.32363778723335945,0.020411108922906436,5_simple_certification_or_final_gap_regression,True
matrix1800,high_imbalance_seed4201,20,3,high_imbalance,32,stage1__high_imbalance_seed4201__c6_frozen__1800s,b45bd17aae1d466d0e8f15c9f978c6a3427998eeae0215a4406d1934a976f508,compatible,16.404855,0.0055794,16.399275600000003,2.784107571242904,2.79863409613361,0.0052176593464815565,397.9297047,235.14146920000002,0.5909120792509663,414.3345597,235.1470486,True,True,1.59555138724647e-16,6.38220554898588e-16,0.00503394727802746,3_simple_ub_weaker_exact_phase_faster,True
matrix1800,moderate_seed4302,20,3,moderate,32,stage1__moderate_seed4302__c6_frozen__1800s,b45bd17aae1d466d0e8f15c9f978c6a3427998eeae0215a4406d1934a976f508,compatible,19.0213968,0.0039717,19.0174251,0.04854285887126694,0.06607699113576627,0.3612093039472379,769.9252386999999,755.9866962,0.9818962390120698,788.9466355,755.9906679,True,True,4.653871638179039e-16,0.0,-0.07447635363268269,2_simple_ub_weaker_exact_phase_similar,True
matrix1800,tight_T_seed4101,20,3,tight_T,32,stage1__tight_T_seed4101__c6_frozen__1800s,b45bd17aae1d466d0e8f15c9f978c6a3427998eeae0215a4406d1934a976f508,compatible,9.7524423,0.0041244,9.7483179,0.6044885370628472,0.7333212708333403,0.21312684339140522,483.3467246,335.23701059999996,0.6935745988088153,493.0991669,335.241135,True,True,1.3958500519212102e-09,1.7748378919276738e-15,0.01944779751999509,3_simple_ub_weaker_exact_phase_faster,True
matrix1800,high_imbalance_seed5202,20,3,high_imbalance,32,stage1__high_imbalance_seed5202__c6_frozen__1800s,b45bd17aae1d466d0e8f15c9f978c6a3427998eeae0215a4406d1934a976f508,compatible,13.6364133,0.0063716,13.6300417,1.1543377051882164,1.2000606361269495,0.039609665987024,1771.4195108000001,1785.0366991,1.0076871617462597,1785.0559241,1785.0430707,False,False,0.04501034602507927,0.047070850426774676,0.010433355379312162,5_simple_certification_or_final_gap_regression,True
matrix1800,high_imbalance_seed5203,20,3,high_imbalance,32,stage1__high_imbalance_seed5203__c6_frozen__1800s,b45bd17aae1d466d0e8f15c9f978c6a3427998eeae0215a4406d1934a976f508,compatible,14.2116256,0.0034529,14.2081727,2.3524097575828193,2.3643426812899904,0.00507263824625201,141.76528150000001,101.0456289,0.7127671022894275,155.9769071,101.0490818,True,True,5.852197076200602e-15,1.1326833050710842e-15,-0.0055060875824066765,3_simple_ub_weaker_exact_phase_faster,True
