arm,K0,rho,rows,certificates,false_certificates,v20_certificates,mean_gap,mean_gi_300,total_work,total_time_seconds,total_splits,total_native_target_jobs
K4-r001,4,0.01,33,22,0,4,0.05835982000579656,0.1457070179135875,27529.62803255941,14151.6058426,42,103
K4-r012,4,0.12,33,22,0,4,0.058279397360612974,0.1456815683256147,27847.716217644123,14130.4678097,40,101
K4-r015,4,0.15,10,5,0,0,0.08415909011165869,0.1438313213557219,2521.000191259789,1377.078587,11,28
K4-r020,4,0.2,10,5,0,0,0.08415909011165869,0.14387848357744612,2521.5415827440524,1377.1891264,11,28
K4-r050,4,0.5,20,12,0,1,0.06592253227794735,0.1438551482315081,9654.74744899398,5072.7311214,22,58
