run_id,stage,arm,instance,K0,rho,rho_explicit,executable_sha256,process_cap_seconds,status,certificate,strict_rejection_reason,failure_reason,time_seconds,work,lower_bound,verified_upper_bound,relative_gap,split_count,initial_interval_count,final_interval_count,lp_jobs,native_target_jobs,terminal_mip_jobs,nodes,peak_memory_gb,completion_marker,watchdog_timeout,lb_300,ub_300,gap_300,gi_300,lb_1200,ub_1200,gap_1200,gi_1200,lb_1800,ub_1800,gap_1800,gi_1800
stage3_300s__high_imbalance_seed3201__K1-r001,stage3_300s,K1-r001,high_imbalance_seed3201,1,0.01,True,d574b38b2f44ae2aacf92bf685f439354b5a08dbe257b6c399045b98a157871b,300.0,round31_c6_external_gini_tree_time_limit,False,relevant_leaf_open,relevant_leaf_open,280.0361767,500.6990603437069,2.3545030031536247,2.4434031919432,0.03638375732777625,4,1,5,11,5,1,6451.0,0.158164189,True,False,2.3545030031536247,2.4434031919432,0.03638375732777625,0.07538690572139185,2.3545030031536247,2.4434031919432,0.03638375732777625,0.04613454442618015,2.3545030031536247,2.4434031919432,0.03638375732777625,0.04288428206004552
stage3_300s__high_imbalance_seed3201__K1-r012,stage3_300s,K1-r012,high_imbalance_seed3201,1,0.12,True,d574b38b2f44ae2aacf92bf685f439354b5a08dbe257b6c399045b98a157871b,300.0,round31_c6_external_gini_tree_time_limit,False,relevant_leaf_open,relevant_leaf_open,280.0387804,498.8645169042012,2.3545030031536247,2.4434031919432,0.03638375732777625,4,1,5,11,5,1,6367.0,0.158164189,True,False,2.3545030031536247,2.4434031919432,0.03638375732777625,0.07537153463984651,2.3545030031536247,2.4434031919432,0.03638375732777625,0.046130701655793825,2.3545030031536247,2.4434031919432,0.03638375732777625,0.0428817202131213
stage3_300s__high_imbalance_seed3201__K1-r015,stage3_300s,K1-r015,high_imbalance_seed3201,1,0.15,True,d574b38b2f44ae2aacf92bf685f439354b5a08dbe257b6c399045b98a157871b,300.0,round31_c6_external_gini_tree_time_limit,False,relevant_leaf_open,relevant_leaf_open,280.0299917,500.3181692309052,2.3545030031536247,2.4434031919432,0.03638375732777625,4,1,5,11,5,1,6423.0,0.158164189,True,False,2.3545030031536247,2.4434031919432,0.03638375732777625,0.07528921698277755,2.3545030031536247,2.4434031919432,0.03638375732777625,0.04611012224152657,2.3545030031536247,2.4434031919432,0.03638375732777625,0.042868000603609804
stage3_300s__high_imbalance_seed3201__K1-r020,stage3_300s,K1-r020,high_imbalance_seed3201,1,0.2,True,d574b38b2f44ae2aacf92bf685f439354b5a08dbe257b6c399045b98a157871b,300.0,round31_c6_external_gini_tree_time_limit,False,relevant_leaf_open,relevant_leaf_open,280.0318647,501.41885006688176,2.3545030031536247,2.4434031919432,0.03638375732777625,4,1,5,11,5,1,6477.0,0.158164189,True,False,2.3545030031536247,2.4434031919432,0.03638375732777625,0.07518622439028184,2.3545030031536247,2.4434031919432,0.03638375732777625,0.04608437409340265,2.3545030031536247,2.4434031919432,0.03638375732777625,0.042850835171527185
stage3_300s__high_imbalance_seed3201__K1-r050,stage3_300s,K1-r050,high_imbalance_seed3201,1,0.5,True,d574b38b2f44ae2aacf92bf685f439354b5a08dbe257b6c399045b98a157871b,300.0,round31_c6_external_gini_tree_time_limit,False,relevant_leaf_open,relevant_leaf_open,280.0299999,530.066308306391,2.304690794004673,2.4434031919432,0.05677016318711248,0,1,1,3,1,1,1994.0,0.135970784,True,False,2.304690794004673,2.4434031919432,0.05677016318711248,0.09962814927769793,2.304690794004673,2.4434031919432,0.05677016318711248,0.06748465970975884,2.304690794004673,2.4434031919432,0.05677016318711248,0.06391316086887672
stage3_300s__high_imbalance_seed3201__K4-r001,stage3_300s,K4-r001,high_imbalance_seed3201,4,0.01,True,d574b38b2f44ae2aacf92bf685f439354b5a08dbe257b6c399045b98a157871b,300.0,round31_c6_external_gini_tree_time_limit,False,relevant_leaf_open,relevant_leaf_open,280.0415926,501.90445808006996,2.2866395288965413,2.4434031919432,0.06415791857994055,1,4,5,8,3,1,12843.0,0.176095351,True,False,2.2866395288965413,2.4434031919432,0.06415791857994055,0.10281875024868131,2.2866395288965413,2.4434031919432,0.06415791857994055,0.07382312649712575,2.2866395288965413,2.4434031919432,0.06415791857994055,0.07060139052473068
stage3_300s__high_imbalance_seed3201__K4-r012,stage3_300s,K4-r012,high_imbalance_seed3201,4,0.12,True,d574b38b2f44ae2aacf92bf685f439354b5a08dbe257b6c399045b98a157871b,300.0,round31_c6_external_gini_tree_time_limit,False,relevant_leaf_open,relevant_leaf_open,280.0440099,510.85279209337546,2.2866395288965413,2.4434031919432,0.06415791857994055,1,4,5,8,3,1,13251.0,0.176095351,True,False,2.2866395288965413,2.4434031919432,0.06415791857994055,0.10245708067360118,2.2866395288965413,2.4434031919432,0.06415791857994055,0.0737327091033557,2.2866395288965413,2.4434031919432,0.06415791857994055,0.07054111226221732
stage3_300s__high_imbalance_seed3201__K4-r015,stage3_300s,K4-r015,high_imbalance_seed3201,4,0.15,True,d574b38b2f44ae2aacf92bf685f439354b5a08dbe257b6c399045b98a157871b,300.0,round31_c6_external_gini_tree_time_limit,False,relevant_leaf_open,relevant_leaf_open,280.0485182,510.5250398309303,2.2866395288965413,2.4434031919432,0.06415791857994055,1,4,5,8,3,1,13232.0,0.176095351,True,False,2.2866395288965413,2.4434031919432,0.06415791857994055,0.10284978108935758,2.2866395288965413,2.4434031919432,0.06415791857994055,0.0738308842072948,2.2866395288965413,2.4434031919432,0.06415791857994055,0.07060656233151005
stage3_300s__high_imbalance_seed3201__K4-r020,stage3_300s,K4-r020,high_imbalance_seed3201,4,0.2,True,d574b38b2f44ae2aacf92bf685f439354b5a08dbe257b6c399045b98a157871b,300.0,round31_c6_external_gini_tree_time_limit,False,relevant_leaf_open,relevant_leaf_open,280.0432322,510.0899858275254,2.2866395288965413,2.4434031919432,0.06415791857994055,1,4,5,8,3,1,13205.0,0.176095351,True,False,2.2866395288965413,2.4434031919432,0.06415791857994055,0.10283197738217766,2.2866395288965413,2.4434031919432,0.06415791857994055,0.07382643328049983,2.2866395288965413,2.4434031919432,0.06415791857994055,0.07060359504698006
stage3_300s__high_imbalance_seed3201__K4-r050,stage3_300s,K4-r050,high_imbalance_seed3201,4,0.5,True,d574b38b2f44ae2aacf92bf685f439354b5a08dbe257b6c399045b98a157871b,300.0,round31_c6_external_gini_tree_time_limit,False,relevant_leaf_open,relevant_leaf_open,280.0420876,510.6826656982619,2.2866395288965413,2.4434031919432,0.06415791857994055,1,4,5,8,3,1,13239.0,0.176095351,True,False,2.2866395288965413,2.4434031919432,0.06415791857994055,0.10248402404530071,2.2866395288965413,2.4434031919432,0.06415791857994055,0.0737394449462806,2.2866395288965413,2.4434031919432,0.06415791857994055,0.07054560282416725
