run_id,stage,arm,instance,certificate,status,false_certificate,completion_marker,watchdog_timeout,lower_bound,verified_upper_bound,bound_order_valid
stage3_300s__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__K4-r050,stage3_300s,K4-r050,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,True,optimal,False,True,False,0.021337006039780566,0.021337006039780566,True
stage3_300s__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__P-GRB,stage3_300s,P-GRB,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,True,optimal,False,True,False,0.02133700603978057,0.021337006039780566,True
stage3_300s__round39_small_hard_V10_M1_Q20_slot01_seed561355351__K1-r001,stage3_300s,K1-r001,round39_small_hard_V10_M1_Q20_slot01_seed561355351,True,optimal,False,True,False,0.8585174613256055,0.8585174613256055,True
stage3_300s__round39_small_hard_V10_M1_Q20_slot01_seed561355351__K1-r012,stage3_300s,K1-r012,round39_small_hard_V10_M1_Q20_slot01_seed561355351,True,optimal,False,True,False,0.8585174613256094,0.8585174613256055,True
stage3_300s__round39_small_hard_V10_M1_Q20_slot01_seed561355351__K1-r015,stage3_300s,K1-r015,round39_small_hard_V10_M1_Q20_slot01_seed561355351,True,optimal,False,True,False,0.8585174613256094,0.8585174613256055,True
stage3_300s__round39_small_hard_V10_M1_Q20_slot01_seed561355351__K1-r020,stage3_300s,K1-r020,round39_small_hard_V10_M1_Q20_slot01_seed561355351,True,optimal,False,True,False,0.8585174613256094,0.8585174613256055,True
stage3_300s__round39_small_hard_V10_M1_Q20_slot01_seed561355351__K1-r050,stage3_300s,K1-r050,round39_small_hard_V10_M1_Q20_slot01_seed561355351,True,optimal,False,True,False,0.8585174613256094,0.8585174613256055,True
stage3_300s__round39_small_hard_V10_M1_Q20_slot01_seed561355351__K4-r001,stage3_300s,K4-r001,round39_small_hard_V10_M1_Q20_slot01_seed561355351,True,optimal,False,True,False,0.8585174613256055,0.8585174613256055,True
stage3_300s__round39_small_hard_V10_M1_Q20_slot01_seed561355351__K4-r012,stage3_300s,K4-r012,round39_small_hard_V10_M1_Q20_slot01_seed561355351,True,optimal,False,True,False,0.8585174613256055,0.8585174613256055,True
stage3_300s__round39_small_hard_V10_M1_Q20_slot01_seed561355351__K4-r015,stage3_300s,K4-r015,round39_small_hard_V10_M1_Q20_slot01_seed561355351,True,optimal,False,True,False,0.8585174613256055,0.8585174613256055,True
stage3_300s__round39_small_hard_V10_M1_Q20_slot01_seed561355351__K4-r020,stage3_300s,K4-r020,round39_small_hard_V10_M1_Q20_slot01_seed561355351,True,optimal,False,True,False,0.8585174613256055,0.8585174613256055,True
stage3_300s__round39_small_hard_V10_M1_Q20_slot01_seed561355351__K4-r050,stage3_300s,K4-r050,round39_small_hard_V10_M1_Q20_slot01_seed561355351,True,optimal,False,True,False,0.8585174613256055,0.8585174613256055,True
stage3_300s__round39_small_hard_V10_M1_Q20_slot01_seed561355351__P-GRB,stage3_300s,P-GRB,round39_small_hard_V10_M1_Q20_slot01_seed561355351,True,optimal,False,True,False,0.8585174613256055,0.8585174613256055,True
stage3_300s__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__K1-r001,stage3_300s,K1-r001,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,True,optimal,False,True,False,0.5045438521642072,0.5045438521642074,True
stage3_300s__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__K1-r012,stage3_300s,K1-r012,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,True,optimal,False,True,False,0.5045438521642072,0.5045438521642074,True
stage3_300s__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__K1-r015,stage3_300s,K1-r015,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,True,optimal,False,True,False,0.5045438521642072,0.5045438521642074,True
stage3_300s__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__K1-r020,stage3_300s,K1-r020,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,True,optimal,False,True,False,0.5045438521642072,0.5045438521642074,True
stage3_300s__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__K1-r050,stage3_300s,K1-r050,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,True,optimal,False,True,False,0.5045438521642072,0.5045438521642074,True
stage3_300s__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__K4-r001,stage3_300s,K4-r001,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,True,optimal,False,True,False,0.5045438521642074,0.5045438521642074,True
stage3_300s__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__K4-r012,stage3_300s,K4-r012,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,True,optimal,False,True,False,0.5045438521642074,0.5045438521642074,True
stage3_300s__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__K4-r015,stage3_300s,K4-r015,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,True,optimal,False,True,False,0.5045438521642074,0.5045438521642074,True
stage3_300s__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__K4-r020,stage3_300s,K4-r020,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,True,optimal,False,True,False,0.5045438521642074,0.5045438521642074,True
stage3_300s__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__K4-r050,stage3_300s,K4-r050,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,True,optimal,False,True,False,0.5045438521642074,0.5045438521642074,True
stage3_300s__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__P-GRB,stage3_300s,P-GRB,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,True,optimal,False,True,False,0.5045438474568696,0.5045438521642074,True
stage3_300s__round39_small_hard_V12_M3_Q20_slot07_seed621538683__K1-r001,stage3_300s,K1-r001,round39_small_hard_V12_M3_Q20_slot07_seed621538683,False,round31_c6_external_gini_tree_not_certified,False,True,False,0.6471163029866588,0.6471164334555021,True
stage3_300s__round39_small_hard_V12_M3_Q20_slot07_seed621538683__K1-r012,stage3_300s,K1-r012,round39_small_hard_V12_M3_Q20_slot07_seed621538683,False,round31_c6_external_gini_tree_not_certified,False,True,False,0.6471163029866588,0.6471164334555021,True
stage3_300s__round39_small_hard_V12_M3_Q20_slot07_seed621538683__K1-r015,stage3_300s,K1-r015,round39_small_hard_V12_M3_Q20_slot07_seed621538683,False,round31_c6_external_gini_tree_not_certified,False,True,False,0.6471163029866588,0.6471164334555021,True
stage3_300s__round39_small_hard_V12_M3_Q20_slot07_seed621538683__K1-r020,stage3_300s,K1-r020,round39_small_hard_V12_M3_Q20_slot07_seed621538683,False,round31_c6_external_gini_tree_not_certified,False,True,False,0.6471163029866588,0.6471164334555021,True
