instance,k4_arm,k1_arm,k4_certificate,k1_certificate,k4_time,k1_time,time_ratio_k1_k4,k4_work,k1_work,work_ratio_k1_k4,k4_gi_1800,k1_gi_1800
high_imbalance_seed3201,K4-r001,K1-r015,True,True,390.3545002,539.8320984,1.382927821053464,710.8503886196801,970.6039194826874,1.3654123779370695,0.018482185126138685,0.017004316173170324
high_imbalance_seed3202,K4-r001,K1-r015,True,True,229.4960002,340.7282322,1.4846804820261088,408.74551643281535,627.6730860617545,1.5356084919036017,0.012796802302944223,0.014996801351319764
moderate_seed3301,K4-r001,K1-r015,False,False,1780.0343577,1780.0381542,1.0000021328240005,2911.2260925812884,3161.8223178799535,1.0860792729006044,0.13373936704706685,0.057144757229790726
moderate_seed3302,K4-r001,K1-r015,False,False,1780.0491175,1780.0413997,0.9999956642769438,3637.865046174856,3783.0840375686116,1.0399187406763344,0.24532313285456936,0.26389444426797526
round39_small_hard_V10_M2_Q20_slot03_seed490008310,K4-r001,K1-r015,True,True,9.1875754,8.0154996,0.8724281707663591,12.14001897482193,10.769132505669324,0.8870770736029502,0.0017982751407872506,0.0016328684326180696
round39_small_hard_V10_M3_Q20_slot04_seed1145042375,K4-r001,K1-r015,True,True,9.3577064,6.9889521,0.7468659307370447,10.503884558425527,8.991485297269257,0.8560152434326668,0.001909166045255273,0.0016329333149850574
round39_small_hard_V12_M2_Q20_slot06_seed258908503,K4-r001,K1-r015,True,True,11.6839557,24.4948463,2.0964514868881263,12.770682545305828,38.80867136188028,3.0388877982207254,0.0017288665366390287,0.0022213365657591673
round39_small_hard_V12_M3_Q30_slot08_seed1288546114,K4-r001,K1-r015,True,True,78.8809124,417.0651251,5.287275621066472,133.73490192498448,740.6340681077912,5.538076130068371,0.011832820287915907,0.04273284781521449
round39_small_medium_V10_M3_Q30_slot06_seed2147082032,K4-r001,K1-r015,True,True,50.9116797,26.6172157,0.5228115799133612,84.92954014505797,46.315648034731886,0.5453420324144659,0.018864942433787724,0.013161888286059298
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,K4-r001,K1-r015,True,True,1780.0433176,385.4760476,0.2165543072961451,3898.1509266770327,843.4563311103416,0.21637344140221462,0.08595584163734266,0.039666145336759814
round39_small_medium_V8_M2_Q20_slot02_seed890603285,K4-r001,K1-r015,True,True,11.1162143,13.843038,1.2453014692241045,14.858987962360878,19.340484300800686,1.3016017207761277,0.003349126910655107,0.0042769247763030155
tight_T_seed3101,K4-r001,K1-r015,False,False,1780.0391849,1780.0432161,1.0000022646692468,3689.6965429341535,3644.649533917324,0.9877911344489574,0.42026414481313523,0.45683760026336245
tight_T_seed3102,K4-r001,K1-r015,True,True,671.3993915,680.7626373,1.0139458657820366,1306.4235957628575,1306.2494797021486,0.999866723120071,0.0360379189529478,0.0482518178910079
