path,bytes,gib,files,role,deleted
build_round18,14563844,0.013563636690378189,5,historical_safe_to_delete_after_review,False
build_round19,8312528,0.007741644978523254,4,historical_safe_to_delete_after_review,False
build_round20,14891671,0.013868949376046658,31,historical_safe_to_delete_after_review,False
build_round21,51477050,0.04794173873960972,98,historical_safe_to_delete_after_review,False
build_round22,58122891,0.054131160490214825,84,historical_safe_to_delete_after_review,False
build_round23,45769377,0.042626054026186466,50,historical_safe_to_delete_after_review,False
build_round24,137512896,0.12806886434555054,136,historical_safe_to_delete_after_review,False
build_round24r,112611543,0.10487767215818167,999,historical_safe_to_delete_after_review,False
build_round25,64407382,0.05998404882848263,577,historical_safe_to_delete_after_review,False
build_round26,94555181,0.08806137461215258,836,historical_safe_to_delete_after_review,False
build_round27,149235620,0.1389865018427372,1237,historical_safe_to_delete_after_review,False
build_round28,113261972,0.10548343136906624,946,historical_safe_to_delete_after_review,False
build_round29,320991248,0.29894639551639557,2641,historical_safe_to_delete_after_review,False
build_round30,217025788,0.20212101563811302,1797,historical_safe_to_delete_after_review,False
build_round31,149579882,0.13930712081491947,1226,historical_safe_to_delete_after_review,False
build_round32,508782813,0.47384091932326555,3986,historical_safe_to_delete_after_review,False
build_round33,48232266,0.04491979815065861,363,historical_safe_to_delete_after_review,False
build_round34,49761039,0.046343578957021236,380,historical_safe_to_delete_after_review,False
build_round35,48294259,0.044977533631026745,362,historical_safe_to_delete_after_review,False
build_round36,53033583,0.04939137306064367,399,historical_safe_to_delete_after_review,False
build_round36_stage_c_contract_fix,52927095,0.04929219838231802,396,historical_safe_to_delete_after_review,False
build_round37,53255538,0.04959808476269245,412,historical_safe_to_delete_after_review,False
build_round37_final,51765937,0.04821078572422266,394,historical_safe_to_delete_after_review,False
build_round38,53311898,0.04965057410299778,413,historical_safe_to_delete_after_review,False
build_round38_baseline,53263873,0.04960584733635187,412,historical_safe_to_delete_after_review,False
build_round39,51765727,0.04821059014648199,395,historical_safe_to_delete_after_review,False
build_round40,54032837,0.05032200086861849,447,historical_safe_to_delete_after_review,False
build_round41,56962135,0.05305012222379446,492,historical_safe_to_delete_after_review,False
build_round42,59367254,0.055290063843131065,483,historical_safe_to_delete_after_review,False
build_round43,59085247,0.05502742435783148,479,historical_safe_to_delete_after_review,False
build_round44,62390963,0.05810611229389906,521,historical_safe_to_delete_after_review,False
build_round44_base,19318641,0.017991886474192142,137,historical_safe_to_delete_after_review,False
build_round44_base_mingw,59115841,0.055055917240679264,478,historical_safe_to_delete_after_review,False
build_round45,63263378,0.05891861207783222,541,historical_safe_to_delete_after_review,False
build_round45_base,60631466,0.05646745301783085,496,historical_safe_to_delete_after_review,False
build_round45_completion,62484025,0.058192783035337925,513,historical_safe_to_delete_after_review,False
build_round45_completion_baseline,61441018,0.05722140707075596,514,historical_safe_to_delete_after_review,False
build_round45_completion_clean_20260822,61498544,0.05727498233318329,514,historical_safe_to_delete_after_review,False
build_round45_final,61435531,0.05721629690378904,514,historical_safe_to_delete_after_review,False
build/dev-gurobi-release,34658897,0.032278613187372684,441,reusable_development,False
build/official-round46-36033fab4,65297575,0.060813105665147305,530,official_round46,False
