arm,K0,rho,rows,certificates,false_certificates,v20_certificates,mean_gap,mean_gi_300,total_work,total_time_seconds,total_splits,total_native_target_jobs
K1-r001,1,0.01,20,10,0,1,0.06620664332190293,0.14293740272982464,12105.509398207114,6181.0012647,22,30
K1-r012,1,0.12,10,4,0,0,0.08501119465089331,0.1445064016132746,2909.613201916946,1557.016187,6,12
K1-r015,1,0.15,33,21,0,4,0.05794366535280367,0.14923763564647974,25488.049089708835,13200.9243711,21,37
K1-r020,1,0.2,20,11,0,1,0.06628520608554717,0.14901595088154918,10523.611686932236,5411.5692977,8,20
K1-r050,1,0.5,10,4,0,0,0.08893822678374037,0.15129890856968733,2937.3984569592985,1556.5030562,0,6
