evidence_source,source_path,run_id,stage,instance,K0,rho,rho_source,decision_sequence,interval_id,parent_id,depth,gamma_L,gamma_U,parent_bound,left_child_id,left_child_bound,left_child_infeasible,right_child_id,right_child_bound,right_child_infeasible,verified_incumbent,normalized_c6_gain,child_infeasibility_trigger,threshold_comparison,selected_action,target_value,deterministic_reason,coverage_update
round46_stage3_full_tree,results/gf_c6_rho_k1_k4_screen_round46/runs/stage3_300s__high_imbalance_seed3201__K1-r001/c6_split_decision_ledger.csv,stage3_300s__high_imbalance_seed3201__K1-r001,stage3_300s,high_imbalance_seed3201,1,0.01,explicit,1,L0,,0,0,0.94999999999999996,1.9912725282848309,L0.0,2.1367958494969104,0,L0.1,2.2662042877898423,0,2.4434031919432,0.32186120718863076,0,gain_greater_than_or_equal_to_rho,split,,current_normalized_child_gain_reaches_rho,atomic_parent_replaced_by_two_children
round46_stage3_full_tree,results/gf_c6_rho_k1_k4_screen_round46/runs/stage3_300s__high_imbalance_seed3201__K1-r001/c6_split_decision_ledger.csv,stage3_300s__high_imbalance_seed3201__K1-r001,stage3_300s,high_imbalance_seed3201,1,0.01,explicit,2,L0.0,L0,1,0,0.47499999999999998,2.2690665138558717,L0.0.0,,1,L0.0.1,2.2206360803532741,0,2.4434031919432,,1,child_infeasibility_independent_of_rho,split,,current_complete_child_infeasibility,atomic_parent_replaced_by_two_children
round46_stage3_full_tree,results/gf_c6_rho_k1_k4_screen_round46/runs/stage3_300s__high_imbalance_seed3201__K1-r001/c6_split_decision_ledger.csv,stage3_300s__high_imbalance_seed3201__K1-r001,stage3_300s,high_imbalance_seed3201,1,0.01,explicit,3,L0.1,L0,1,0.47499999999999998,0.94999999999999996,2.2710404752343383,L0.1.0,2.2662584414844362,0,L0.1.1,,1,2.4434031919432,,1,child_infeasibility_independent_of_rho,split,,current_complete_child_infeasibility,atomic_parent_replaced_by_two_children
round46_stage3_full_tree,results/gf_c6_rho_k1_k4_screen_round46/runs/stage3_300s__high_imbalance_seed3201__K1-r001/c6_split_decision_ledger.csv,stage3_300s__high_imbalance_seed3201__K1-r001,stage3_300s,high_imbalance_seed3201,1,0.01,explicit,4,L0.0.1,L0.0,2,0.23749999999999999,0.47499999999999998,2.307538658925516,L0.0.1.0,,1,L0.0.1.1,2.261240112868975,0,2.4434031919432,,1,child_infeasibility_independent_of_rho,split,,current_complete_child_infeasibility,atomic_parent_replaced_by_two_children
round46_stage3_full_tree,results/gf_c6_rho_k1_k4_screen_round46/runs/stage3_300s__high_imbalance_seed3201__K1-r001/c6_split_decision_ledger.csv,stage3_300s__high_imbalance_seed3201__K1-r001,stage3_300s,high_imbalance_seed3201,1,0.01,explicit,5,L0.1.0,L0.1,2,0.47499999999999998,0.71249999999999991,2.3348837952183876,L0.1.0.0,2.2663608459488285,0,L0.1.0.1,2.3771183114459844,0,2.4434031919432,0,0,no_strict_gain,exact-close,,current_child_gain_not_strict,parent_coverage_retained
round46_stage3_full_tree,results/gf_c6_rho_k1_k4_screen_round46/runs/stage3_300s__high_imbalance_seed3201__K1-r012/c6_split_decision_ledger.csv,stage3_300s__high_imbalance_seed3201__K1-r012,stage3_300s,high_imbalance_seed3201,1,0.12,explicit,1,L0,,0,0,0.94999999999999996,1.9912725282848309,L0.0,2.1367958494969104,0,L0.1,2.2662042877898423,0,2.4434031919432,0.32186120718863076,0,gain_greater_than_or_equal_to_rho,split,,current_normalized_child_gain_reaches_rho,atomic_parent_replaced_by_two_children
round46_stage3_full_tree,results/gf_c6_rho_k1_k4_screen_round46/runs/stage3_300s__high_imbalance_seed3201__K1-r012/c6_split_decision_ledger.csv,stage3_300s__high_imbalance_seed3201__K1-r012,stage3_300s,high_imbalance_seed3201,1,0.12,explicit,2,L0.0,L0,1,0,0.47499999999999998,2.2690665138558717,L0.0.0,,1,L0.0.1,2.2206360803532741,0,2.4434031919432,,1,child_infeasibility_independent_of_rho,split,,current_complete_child_infeasibility,atomic_parent_replaced_by_two_children
round46_stage3_full_tree,results/gf_c6_rho_k1_k4_screen_round46/runs/stage3_300s__high_imbalance_seed3201__K1-r012/c6_split_decision_ledger.csv,stage3_300s__high_imbalance_seed3201__K1-r012,stage3_300s,high_imbalance_seed3201,1,0.12,explicit,3,L0.1,L0,1,0.47499999999999998,0.94999999999999996,2.2710404752343383,L0.1.0,2.2662584414844362,0,L0.1.1,,1,2.4434031919432,,1,child_infeasibility_independent_of_rho,split,,current_complete_child_infeasibility,atomic_parent_replaced_by_two_children
round46_stage3_full_tree,results/gf_c6_rho_k1_k4_screen_round46/runs/stage3_300s__high_imbalance_seed3201__K1-r012/c6_split_decision_ledger.csv,stage3_300s__high_imbalance_seed3201__K1-r012,stage3_300s,high_imbalance_seed3201,1,0.12,explicit,4,L0.0.1,L0.0,2,0.23749999999999999,0.47499999999999998,2.307538658925516,L0.0.1.0,,1,L0.0.1.1,2.261240112868975,0,2.4434031919432,,1,child_infeasibility_independent_of_rho,split,,current_complete_child_infeasibility,atomic_parent_replaced_by_two_children
round46_stage3_full_tree,results/gf_c6_rho_k1_k4_screen_round46/runs/stage3_300s__high_imbalance_seed3201__K1-r012/c6_split_decision_ledger.csv,stage3_300s__high_imbalance_seed3201__K1-r012,stage3_300s,high_imbalance_seed3201,1,0.12,explicit,5,L0.1.0,L0.1,2,0.47499999999999998,0.71249999999999991,2.3348837952183876,L0.1.0.0,2.2663608459488285,0,L0.1.0.1,2.3771183114459844,0,2.4434031919432,0,0,no_strict_gain,exact-close,,current_child_gain_not_strict,parent_coverage_retained
