interval_index,rho_lower_exclusive,rho_upper_inclusive,representative_rho,decision_equivalence_rule,distinct_gain_count
1,0.0,0.019431759636901413,0.009715879818450707,finite gain splits iff normalized_gain + 1e-15 >= rho; child infeasibility is rho-independent,8
2,0.019431759636901413,0.04554295410925426,0.03248735687307784,finite gain splits iff normalized_gain + 1e-15 >= rho; child infeasibility is rho-independent,8
3,0.04554295410925426,0.051542305226587364,0.04854262966792081,finite gain splits iff normalized_gain + 1e-15 >= rho; child infeasibility is rho-independent,8
4,0.051542305226587364,0.07393911544430584,0.0627407103354466,finite gain splits iff normalized_gain + 1e-15 >= rho; child infeasibility is rho-independent,8
5,0.07393911544430584,0.13670233390279926,0.10532072467355255,finite gain splits iff normalized_gain + 1e-15 >= rho; child infeasibility is rho-independent,8
6,0.13670233390279926,0.18487858125460366,0.16079045757870147,finite gain splits iff normalized_gain + 1e-15 >= rho; child infeasibility is rho-independent,8
7,0.18487858125460366,0.32186120718863076,0.2533698942216172,finite gain splits iff normalized_gain + 1e-15 >= rho; child infeasibility is rho-independent,8
8,0.32186120718863076,1.0,0.6609306035943154,finite gain splits iff normalized_gain + 1e-15 >= rho; child infeasibility is rho-independent,8
