run_id,stage,arm,instance,K0,rho,rho_explicit,executable_sha256,process_cap_seconds,status,certificate,strict_rejection_reason,failure_reason,time_seconds,work,lower_bound,verified_upper_bound,relative_gap,split_count,initial_interval_count,final_interval_count,lp_jobs,native_target_jobs,terminal_mip_jobs,nodes,peak_memory_gb,completion_marker,watchdog_timeout,lb_300,ub_300,gap_300,gi_300,lb_1200,ub_1200,gap_1200,gi_1200,lb_1800,ub_1800,gap_1800,gi_1800
stage5_1800s__high_imbalance_seed3202__K1-r015,stage5_1800s,K1-r015,high_imbalance_seed3202,1,0.15,True,d574b38b2f44ae2aacf92bf685f439354b5a08dbe257b6c399045b98a157871b,1800.0,optimal,True,none,none,340.7282322,627.6730860617545,1.7493134517141697,1.7493134520506337,1.9234058218890098e-10,3,1,4,9,3,1,4633.0,0.156335501,True,False,1.7059356499844227,1.7493134520506337,0.02479704367182528,0.0885062930084659,1.7493134517141697,1.7493134520506337,1.9234058218890098e-10,0.022495202026979647,1.7493134517141697,1.7493134520506337,1.9234058218890098e-10,0.014996801351319764
stage5_1800s__high_imbalance_seed3202__K4-r001,stage5_1800s,K4-r001,high_imbalance_seed3202,4,0.01,True,d574b38b2f44ae2aacf92bf685f439354b5a08dbe257b6c399045b98a157871b,1800.0,optimal,True,none,none,229.4960002,408.74551643281535,1.7493134520506324,1.7493134520506337,7.615945718524238e-16,0,4,4,6,2,1,3605.0,0.154520485,True,False,1.7493134520506324,1.7493134520506337,7.615945718524238e-16,0.07678081381766534,1.7493134520506324,1.7493134520506337,7.615945718524238e-16,0.019195203454416335,1.7493134520506324,1.7493134520506337,7.615945718524238e-16,0.012796802302944223
stage5_1800s__high_imbalance_seed3202__K4-r012,stage5_1800s,K4-r012,high_imbalance_seed3202,4,0.12,True,d574b38b2f44ae2aacf92bf685f439354b5a08dbe257b6c399045b98a157871b,1800.0,optimal,True,none,none,230.4748577,408.74551643281535,1.7493134520506324,1.7493134520506337,7.615945718524238e-16,0,4,4,6,2,1,3605.0,0.154520485,True,False,1.7493134520506324,1.7493134520506337,7.615945718524238e-16,0.07847983144588061,1.7493134520506324,1.7493134520506337,7.615945718524238e-16,0.019619957861470153,1.7493134520506324,1.7493134520506337,7.615945718524238e-16,0.013079971907646768
stage5_1800s__high_imbalance_seed3202__P-GRB,stage5_1800s,P-GRB,high_imbalance_seed3202,,,False,d574b38b2f44ae2aacf92bf685f439354b5a08dbe257b6c399045b98a157871b,1800.0,time_limit,False,model_fingerprint_mismatch;unsupported_strict_status:TIME_LIMIT,,1780.0782172,3687.1819134570983,1.242007739921101,1.7493134520506337,0.2900027502417268,0,0,0,0,0,0,43682.0,0.137100008,True,False,1.097897344638141,1.7493134500388212,0.3723838660168215,0.39464733314725164,1.1772826084413717,1.7493134500388212,0.3270030545896477,0.36510738452405544,1.242007739921101,1.7493134520506337,0.2900027502417268,0.34539026262079386
stage5_1800s__moderate_seed3302__K1-r015,stage5_1800s,K1-r015,moderate_seed3302,1,0.15,True,d574b38b2f44ae2aacf92bf685f439354b5a08dbe257b6c399045b98a157871b,1800.0,round31_c6_external_gini_tree_time_limit,False,relevant_leaf_open,relevant_leaf_open,1780.0413997,3783.0840375686116,0.14696173997933837,0.19563620654901237,0.24880091179584224,0,1,1,3,1,1,12042.0,0.23728811,True,False,0.1447911820744134,0.19563620654901237,0.25989577988398,0.3180669879342538,0.14628676487034906,0.19563620654901237,0.25225106614557,0.2706687574137336,0.14696173997933837,0.19563620654901237,0.24880091179584224,0.26389444426797526
stage5_1800s__moderate_seed3302__K4-r001,stage5_1800s,K4-r001,moderate_seed3302,4,0.01,True,d574b38b2f44ae2aacf92bf685f439354b5a08dbe257b6c399045b98a157871b,1800.0,round31_c6_external_gini_tree_time_limit,False,relevant_leaf_open,relevant_leaf_open,1780.0491175,3637.865046174856,0.14946819954967203,0.19563620654901237,0.23598907284973325,0,4,4,6,2,1,14627.0,0.318021606,True,False,0.14946819954967203,0.19563620654901237,0.23598907284973325,0.29199343287875024,0.14946819954967203,0.19563620654901237,0.23598907284973325,0.2499901628569875,0.14946819954967203,0.19563620654901237,0.23598907284973325,0.24532313285456936
stage5_1800s__moderate_seed3302__K4-r012,stage5_1800s,K4-r012,moderate_seed3302,4,0.12,True,d574b38b2f44ae2aacf92bf685f439354b5a08dbe257b6c399045b98a157871b,1800.0,round31_c6_external_gini_tree_time_limit,False,relevant_leaf_open,relevant_leaf_open,1781.8086644,3617.8247523260934,0.14946819954967203,0.19563620654901237,0.23598907284973325,0,4,4,6,2,1,14491.0,0.318021606,True,False,0.14946819954967203,0.19563620654901237,0.23598907284973325,0.2932284026380191,0.14946819954967203,0.19563620654901237,0.23598907284973325,0.2502989052968046,0.14946819954967203,0.19563620654901237,0.23598907284973325,0.24552896114778094
stage5_1800s__moderate_seed3302__P-GRB,stage5_1800s,P-GRB,moderate_seed3302,,,False,d574b38b2f44ae2aacf92bf685f439354b5a08dbe257b6c399045b98a157871b,1800.0,time_limit,False,model_fingerprint_mismatch;unsupported_strict_status:TIME_LIMIT,,1780.0726168,3555.3150328276956,0.12930515693917344,0.19563620654901237,0.33905303512016904,0,0,0,0,0,0,36047.0,0.158341357,True,False,0.1279923201012774,0.19563620654901234,0.345763637728215,0.34910617736657784,0.1289292280788235,0.19563620631680248,0.3409746053343386,0.3444669629496092,0.12930515693917344,0.19563620654901237,0.33905303512016904,0.34294369588992785
stage5_1800s__tight_T_seed3102__K1-r015,stage5_1800s,K1-r015,tight_T_seed3102,1,0.15,True,d574b38b2f44ae2aacf92bf685f439354b5a08dbe257b6c399045b98a157871b,1800.0,optimal,True,none,none,680.7626373,1306.2494797021486,0.6007044366851081,0.6007044366851081,0.0,3,1,4,11,3,2,10915.0,0.187643306,True,False,0.55285152633503,0.6007044366851081,0.07966132331924629,0.19882415144314974,0.6007044366851081,0.6007044366851081,0.0,0.07237772683651186,0.6007044366851081,0.6007044366851081,0.0,0.0482518178910079
stage5_1800s__tight_T_seed3102__K4-r001,stage5_1800s,K4-r001,tight_T_seed3102,4,0.01,True,d574b38b2f44ae2aacf92bf685f439354b5a08dbe257b6c399045b98a157871b,1800.0,optimal,True,none,none,671.3993915,1306.4235957628575,0.6007044366851081,0.6007044366851081,0.0,1,4,5,10,3,2,11713.0,0.157165379,True,False,0.5707452028285827,0.6007044366851081,0.049873501886969075,0.18282115900543314,0.6007044366851081,0.6007044366851081,0.0,0.0540568784294217,0.6007044366851081,0.6007044366851081,0.0,0.0360379189529478
