interval_id,parent_id,depth,gamma_L,gamma_U,status,closed,split,children,time_limit_used,runtime_seconds,certificate_basis,solver_status
2,root,0,0.0245762763324,0.0368644144986,interval_unresolved_timeout,false,false,0,504,504.2067845,interval_exact_cutoff_mip_timeout,"time limit exceeded, no integer solution"
3,root,0,0.0368644144986,0.0491525526647,interval_closed,true,false,0,504,0.4995279,interval_exact_cutoff_mip_infeasible,integer infeasible
7,root,0,0.0184322072493,0.0245762763324,interval_unresolved_timeout,false,false,0,504,504.1795759,interval_exact_cutoff_mip_timeout,"time limit exceeded, no integer solution"
9,root,0,0.0153601727077,0.0184322072493,interval_closed,true,false,0,213.1835611,14.7877248,interval_exact_cutoff_mip_infeasible,integer infeasible
11,root,0,0.013824155437,0.0153601727077,interval_closed,true,false,0,198.3905984,2.9346415,interval_exact_cutoff_mip_infeasible,integer infeasible
13,root,0,0.0130561468016,0.013824155437,interval_closed,true,false,0,195.4506752,1.9230833,interval_exact_cutoff_mip_infeasible,integer infeasible
15,root,0,0.0126721424839,0.0130561468016,interval_closed,true,false,0,193.5188535,2.338147,interval_exact_cutoff_mip_infeasible,integer infeasible
17,root,0,0.012480140325,0.0126721424839,interval_closed,true,false,0,191.1718628,2.3200078,interval_exact_cutoff_mip_infeasible,integer infeasible
18,root,0,0.0122881381662,0.0123841392456,interval_closed,true,false,0,188.8447127,1.7183877,interval_exact_cutoff_mip_infeasible,integer infeasible
19,root,0,0.0123841392456,0.012480140325,interval_closed,true,false,0,187.1211808,1.9072252,interval_exact_cutoff_mip_infeasible,integer infeasible
