query,row,native_status,valid_optimal,minimum_activity,rhs,violation,work,solver_seconds,constraint_violation,bound_violation,dual_violation
0,r62conflict_0,2,1,0.47368421052631576,1,0.52631578947368429,0.061609370834164054,0.026999950408935547,0,0,0
1,r62conflict_1,2,1,-5.3499999999999996,-5.25,0.099999999999999645,0.0073842704863384652,0.0050001144409179688,0,0,0
2,r62conflict_2,2,1,0.375,1,0.625,0.028407374210792317,0.012000083923339844,0,0,0
3,r62conflict_3,2,1,-8.125,-8,0.125,0.019237302236429971,0.0089998245239257812,0,0,0
4,r62conflict_4,2,1,0.39130434782608692,1,0.60869565217391308,0.046234308517460604,0.019999980926513672,0,0,0
5,r62conflict_5,2,1,-1.7678571428571428,-2.0714285714285716,-0.30357142857142883,0.027813827797416802,0.012000083923339844,0,0,0
6,r62conflict_6,2,1,0.375,1,0.625,0.049912864824278841,0.020999908447265625,0,0,0
7,r62conflict_7,2,1,-1.6964285714285712,-2,-0.30357142857142883,0.04018699094387447,0.017000198364257812,0,0,0
8,r62conflict_8,2,1,0.4861111111111111,1,0.51388888888888884,0.052202037291151221,0.021999835968017578,2.1347859061326901e-14,0,0
9,r62conflict_9,2,1,0.40909090909090912,1,0.59090909090909083,0.071068640528965124,0.029999971389770508,0,0,0
10,r62conflict_10,2,1,0.95394736842105265,1,0.046052631578947345,0.042481496934315251,0.018999814987182617,0,0,0
11,r62conflict_11,2,1,1.0750000000000002,1.05,-0.025000000000000133,0.07065412596873033,0.032000064849853516,0,0,0
12,r62conflict_12,2,1,-2.7485380116959059,-2.6666666666666665,0.081871345029239428,0.03077059522341485,0.013000011444091797,0,0,0
13,r62conflict_13,2,1,-8.5722222222222229,-8.9166666666666661,-0.34444444444444322,0.037255450730447379,0.016999959945678711,0,0,0
14,r62conflict_14,2,1,-7.7043650793650791,-7.8095238095238102,-0.10515873015873112,0.070957693265446778,0.031000137329101562,0,0,0
15,r62conflict_15,2,1,-2.830917874396135,-2.6666666666666665,0.16425120772946844,0.041376832020107446,0.018999814987182617,0,0,0
16,r62conflict_16,2,1,-4.9900793650793647,-5.7380952380952381,-0.74801587301587347,0.025016093536697964,0.012000083923339844,0,0,0
17,r62conflict_17,2,1,-2.8472222222222219,-2.6666666666666665,0.18055555555555536,0.051443059985315807,0.02200007438659668,0,0,0
18,r62conflict_18,2,1,-4.9186507936507926,-5.6666666666666661,-0.74801587301587347,0.023768939409061034,0.010999917984008789,0,0,0
19,r62conflict_19,2,1,-2.5138888888888884,-2.6666666666666665,-0.15277777777777812,0.022474499464971133,0.011000156402587891,0,0,0
20,r62conflict_20,2,1,-2.8131313131313127,-2.6666666666666665,0.14646464646464619,0.0046426302462066853,0.0039999485015869141,0,0,0
21,r62conflict_21,2,1,-2.2001633986928102,-2.6666666666666665,-0.46650326797385633,0.029762383787324008,0.01399993896484375,0,0,0
22,r62conflict_22,2,1,-1.9138888888888885,-2.5999999999999996,-0.68611111111111112,0.026711050151906366,0.012000083923339844,0,0,0
23,r62conflict_23,2,1,-25.847222222222221,-25.666666666666668,0.18055555555555358,0.033515629867891923,0.01399993896484375,0,0,0
24,r62conflict_24,2,1,0.47368421052631576,1,0.52631578947368429,0.058043777849992269,0.026000022888183594,0,0,0
25,r62conflict_25,2,1,-4.3834586466165408,-4.1428571428571432,0.24060150375939759,0.026970390156836551,0.012000083923339844,0,0,0
26,r62conflict_26,2,1,0.47368421052631576,1,0.52631578947368429,0.062282692713257252,0.026999950408935547,0,0,0
27,r62conflict_27,2,1,-1.6691729323308271,-2.0714285714285716,-0.40225563909774453,0.019517908422097125,0.010000228881835938,0,0,0
28,r62conflict_28,2,1,0.47368421052631576,1,0.52631578947368429,0.048937173172066299,0.02200007438659668,0,0,0
29,r62conflict_29,2,1,-1.5977443609022555,-2,-0.40225563909774453,0.023367868387809809,0.010999917984008789,0,0,0
30,r62conflict_30,2,1,0.56459330143540665,1,0.43540669856459335,0.055370418588851264,0.023000001907348633,0,0,0
31,r62conflict_31,2,1,0.47368421052631576,1,0.52631578947368429,0.035793944245882843,0.016000032424926758,0,0,0
32,service_projection_objective,2,1,0.02055001075057826,,,0.054977341036239462,0.023999929428100586,0,0,0
