variable,value
G,0.17094281683062409
e_1,0.52631578947368429
e_2,1
e_3,1
e_4,0
e_5,0.10257130174956475
e_6,1
e_7,0.27777777777777779
e_8,0.40909090909090906
e_9,0.50372854154551594
e_10,0
e_11,0.20833333333333326
e_12,0.29166666666666652
h_10_11,0.20833333333333326
h_10_12,0.29166666666666652
h_11_12,0.083333333333333259
h_1_10,0.52631578947368429
h_1_11,0.73464912280701755
h_1_12,0.81798245614035081
h_1_2,0.47368421052631576
h_1_3,0.47368421052631576
h_1_4,0.52631578947368429
h_1_5,0.42374448772411949
h_1_6,0.47368421052631576
h_1_7,0.24853801169590645
h_1_8,0.11722488038277518
h_1_9,1.0300443310192002
h_2_10,1
h_2_11,1.2083333333333333
h_2_12,1.2916666666666665
h_2_3,0
h_2_4,1
h_2_5,0.89742869825043525
h_2_6,0
h_2_7,0.72222222222222221
h_2_8,0.59090909090909094
h_2_9,1.5037285415455159
h_3_10,1
h_3_11,1.2083333333333333
h_3_12,1.2916666666666665
h_3_4,1
h_3_5,0.89742869825043525
h_3_6,0
h_3_7,0.72222222222222221
h_3_8,0.59090909090909094
h_3_9,1.5037285415455159
h_4_10,0
h_4_11,0.20833333333333326
h_4_12,0.29166666666666652
h_4_5,0.10257130174956475
h_4_6,1
h_4_7,0.27777777777777779
h_4_8,0.40909090909090906
h_4_9,0.50372854154551594
h_5_10,0.10257130174956475
h_5_11,0.31090463508289801
h_5_12,0.39423796841623127
h_5_6,0.89742869825043525
h_5_7,0.17520647602821304
h_5_8,0.30651960734134431
h_5_9,0.60629984329508069
h_6_10,1
h_6_11,1.2083333333333333
h_6_12,1.2916666666666665
h_6_7,0.72222222222222221
h_6_8,0.59090909090909094
h_6_9,1.5037285415455159
h_7_10,0.27777777777777779
h_7_11,0.48611111111111105
h_7_12,0.56944444444444431
h_7_8,0.13131313131313127
h_7_9,0.78150631932329373
h_8_10,0.40909090909090906
h_8_11,0.61742424242424232
h_8_12,0.70075757575757558
h_8_9,0.912819450636425
h_9_10,0.50372854154551594
h_9_11,0.29539520821218268
h_9_12,0.21206187487884942
r_1,0.47368421052631576
r_10,1
r_11,1.2083333333333333
r_12,1.2916666666666665
r_2,0
r_3,0
r_4,1
r_5,0.89742869825043525
r_6,0
r_7,0.72222222222222221
r_8,0.59090909090909094
r_9,1.5037285415455159
prod_1_0,0
bit_1_0,0
prod_1_1,0
bit_1_1,0
prod_1_2,0
bit_1_2,0
prod_1_3,0.17094281683062409
bit_1_3,0.31028740826617979
prod_1_4,0.17094281683062409
bit_1_4,0.31028740826617979
prod_1_5,0.026738482824365205
bit_1_5,0.048534443800365173
prod_2_0,0
bit_2_0,0
prod_2_1,0
bit_2_1,0
prod_2_2,0
bit_2_2,0
prod_2_3,0
bit_2_3,0
prod_2_4,0
bit_2_4,0
prod_3_0,0
bit_3_0,0
prod_3_1,0
bit_3_1,0
prod_3_2,0
bit_3_2,0
prod_3_3,0
bit_3_3,0
prod_3_4,0
bit_3_4,0
prod_3_5,0
bit_3_5,0
prod_4_0,0
bit_4_0,0
prod_4_1,0
bit_4_1,0
prod_4_2,0
bit_4_2,0
prod_4_3,0
bit_4_3,0
prod_4_4,0.17094281683062409
bit_4_4,0.5625
prod_5_0,0
bit_5_0,0
prod_5_1,0
bit_5_1,0
prod_5_2,0.086764091191766479
bit_5_2,0.15749012146640085
prod_5_3,0.17094281683062409
bit_5_3,0.31028740826617979
prod_5_4,0.17094281683062409
bit_5_4,0.31028740826617979
prod_6_0,0
bit_6_0,0
prod_6_1,0
bit_6_1,0
prod_6_2,0
