variable,value
G,0.010706260750578261
e_1,0
e_2,0
e_3,0
e_4,0
e_5,0
e_6,0.4375
e_7,0
e_8,0
e_9,0
e_10,0
e_11,0
e_12,0
h_10_11,0
h_10_12,0
h_11_12,0
h_1_10,0
h_1_11,0
h_1_12,0
h_1_2,0
h_1_3,0
h_1_4,0
h_1_5,0
h_1_6,0.4375
h_1_7,0
h_1_8,0
h_1_9,0
h_2_10,0
h_2_11,0
h_2_12,0
h_2_3,0
h_2_4,0
h_2_5,0
h_2_6,0.4375
h_2_7,0
h_2_8,0
h_2_9,0
h_3_10,0
h_3_11,0
h_3_12,0
h_3_4,0
h_3_5,0
h_3_6,0.4375
h_3_7,0
h_3_8,0
h_3_9,0
h_4_10,0
h_4_11,0
h_4_12,0
h_4_5,0
h_4_6,0.4375
h_4_7,0
h_4_8,0
h_4_9,0
h_5_10,0
h_5_11,0
h_5_12,0
h_5_6,0.4375
h_5_7,0
h_5_8,0
h_5_9,0
h_6_10,0.4375
h_6_11,0.4375
h_6_12,0.4375
h_6_7,0.4375
h_6_8,0.4375
h_6_9,0.4375
h_7_10,0
h_7_11,0
h_7_12,0
h_7_8,0
h_7_9,0
h_8_10,0
h_8_11,0
h_8_12,0
h_8_9,0
h_9_10,0
h_9_11,0
h_9_12,0
r_1,1
r_10,1
r_11,1
r_12,1
r_2,1
r_3,1
r_4,1
r_5,1
r_6,0.5625
r_7,1
r_8,1
r_9,1
prod_1_0,0.010706260750578261
bit_1_0,0.019433503917338748
prod_1_1,0.010706260750578261
bit_1_1,0.019433503917338748
prod_1_2,0.010706260750578261
bit_1_2,0.019433503917338748
prod_1_3,0.010706260750578261
bit_1_3,0.019433503917338748
prod_1_4,0.010706260750578261
bit_1_4,1
prod_1_5,0.010706260750578261
bit_1_5,0.084640545038747461
prod_2_0,0.010706260750578261
bit_2_0,0.019433503917338748
prod_2_1,0.010706260750578261
bit_2_1,0.019433503917338748
prod_2_2,0.010706260750578261
bit_2_2,0.019433503917338748
prod_2_3,0.010706260750578261
bit_2_3,1
prod_2_4,0.010706260750578261
bit_2_4,0.17899784203616428
prod_3_0,0.010706260750578261
bit_3_0,0.019433503917338748
prod_3_1,0.010706260750578261
bit_3_1,0.019433503917338748
prod_3_2,0.010706260750578261
bit_3_2,0.019433503917338748
prod_3_3,0.010706260750578261
bit_3_3,0.15526166840297362
prod_3_4,0.010706260750578261
bit_3_4,1
prod_3_5,0.010706260750578261
bit_3_5,0.019433503917338748
prod_4_0,0.010706260750578261
bit_4_0,0.019433503917338748
prod_4_1,0.010706260750578261
bit_4_1,0.019433503917338748
prod_4_2,0.010706260750578261
bit_4_2,0.019433503917338748
prod_4_3,0.010706260750578261
bit_4_3,0.019433503917338748
prod_4_4,0.010706260750578261
bit_4_4,0.54428109007749492
prod_5_0,0.010706260750578261
bit_5_0,0.019433503917338748
prod_5_1,0.010706260750578261
bit_5_1,0.019433503917338748
prod_5_2,0.010706260750578261
bit_5_2,0.019433503917338748
prod_5_3,0.010706260750578261
bit_5_3,1
prod_5_4,0.010706260750578261
bit_5_4,0.053997842036164298
prod_6_0,0.010706260750578261
bit_6_0,0.019433503917338748
prod_6_1,0.010706260750578261
bit_6_1,0.019433503917338748
prod_6_2,0.010706260750578261
bit_6_2,0.019433503917338748
prod_6_3,0.010706260750578261
bit_6_3,0.99139466056829606
prod_6_4,0.010706260750578261
bit_6_4,0.019433503917338748
prod_6_5,0.010706260750578261
bit_6_5,0.019433503917338748
prod_7_0,0.010706260750578261
bit_7_0,0.019433503917338748
prod_7_1,0.010706260750578261
bit_7_1,1
prod_7_2,0.010706260750578261
bit_7_2,1
prod_7_3,0.010706260750578261
bit_7_3,1
prod_7_4,0.010706260750578261
bit_7_4,0.20991839817048882
prod_7_5,0.010706260750578261
bit_7_5,0.019433503917338748
prod_8_0,0.010706260750578261
bit_8_0,1
prod_8_1,0.010706260750578261
bit_8_1,1
prod_8_2,0.010706260750578261
bit_8_2,0.019433503917338748
prod_8_3,0.010706260750578261
bit_8_3,0.019433503917338748
prod_8_4,0.010706260750578261
bit_8_4,1
prod_8_5,0.010706260750578261
bit_8_5,0.086462436030997972
prod_9_0,0.010706260750578261
bit_9_0,0.019433503917338748
prod_9_1,0.010706260750578261
bit_9_1,1
prod_9_2,0.010706260750578261
bit_9_2,0.019433503917338748
prod_9_3,0.010706260750578261
bit_9_3,1
prod_9_4,0.010706260750578261
bit_9_4,0.18142703002583163
prod_10_0,0.010706260750578261
bit_10_0,0.019433503917338748
prod_10_1,0.010706260750578261
bit_10_1,0.019433503917338748
prod_10_2,0.010706260750578261
bit_10_2,1
prod_10_3,0.010706260750578261
bit_10_3,0.03997842036164298
prod_10_4,0.010706260750578261
bit_10_4,1
prod_10_5,0.010706260750578261
bit_10_5,0.019433503917338748
prod_11_0,0.010706260750578261
bit_11_0,1
prod_11_1,0.010706260750578261
bit_11_1,0.019433503917338748
prod_11_2,0.010706260750578261
bit_11_2,0.019433503917338748
prod_11_3,0.010706260750578261
bit_11_3,0.019433503917338748
prod_11_4,0.010706260750578261
bit_11_4,1
prod_11_5,0.010706260750578261
bit_11_5,0.21024784203616428
prod_12_0,0.010706260750578261
bit_12_0,1
prod_12_1,0.010706260750578261
bit_12_1,0.019433503917338748
prod_12_2,0.010706260750578261
bit_12_2,0.019433503917338748
prod_12_3,0.010706260750578261
bit_12_3,0.019433503917338748
prod_12_4,0.010706260750578261
bit_12_4,1
prod_12_5,0.010706260750578261
bit_12_5,0.21024784203616428
W_SP,0.1044929782388664
x_0_0_1,0
x_0_0_10,0
x_0_0_11,0
x_0_0_12,0
x_0_0_2,0
x_0_0_3,0
x_0_0_4,0
x_0_0_5,0.26783485499702864
x_0_0_6,0
x_0_0_7,0
x_0_0_8,0
x_0_0_9,0.033672135385572621
x_0_10_0,0.14353018316978106
x_0_11_0,0
x_0_12_0,0
x_0_1_0,0.05384895915293203
x_0_2_0,0
x_0_3_0,0
x_0_4_0,0
x_0_5_0,0.10412784805988817
x_0_6_0,0
x_0_7_0,0
x_0_8_0,0
x_0_9_0,0
x_0_10_1,0.12362034037927089
x_0_11_1,0
x_0_12_1,0
x_0_2_1,0
x_0_3_1,0
x_0_4_1,0
x_0_5_1,0
x_0_6_1,0
x_0_7_1,0.15213683414955648
x_0_8_1,0
x_0_9_1,0
z_0_1,0.27575717452882736
x_0_1_10,0.22190821537589533
x_0_1_11,0
x_0_1_12,0
x_0_1_2,0
x_0_1_3,0
x_0_1_4,0
x_0_1_5,0
x_0_1_6,0
x_0_1_7,0
x_0_1_8,0
x_0_1_9,0
x_0_10_2,0
x_0_11_2,0
x_0_12_2,0
x_0_3_2,0
x_0_4_2,0
x_0_5_2,0
x_0_6_2,0
x_0_7_2,0
x_0_8_2,0
x_0_9_2,0
z_0_2,0
x_0_2_10,0
x_0_2_11,0
x_0_2_12,0
x_0_2_3,0
x_0_2_4,0
x_0_2_5,0
x_0_2_6,0
x_0_2_7,0
x_0_2_8,0
x_0_2_9,0
x_0_10_3,0
x_0_11_3,0
x_0_12_3,0
x_0_4_3,0
x_0_5_3,0
x_0_6_3,0
x_0_7_3,0
x_0_8_3,0
x_0_9_3,0
z_0_3,0
x_0_3_10,0
x_0_3_11,0
x_0_3_12,0
x_0_3_4,0
x_0_3_5,0
x_0_3_6,0
x_0_3_7,0
x_0_3_8,0
x_0_3_9,0
x_0_10_4,0
x_0_11_4,0
x_0_12_4,0
x_0_5_4,0
x_0_6_4,0
x_0_7_4,0.47412637843246924
x_0_8_4,0
x_0_9_4,0
z_0_4,0.47412637843246924
x_0_4_10,0
x_0_4_11,0
x_0_4_12,0
x_0_4_5,0
x_0_4_6,0
x_0_4_7,0.47412637843246924
x_0_4_8,0
x_0_4_9,0
x_0_10_5,0
x_0_11_5,0
x_0_12_5,0
x_0_6_5,0
x_0_7_5,0
x_0_8_5,0
x_0_9_5,0.73216514500297136
z_0_5,1
x_0_5_10,0
x_0_5_11,0
x_0_5_12,0
x_0_5_6,0
x_0_5_7,0
x_0_5_8,0
x_0_5_9,0.89587215194011183
x_0_10_6,0
x_0_11_6,0
x_0_12_6,0
x_0_7_6,0
x_0_8_6,0
x_0_9_6,0
z_0_6,0
x_0_6_10,0
x_0_6_11,0
x_0_6_12,0
x_0_6_7,0
x_0_6_8,0
x_0_6_9,0
x_0_10_7,0
x_0_11_7,0
x_0_12_7,0
x_0_8_7,0
x_0_9_7,0.19737914232271309
z_0_7,0.67150552075518233
x_0_7_10,0.045242308173156609
x_0_7_11,0
x_0_7_12,0
x_0_7_8,0
x_0_7_9,0
x_0_10_8,0
x_0_11_8,0
x_0_12_8,0
x_0_9_8,0
z_0_8,0
x_0_8_10,0
x_0_8_11,0
x_0_8_12,0
x_0_8_9,0
x_0_10_9,0
x_0_11_9,0
x_0_12_9,0
z_0_9,0.9295442873256845
