"instance","instance_scope","algorithm_preset","option_audit_consistent","option_audit_mismatches","column_tracks","rmp_column_space","relaxed_columns_in_rmp","pricing_engine","final_pricing_engine","large_instance_mode","station_set_backend","route_mask_all_subset_enumeration_enabled","incumbent_archive_auto","compact_fallback_enabled","relaxed_RMP_enabled","cplex_plain_baseline","cplex_seed_enabled","result_file"
,"smoke","custom","True","","elementary-only","elementary",,"exact-label",,"off","uint64","True",,,"False",,,"E:\codes\ExactEBRP\results\optimization_update_round16\raw\v4_certificate-basis-test.json"
,"smoke","custom","True","","elementary-only","elementary",,"exact-label",,"off","uint64","True",,,"False",,,"E:\codes\ExactEBRP\results\optimization_update_round16\raw\v4_cg.json"
,"smoke","custom","True","","elementary-only","elementary",,"exact-label",,"off","uint64","True",,,"False",,,"E:\codes\ExactEBRP\results\optimization_update_round16\raw\v4_cuts.json"
,"smoke","paper-bpc-core","True","","elementary-only","elementary",,"exact-label",,"off","uint64","True",,,"False",,,"E:\codes\ExactEBRP\results\optimization_update_round16\raw\v4_debug.json"
,"smoke","paper-bpc-core","True","","elementary-only","elementary",,"exact-label",,"off","uint64","True",,,"False",,,"E:\codes\ExactEBRP\results\optimization_update_round16\raw\v4_debug_default_archive.json"
,"smoke","diagnostic-large","True","","two-track","two-track",,"hybrid",,"force","uint64","False",,,"True",,,"E:\codes\ExactEBRP\results\optimization_update_round16\raw\v4_diagnostic_large.json"
,"smoke","custom","True","","elementary-only","elementary",,"exact-label",,"off","uint64","True",,,"False",,,"E:\codes\ExactEBRP\results\optimization_update_round16\raw\v4_dominance-test.json"
,"smoke","custom","True","","elementary-only","elementary",,"exact-label",,"off","uint64","True",,,"False",,,"E:\codes\ExactEBRP\results\optimization_update_round16\raw\v4_dssr-exactness-test.json"
,"smoke","custom","True","","elementary-only","elementary",,"exact-label",,"off","uint64","True",,,"False",,,"E:\codes\ExactEBRP\results\optimization_update_round16\raw\v4_dual-stabilization-test.json"
,"smoke","custom","True","","elementary-only","elementary",,"exact-label",,"off","uint64","True",,,"False",,,"E:\codes\ExactEBRP\results\optimization_update_round16\raw\v4_external-incumbent-test.json"
,"smoke","paper-bpc-core","True","","elementary-only","elementary","False","exact-label","exact-label","off","uint64","True","True","False","False","False","False","E:\codes\ExactEBRP\results\optimization_update_round16\raw\v4_final_sanity.json"
,"smoke","custom","True","","two-track","two-track",,"hybrid",,"off","uint64","True",,,"True",,,"E:\codes\ExactEBRP\results\optimization_update_round16\raw\v4_frontier-relaxed-rmp-cg-test.json"
,"smoke","custom","True","","elementary-only","elementary",,"exact-label",,"off","uint64","True",,,"False",,,"E:\codes\ExactEBRP\results\optimization_update_round16\raw\v4_gcap-cg.json"
,"smoke","custom","True","","elementary-only","elementary",,"exact-label",,"off","uint64","True",,,"False",,,"E:\codes\ExactEBRP\results\optimization_update_round16\raw\v4_gcap-frontier.json"
,"smoke","custom","True","","elementary-only","elementary",,"exact-label",,"off","uint64","True",,,"False",,,"E:\codes\ExactEBRP\results\optimization_update_round16\raw\v4_gcap-tree.json"
,"smoke","custom","True","","elementary-only","elementary",,"exact-label",,"off","uint64","True",,,"False",,,"E:\codes\ExactEBRP\results\optimization_update_round16\raw\v4_incumbent-import-test.json"
,"smoke","custom","True","","elementary-only","elementary",,"exact-label",,"off","uint64","True",,,"False",,,"E:\codes\ExactEBRP\results\optimization_update_round16\raw\v4_inventory-branching-test.json"
,"smoke","custom","True","","elementary-only","elementary",,"exact-label",,"off","uint64","True",,,"False",,,"E:\codes\ExactEBRP\results\optimization_update_round16\raw\v4_iterative-closure-test.json"
,"smoke","custom","True","","elementary-only","elementary",,"exact-label",,"off","uint64","True",,,"False",,,"E:\codes\ExactEBRP\results\optimization_update_round16\raw\v4_large-instance-mode-test.json"
