"instance","algorithm_preset","status","objective","lower_bound","upper_bound","gap","runtime_seconds","column_tracks","rmp_column_space","relaxed_columns_in_rmp","two_track_enabled","relaxed_rmp_certificate_valid","relaxed_rmp_cg_iterations","relaxed_rmp_cg_columns_added","ng_relaxed_pricing_closed","ng_relaxed_best_reduced_cost","relaxed_columns_inserted","non_elementary_relaxed_columns_inserted","certificate_scope","result_file"
,"diagnostic-large","diagnostic_complete","6.62899864046","0","6.62899864046","1","0.0292267","two-track","two-track",,"True","False","20","0","False","0","0","0","large_relaxed_rmp_diagnostic","E:\codes\ExactEBRP\results\optimization_update_round16\raw\v100_diagnostic_large.json"
,"paper-bpc-experimental","gcap_frontier_not_closed","0.368581603155","0.34429639777","0.368581603155","0.0658882732516","300.0211064","two-track","two-track",,"True","False","1","0","False","-0.094065933042","0","12","experimental_relaxed_rmp_requires_relaxed_pricing_closure","E:\codes\ExactEBRP\results\optimization_update_round16\raw\v12_m1_paper_bpc_experimental.json"
,"paper-bpc-experimental","gcap_frontier_not_closed","0.719065249476","0.390603899405","0.719065249476","0.456789352998","65.3749104","two-track","two-track",,"True","False","0","0","False","0","0","0","experimental_relaxed_rmp_requires_relaxed_pricing_closure","E:\codes\ExactEBRP\results\optimization_update_round16\raw\v12_m2_ablation_experimental_two_track.json"
,"paper-bpc-experimental","diagnostic_complete","1.00822320985","0","1.00822320985","1","0.0001046","two-track","two-track",,"True","False","0","0","False","0","0","0","experimental_relaxed_rmp_requires_relaxed_pricing_closure","E:\codes\ExactEBRP\results\optimization_update_round16\raw\v12_m2_option_consistency_twotrack.json"
,"paper-bpc-experimental","diagnostic_complete","1.00822320985","0","1.00822320985","1","8.17E-05","two-track","two-track","True","True","False","0","0","False","0","0","0","experimental_relaxed_rmp_requires_relaxed_pricing_closure","E:\codes\ExactEBRP\results\optimization_update_round16\raw\v12_m2_option_consistency_twotrack_final.json"
,"paper-bpc-experimental","gcap_frontier_not_closed","0.719065249476","0.698710208326","0.719065249476","0.0283076412958","266.0089688","two-track","two-track",,"True","False","0","0","False","-0.0544945586993","0","7","experimental_relaxed_rmp_requires_relaxed_pricing_closure","E:\codes\ExactEBRP\results\optimization_update_round16\raw\v12_m2_paper_bpc_experimental.json"
,"diagnostic-large","diagnostic_complete","0.49","0","0.49","1","0.0004421","two-track","two-track",,"True","False","4","0","True","0","0","0","large_relaxed_rmp_diagnostic","E:\codes\ExactEBRP\results\optimization_update_round16\raw\v4_diagnostic_large.json"
,"custom","optimal","0","0","0","0","6.8951041","two-track","two-track",,"True","True","94","0","True","-21.6","10","38","custom","E:\codes\ExactEBRP\results\optimization_update_round16\raw\v4_frontier-relaxed-rmp-cg-test.json"
,"paper-bpc-experimental","diagnostic_complete","0.49","0","0.49","1","0.0001082","two-track","two-track",,"True","False","0","0","False","0","0","0","experimental_relaxed_rmp_requires_relaxed_pricing_closure","E:\codes\ExactEBRP\results\optimization_update_round16\raw\v4_option_consistency_twotrack.json"
,"paper-bpc-experimental","optimal","0","0","0","0","0.1205179","two-track","two-track",,"True","False","0","0","False","0","0","0","experimental_relaxed_rmp_requires_relaxed_pricing_closure","E:\codes\ExactEBRP\results\optimization_update_round16\raw\v4_paper_bpc_experimental.json"
,"diagnostic-large","diagnostic_complete","3.25947584043","0","3.25947584043","1","0.011999","two-track","two-track",,"True","False","12","0","False","0","0","0","large_relaxed_rmp_diagnostic","E:\codes\ExactEBRP\results\optimization_update_round16\raw\v50_diagnostic_large.json"
