"instance","variant","status","lower_bound","upper_bound","gap","unresolved_intervals","invalid_bound_intervals","open_nodes","frontier_min_interval_lower_bound","frontier_lower_bound_source","certified_original_problem","certificate_module","result_file"
,"v4_paper_bpc_core","optimal","0","0","0","0","0","0","0","","True","none","results\optimization_update_round16\raw\v4_paper_bpc_core.json"
,"v4_paper_exact_portfolio","optimal","0","0","0","0","0","0","0","","True","bpc","results\optimization_update_round16\raw\v4_paper_exact_portfolio.json"
,"v4_paper_bpc_experimental","optimal","0","0","0","0","0","0","0","","True","none","results\optimization_update_round16\raw\v4_paper_bpc_experimental.json"
,"v4_diagnostic_large","diagnostic_complete","0","0.49","1","0","0","0","0","","False","none","results\optimization_update_round16\raw\v4_diagnostic_large.json"
,"v4_final_sanity","optimal","0","0","0","0","0","0","0","","True","none","results\optimization_update_round16\raw\v4_final_sanity.json"
,"v12_m1_paper_bpc_core","gcap_frontier_not_closed","0.33635724834","0.368581603155","0.0874280065495","2","0","2","0.33635724834","inventory_route_gini_relaxation","False","none","results\optimization_update_round16\raw\v12_m1_paper_bpc_core.json"
,"v12_m2_paper_bpc_core","gcap_frontier_not_closed","0.698710208326","0.719065249476","0.0283076412958","3","0","3","0.698710208326","focused_inventory_route_gini_relaxation","False","none","results\optimization_update_round16\raw\v12_m2_paper_bpc_core.json"
,"v12_m1_paper_bpc_experimental","gcap_frontier_not_closed","0.34429639777","0.368581603155","0.0658882732516","3","0","3","0.34429639777","gamma_floor","False","none","results\optimization_update_round16\raw\v12_m1_paper_bpc_experimental.json"
,"v12_m2_paper_bpc_experimental","gcap_frontier_not_closed","0.698710208326","0.719065249476","0.0283076412958","3","0","3","0.698710208326","inventory_route_gini_relaxation","False","none","results\optimization_update_round16\raw\v12_m2_paper_bpc_experimental.json"
,"v12_m1_paper_exact_portfolio_bpc","gcap_frontier_not_closed","0.33740850783","0.368581603155","0.0845758308549","2","0","2","0.33740850783","inventory_route_gini_relaxation","False","none","results\optimization_update_round16\raw\v12_m1_paper_exact_portfolio_bpc.json"
,"v12_m2_paper_exact_portfolio_bpc","gcap_frontier_not_closed","0.698710208326","0.719065249476","0.0283076412958","3","0","3","0.698710208326","inventory_route_gini_relaxation","False","none","results\optimization_update_round16\raw\v12_m2_paper_exact_portfolio_bpc.json"
,"v12_m1_paper_exact_portfolio_compact","not_certified","0.32151422501","0.357200583208","0.0999056549065","0","0","0","0","","False","none","results\optimization_update_round16\raw\v12_m1_paper_exact_portfolio_compact.json"
,"v12_m2_paper_exact_portfolio_compact","not_certified","0.57273513117","0.752394062701","0.238783026658","0","0","0","0","","False","none","results\optimization_update_round16\raw\v12_m2_paper_exact_portfolio_compact.json"
,"v8_m2_paper_bpc_core","gcap_frontier_not_closed","0.160089160387","0.160763515679","0.00419470356217","3","0","40","0.160089160387","branch_price_tree","False","none","results\optimization_update_round16\raw\v8_m2_paper_bpc_core.json"
,"v10_m2_paper_bpc_core","gcap_frontier_not_closed","0.199276278129","0.253798619218","0.214825207705","6","0","8","0.199276278129","inventory_route_gini_relaxation","False","none","results\optimization_update_round16\raw\v10_m2_paper_bpc_core.json"
,"v20_m2_paper_bpc_core","gcap_frontier_not_closed","0.376378229256","0.693289533282","0.457112488813","4","0","3","0.376378229256","inventory_route_gini_relaxation","False","none","results\optimization_update_round16\raw\v20_m2_paper_bpc_core.json"
,"v50_diagnostic_large","diagnostic_complete","0","3.25947584043","1","0","0","0","0","","False","none","results\optimization_update_round16\raw\v50_diagnostic_large.json"
,"v100_diagnostic_large","diagnostic_complete","0","6.62899864046","1","0","0","0","0","","False","none","results\optimization_update_round16\raw\v100_diagnostic_large.json"
